,fight,winner,odds_w,loser,odds_l
2029,Scott Askham vs Antonio Dos Santos Jr.,Scott-Askham,1.45,Antonio-Dos-Santos-Jr.,3.13
2030,Piotr Hallmann vs Magomed Mustafaev,Magomed-Mustafaev,1.92,Piotr-Hallmann,2.08
2031,Taylor Lapilus vs Yuta Sasaki,Taylor-Lapilus,3.57,Yuta-Sasaki,1.41
2032,Cain Velasquez vs Fabricio Werdum,Fabricio-Werdum,5.26,Cain-Velasquez,1.2
2033,Gilbert Melendez vs Eddie Alvarez,Eddie-Alvarez,2.56,Gilbert-Melendez,1.61
2034,Kelvin Gastelum vs Nate Marquardt,Kelvin-Gastelum,1.22,Nate-Marquardt,5.26
2035,Charles Rosa vs Yair Rodriguez,Yair-Rodriguez,2.94,Charles-Rosa,1.47
2036,Tecia Torres vs Angela Hill,Tecia-Torres,1.35,Angela-Hill,3.57
2037,Henry Cejudo vs Chico Camus,Henry-Cejudo,1.1,Chico-Camus,10.0
2038,Efrain Escudero vs Drew Dober,Efrain-Escudero,2.38,Drew-Dober,1.69
2039,Alejandro Perez vs Patrick Williams,Patrick-Williams,2.5,Alejandro-Perez,1.64
2040,Frank Trevino vs Johnny Case,Johnny-Case,1.23,Frank-Trevino,5.26
2041,Cathal Pendred vs Augusto Montano,Cathal-Pendred,2.38,Augusto-Montano,1.67
2042,Gabriel Benitez vs Clay Collard,Gabriel-Benitez,3.33,Clay-Collard,1.43
2043,Dan Henderson vs Tim Boetsch,Dan-Henderson,2.78,Tim-Boetsch,1.54
2044,Ben Rothwell vs Matt Mitrione,Ben-Rothwell,2.7,Matt-Mitrione,1.56
2045,Dustin Poirier vs Yancy Medeiros,Dustin-Poirier,1.56,Yancy-Medeiros,2.86
2046,Brian Ortega vs Thiago Tavares,Brian-Ortega,2.56,Thiago-Tavares,1.61
2047,Joe Soto vs Anthony Birchak,Anthony-Birchak,2.7,Joe-Soto,1.56
2048,Alex Caceres vs Francisco Rivera,Francisco-Rivera,1.82,Alex-Caceres,2.22
2049,Derrick Lewis vs Shawn Jordan,Shawn-Jordan,1.96,Derrick-Lewis,2.04
2050,Brian Ebersole vs Omari Akhmedov,Omari-Akhmedov,1.79,Brian-Ebersole,2.22
2051,Christos Giagos vs Chris Wade,Chris-Wade,1.61,Christos-Giagos,2.56
2052,Joe Proctor vs Justin Edwards,Joe-Proctor,1.49,Justin-Edwards,2.86
2053,Ricardo Abreu vs Jake Collier,Jake-Collier,2.7,Ricardo-Abreu,1.56
2054,Leonardo Morales vs Jose Quinonez,Jose-Quinonez,2.63,Leonardo-Morales,1.64
2055,Carlos Condit vs Thiago Alves,Carlos-Condit,1.43,Thiago-Alves,3.13
2056,Nik Lentz vs Charles Oliveira,Charles-Oliveira,1.41,Nik-Lentz,3.33
2057,K.J. Noons vs Alex Oliveira,Alex-Oliveira,1.79,K.J.-Noons,2.13
2058,Ryan Jimmo vs Francimar Barroso,Francimar-Barroso,3.33,Ryan-Jimmo,1.39
2059,Francisco Trinaldo vs Norman Parke,Francisco-Trinaldo,2.94,Norman-Parke,1.47
2060,Wendell Oliveira vs Darren Till,Darren-Till,2.04,Wendell-Oliveira,1.89
2061,Rony Jason vs Damon Jackson,Rony-Jason,1.49,Damon-Jackson,2.7
2062,Jussier Formiga vs Wilson Reis,Jussier-Formiga,1.67,Wilson-Reis,2.22
2063,Nicolas Dalby vs Elizeu Zaleski dos Santos,Nicolas-Dalby,1.3,Elizeu-Zaleski-dos-Santos,3.7
2064,Mirsad Bektic vs Lucas Martins,Mirsad-Bektic,1.3,Lucas-Martins,3.7
2065,Juliana Lima vs Ericka Almeida,Juliana-Lima,1.49,Ericka-Almeida,2.7
2066,Tom Breese vs Luiz Dutra,Tom-Breese,1.69,Luiz-Dutra,2.17
2067,Chris Weidman vs Vitor Belfort,Chris-Weidman,1.23,Vitor-Belfort,5.0
2068,John Makdessi vs Donald Cerrone,Donald-Cerrone,1.18,John-Makdessi,5.88
2069,Andrei Arlovski vs Travis Browne,Andrei-Arlovski,4.76,Travis-Browne,1.25
2070,Joseph Benavidez vs John Moraga,Joseph-Benavidez,1.18,John-Moraga,6.25
2071,John Dodson vs Zach Makovsky,John-Dodson,1.18,Zach-Makovsky,5.88
2072,Josh Burkman vs Dong Hyun Kim,Dong-Hyun-Kim,1.43,Josh-Burkman,3.33
2073,Urijah Hall vs Rafael Natal,Rafael-Natal,4.35,Urijah-Hall,1.27
2074,Mike Pyle vs Colby Covington,Colby-Covington,1.39,Mike-Pyle,3.45
2075,Leo Kuntz vs Islam Makhachev,Islam-Makhachev,1.28,Leo-Kuntz,4.35
2076,Justin Scoggins vs Josh Sampo,Justin-Scoggins,1.25,Josh-Sampo,4.55
2077,Frankie Edgar vs Urijah Faber,Frankie-Edgar,1.25,Urijah-Faber,5.26
2078,Gegard Mousasi vs Costas Philippou,Gegard-Mousasi,1.18,Costas-Philippou,5.88
2079,Mark Munoz vs Luke Barnatt,Mark-Munoz,2.38,Luke-Barnatt,1.75
2080,Neil Magny vs Hyun Gyu Lim,Neil-Magny,1.85,Hyun-Gyu-Lim,2.08
2081,Phillipe Nover vs Yui Chul Nam,Phillipe-Nover,2.56,Yui-Chul-Nam,1.61
2082,Mark Eddiva vs Levan Makashvili,Levan-Makashvili,1.27,Mark-Eddiva,4.55
2083,Tae Hyun Bang vs Jon Tuck,Jon-Tuck,1.72,Tae-Hyun-Bang,2.33
2084,Kajan Johnson vs Zhang Lipeng,Kajan-Johnson,2.08,Zhang-Lipeng,2.13
2085,Li Jingliang vs Dhiego Lima,Li-Jingliang,2.44,Dhiego-Lima,1.69
2086,Royston Wee vs Ning Guangyou,Ning-Guangyou,1.79,Royston-Wee,2.33
2087,Jon delos Reyes vs Roldan Sangcha-an,Jon-delos-Reyes,1.59,Roldan-Sangcha-an,2.63
2088,Nolan Ticman vs Zhuikui Yao,Zhuikui-Yao,3.45,Nolan-Ticman,1.43
2089,Mark Hunt vs Stipe Miocic,Stipe-Miocic,1.45,Mark-Hunt,3.13
2090,Brad Tavares vs Robert Whittaker,Robert-Whittaker,2.33,Brad-Tavares,1.79
2091,Anthony Perosh vs Sean O'Connell,Sean-O'Connell,2.33,Anthony-Perosh,1.72
2092,Jake Matthews vs James Vick,James-Vick,2.7,Jake-Matthews,1.59
2093,Hatsu Hioki vs Daniel Hooker,Daniel-Hooker,3.57,Hatsu-Hioki,1.35
2094,Kyle Noke vs Jonavin Webb,Kyle-Noke,1.92,Jonavin-Webb,2.04
2095,Sam Alvey vs Daniel Kelly,Sam-Alvey,1.27,Daniel-Kelly,4.35
2096,Lisa Ellis vs Bec Rawlings,Bec-Rawlings,1.56,Lisa-Ellis,2.7
2097,Dylan Andrews vs Brad Scott,Brad-Scott,2.0,Dylan-Andrews,1.92
2098,Alex Chambers vs Kailin Curran,Alex-Chambers,3.13,Kailin-Curran,1.45
2099,Vik Grujic vs Brendan O'Reilly,Brendan-O'Reilly,2.08,Vik-Grujic,1.85
2100,Alptekin Ozkilic vs Ben Nguyen,Ben-Nguyen,2.78,Alptekin-Ozkilic,1.54
2101,Demetrious Johnson vs Kyoji Horiguchi,Demetrious-Johnson,1.14,Kyoji-Horiguchi,7.69
2102,Quinton Jackson vs Fabio Maldonado,Quinton-Jackson,1.43,Fabio-Maldonado,3.33
2103,Michael Bisping vs C.B. Dollaway,Michael-Bisping,1.69,C.B.-Dollaway,2.33
2104,Shane Campbell vs John Makdessi,John-Makdessi,1.67,Shane-Campbell,2.5
2105,Thomas Almeida vs Yves Jabouin,Thomas-Almeida,1.23,Yves-Jabouin,4.76
2106,Patrick Cote vs Joe Riggs,Patrick-Cote,1.49,Joe-Riggs,3.03
2107,Sarah Kaufman vs Alexis Davis,Alexis-Davis,2.86,Sarah-Kaufman,1.52
2108,Chad Laprise vs Bryan Barberena,Chad-Laprise,1.27,Bryan-Barberena,4.55
2109,Olivier Aubin-Mercier vs David Michaud,Olivier-Aubin-Mercier,1.3,David-Michaud,4.35
2110,Nordine Taleb vs Chris Clements,Nordine-Taleb,1.45,Chris-Clements,3.23
2111,Jessica Rakoczy vs Valerie Letourneau,Valerie-Letourneau,1.67,Jessica-Rakoczy,2.5
2112,Randa Markos vs Aisling Daly,Randa-Markos,1.39,Aisling-Daly,3.45
2113,Luke Rockhold vs Lyoto Machida,Luke-Rockhold,1.64,Lyoto-Machida,2.5
2114,Ronaldo Souza vs Chris Camozzi,Ronaldo-Souza,1.08,Chris-Camozzi,12.5
2115,Ronaldo Souza vs Chris Camozzi,Ronaldo-Souza,1.08,Chris-Camozzi,12.5
2116,Ronaldo Souza vs Chris Camozzi,Ronaldo-Souza,1.17,Chris-Camozzi,6.0
2117,Ronaldo Souza vs Chris Camozzi,Ronaldo-Souza,1.17,Chris-Camozzi,6.0
2118,Cub Swanson vs Max Holloway,Max-Holloway,2.33,Cub-Swanson,1.69
2119,Paige VanZant vs Felice Herrig,Paige-VanZant,1.82,Felice-Herrig,2.13
2120,Jim Miller vs Beneil Dariush,Beneil-Dariush,1.61,Jim-Miller,2.63
2121,Ovince St Preux vs Patrick Cummins,Ovince-St-Preux,2.08,Patrick-Cummins,1.85
2122,Corey Anderson vs Gian Villante,Gian-Villante,4.35,Corey-Anderson,1.28
2123,Takeya Mizugaki vs Aljamain Sterling,Aljamain-Sterling,1.28,Takeya-Mizugaki,4.17
2124,Tim Means vs George Sullivan,Tim-Means,1.64,George-Sullivan,2.56
2125,Diego Brandao vs Jimy Hettes,Diego-Brandao,1.67,Jimy-Hettes,2.44
2126,Chris Dempsey vs Eddie Gordon,Chris-Dempsey,5.0,Eddie-Gordon,1.23
2127,Gabriel Gonzaga vs Mirko Filipovic,Mirko-Filipovic,2.94,Gabriel-Gonzaga,1.49
2128,Jan Blachowicz vs Jimi Manuwa,Jimi-Manuwa,1.75,Jan-Blachowicz,2.27
2129,Pawel Pawlak vs Sheldon Westcott,Pawel-Pawlak,2.86,Sheldon-Westcott,1.52
2130,Joanne Calderwood vs Maryna Moroz,Maryna-Moroz,7.14,Joanne-Calderwood,1.18
2131,Seth Baczynski vs Leon Edwards,Leon-Edwards,1.89,Seth-Baczynski,2.22
2132,Bartosz Fabinski vs Garreth McLellan,Bartosz-Fabinski,1.82,Garreth-McLellan,2.13
2133,Mickael Lebout vs Sergio Moraes,Sergio-Moraes,1.27,Mickael-Lebout,5.0
2134,Damian Stasiak vs Yaotzin Meza,Yaotzin-Meza,2.13,Damian-Stasiak,1.79
2135,Daniel Omielanczuk vs Anthony Hamilton,Anthony-Hamilton,2.33,Daniel-Omielanczuk,1.69
2136,Izabela Badurek vs Alexandra Albu,Alexandra-Albu,1.56,Izabela-Badurek,3.03
2137,Marcin Bandel vs Stevie Ray,Stevie-Ray,1.59,Marcin-Bandel,2.7
2138,Taylor Lapilus vs Rocky Lee,Taylor-Lapilus,1.52,Rocky-Lee,2.86
2139,Chad Mendes vs Ricardo Lamas,Chad-Mendes,1.25,Ricardo-Lamas,4.76
2140,Al Iaquinta vs Jorge Masvidal,Al-Iaquinta,2.17,Jorge-Masvidal,1.79
2141,Michael Chiesa vs Mitch Clarke,Michael-Chiesa,1.28,Mitch-Clarke,4.0
2142,Julianna Pena vs Milana Dudieva,Julianna-Pena,1.39,Milana-Dudieva,3.33
2143,Clay Guida vs Robbie Peralta,Clay-Guida,1.43,Robbie-Peralta,3.13
2144,Dustin Poirier vs Carlos Diego Ferreira,Dustin-Poirier,1.56,Carlos-Diego-Ferreira,2.63
2145,Lauren Murphy vs Liz Carmouche,Liz-Carmouche,1.92,Lauren-Murphy,1.96
2146,Gray Maynard vs Alexander Yakovlev,Alexander-Yakovlev,1.82,Gray-Maynard,2.13
2147,Timothy Johnson vs Shamil Abdurakhimov,Timothy-Johnson,3.33,Shamil-Abdurakhimov,1.41
2148,Justin Jones vs Ron Stallings,Ron-Stallings,2.17,Justin-Jones,1.79
2149,Demian Maia vs Ryan LaFlare,Demian-Maia,2.22,Ryan-LaFlare,1.79
2150,Erick Silva vs Josh Koscheck,Erick-Silva,1.23,Josh-Koscheck,5.26
2151,Tony Martin vs Leonardo Santos,Leonardo-Santos,2.27,Tony-Martin,1.79
2152,Amanda Nunes vs Shayna Baszler,Amanda-Nunes,1.23,Shayna-Baszler,5.0
2153,Alex Oliveira vs Gilbert Burns,Gilbert-Burns,1.18,Alex-Oliveira,6.25
2154,Andre Fili vs Godofredo Pepey,Godofredo-Pepey,3.7,Andre-Fili,1.33
2155,Akbarh Arreola vs Francisco Trinaldo,Francisco-Trinaldo,1.52,Akbarh-Arreola,2.86
2156,Katsunori Kikuno vs Edmilson Souza,Edmilson-Souza,1.43,Katsunori-Kikuno,3.23
2157,Drew Dober vs Leandro Silva,Leandro-Silva,1.69,Drew-Dober,2.33
2158,Cain Carrizosa vs Leonardo Mafra,Leonardo-Mafra,1.64,Cain-Carrizosa,2.5
2159,Christos Giagos vs Jorge Antonio Cezario de Oliveira,Christos-Giagos,1.54,Jorge-Antonio-Cezario-de-Oliveira,2.78
2160,Bentley Syler vs Freddy Serrano,Freddy-Serrano,2.33,Bentley-Syler,2.08
2161,Anthony Pettis vs Rafael dos Anjos,Rafael-dos-Anjos,4.9,Anthony-Pettis,1.27
2162,Carla Esparza vs Joanna Jedrzejczyk,Joanna-Jedrzejczyk,2.48,Carla-Esparza,1.63
2163,Johny Hendricks vs Matt Brown,Johny-Hendricks,1.3,Matt-Brown,4.26
2164,Alistair Overeem vs Roy Nelson,Alistair-Overeem,1.54,Roy-Nelson,2.8
2165,Henry Cejudo vs Chris Cariaso,Henry-Cejudo,1.2,Chris-Cariaso,6.02
2166,Ross Pearson vs Sam Stout,Ross-Pearson,1.3,Sam-Stout,4.26
2167,Roger Narvaez vs Elias Theodorou,Elias-Theodorou,1.31,Roger-Narvaez,3.94
2168,Daron Cruickshank vs Beneil Dariush,Beneil-Dariush,2.37,Daron-Cruickshank,1.73
2169,Jared Rosholt vs Josh Copeland,Jared-Rosholt,1.36,Josh-Copeland,3.73
2170,Sergio Pettis vs Ryan Benoit,Ryan-Benoit,5.35,Sergio-Pettis,1.22
2171,Joseph Duffy vs Jake Lindsey,Joseph-Duffy,1.22,Jake-Lindsey,5.62
2172,Larissa Pacheco vs Germaine de Randamie,Germaine-de-Randamie,2.4,Larissa-Pacheco,1.71
2173,Ronda Rousey vs Cat Zingano,Ronda-Rousey,1.18,Cat-Zingano,7.14
2174,Holly Holm vs Raquel Pennington,Holly-Holm,1.16,Raquel-Pennington,6.25
2175,Josh Koscheck vs Jake Ellenberger,Jake-Ellenberger,1.52,Josh-Koscheck,2.78
2176,Alan Jouban vs Richard Walsh,Alan-Jouban,1.33,Richard-Walsh,3.85
2177,Tony Ferguson vs Gleison Tibau,Tony-Ferguson,1.43,Gleison-Tibau,3.23
2178,Mark Munoz vs Roan Carneiro,Roan-Carneiro,3.45,Mark-Munoz,1.39
2179,Dhiego Lima vs Tim Means,Tim-Means,1.72,Dhiego-Lima,2.33
2180,Derrick Lewis vs Ruan Potts,Derrick-Lewis,1.19,Ruan-Potts,5.56
2181,James Krause vs Valmir Lazaro,Valmir-Lazaro,2.63,James-Krause,1.59
2182,Masio Fullen vs Alexander Torres,Masio-Fullen,1.67,Alexander-Torres,2.38
2183,Frank Mir vs Antonio Silva,Frank-Mir,3.45,Antonio-Silva,1.45
2184,Edson Barboza vs Michael Johnson,Michael-Johnson,2.63,Edson-Barboza,1.59
2185,Cezar Ferreira vs Sam Alvey,Sam-Alvey,4.17,Cezar-Ferreira,1.32
2186,Rustam Khabilov vs Adriano Martins,Adriano-Martins,5.56,Rustam-Khabilov,1.2
2187,Yuri Alcantara vs Frankie Saenz,Frankie-Saenz,7.69,Yuri-Alcantara,1.14
2188,Santiago Ponzinibbio vs Sean Strickland,Santiago-Ponzinibbio,2.86,Sean-Strickland,1.54
2189,Jessica Andrade vs Marion Reneau,Marion-Reneau,3.33,Jessica-Andrade,1.41
2190,Matt Dwyer vs William Macario,Matt-Dwyer,4.35,William-Macario,1.27
2191,Mike de la Torre vs Tiago Trator,Mike-de-la-Torre,3.03,Tiago-Trator,1.47
2192,Cody Gibson vs Douglas Silva de Andrade,Douglas-Silva-de-Andrade,3.23,Cody-Gibson,1.43
2193,Ivan Jorge vs Josh Shockley,Ivan-Jorge,1.45,Josh-Shockley,3.13
2194,Benson Henderson vs Brandon Thatch,Benson-Henderson,2.38,Brandon-Thatch,1.79
2195,Max Holloway vs Cole Miller,Max-Holloway,1.27,Cole-Miller,4.76
2196,Neil Magny vs Kiichi Kunimoto,Neil-Magny,1.18,Kiichi-Kunimoto,5.88
2197,Patrick Walsh vs Daniel Kelly,Daniel-Kelly,2.63,Patrick-Walsh,1.64
2198,Michel Prazeres vs Kevin Lee,Kevin-Lee,1.69,Michel-Prazeres,2.33
2199,Chris Kelades vs Ray Borg,Ray-Borg,1.14,Chris-Kelades,7.69
2200,Efrain Escudero vs Rodrigo Lima,Efrain-Escudero,2.13,Rodrigo-Lima,1.82
2201,Jim Alers vs Chas Skelly,Chas-Skelly,1.47,Jim-Alers,3.03
2202,Tim Elliott vs Zach Makovsky,Zach-Makovsky,1.96,Tim-Elliott,2.0
2203,Cody Pfister vs James Moontasri,James-Moontasri,1.47,Cody-Pfister,3.03
2204,Anderson Silva vs Nick Diaz,Anderson-Silva,1.2,Nick-Diaz,5.26
2205,Tyron Woodley vs Kelvin Gastelum,Tyron-Woodley,2.33,Kelvin-Gastelum,2.0
2206,Joe Lauzon vs Al Iaquinta,Al-Iaquinta,1.56,Joe-Lauzon,2.78
2207,Tim Boetsch vs Thales Leites,Thales-Leites,1.23,Tim-Boetsch,5.0
2208,Jordan Mein vs Thiago Alves,Thiago-Alves,2.27,Jordan-Mein,1.75
2209,Miesha Tate vs Sara McMann,Miesha-Tate,2.7,Sara-McMann,1.64
2210,Derek Brunson vs Ed Herman,Derek-Brunson,1.18,Ed-Herman,5.88
2211,Ian McCall vs John Lineker,John-Lineker,3.13,Ian-McCall,1.43
2212,Tom Watson vs Rafael Natal,Rafael-Natal,1.72,Tom-Watson,2.44
2213,Ildemar Alcantara vs Richardson Moreira,Ildemar-Alcantara,1.61,Richardson-Moreira,2.56
2214,Andy Enz vs Thiago Santos,Thiago-Santos,1.59,Andy-Enz,2.7
2215,Alexander Gustafsson vs Anthony Johnson,Anthony-Johnson,3.7,Alexander-Gustafsson,1.35
2216,Gegard Mousasi vs Dan Henderson,Gegard-Mousasi,1.2,Dan-Henderson,5.56
2217,Phil Davis vs Ryan Bader,Ryan-Bader,3.03,Phil-Davis,1.49
2218,Akira Corassani vs Sam Sicilia,Sam-Sicilia,2.08,Akira-Corassani,1.89
2219,Nico Musoke vs Albert Tumenov,Albert-Tumenov,1.75,Nico-Musoke,2.33
2220,Kenny Robertson vs Sultan Aliev,Kenny-Robertson,2.63,Sultan-Aliev,1.61
2221,Makwan Amirkhani vs Andy Ogle,Makwan-Amirkhani,2.44,Andy-Ogle,1.69
2222,Nikita Krylov vs Stanislav Nedkov,Nikita-Krylov,1.82,Stanislav-Nedkov,2.13
2223,Anthony Christodoulou vs Mairbek Taisumov,Mairbek-Taisumov,1.12,Anthony-Christodoulou,8.33
2224,Mirsad Bektic vs Paul Redmond,Mirsad-Bektic,1.15,Paul-Redmond,6.67
2225,Konstantin Erokhin vs Viktor Pesta,Viktor-Pesta,4.35,Konstantin-Erokhin,1.27
2226,Chris Beal vs Neil Seery,Neil-Seery,2.78,Chris-Beal,1.54
2227,Conor McGregor vs Dennis Siver,Conor-McGregor,1.11,Dennis-Siver,10.0
2228,Donald Cerrone vs Benson Henderson,Donald-Cerrone,2.22,Benson-Henderson,1.79
2229,Urijah Hall vs Ron Stallings,Urijah-Hall,1.14,Ron-Stallings,8.33
2230,Norman Parke vs Gleison Tibau,Gleison-Tibau,1.72,Norman-Parke,2.27
2231,Cathal Pendred vs Sean Spencer,Cathal-Pendred,2.38,Sean-Spencer,1.67
2232,John Howard vs Lorenz Larkin,Lorenz-Larkin,1.67,John-Howard,2.38
2233,Zhang Lipeng vs Chris Wade,Chris-Wade,1.22,Zhang-Lipeng,5.56
2234,Patrick Holohan vs Shane Howell,Patrick-Holohan,1.39,Shane-Howell,3.57
2235,Johnny Case vs Frankie Perez,Johnny-Case,0.0,Frankie-Perez,0.0
2236,Charles Rosa vs Sean Soriano,Charles-Rosa,1.75,Sean-Soriano,2.22
2237,Sean O'Connell vs Matt Van Buren,Sean-O'Connell,1.56,Matt-Van-Buren,2.78
2238,Joby Sanchez vs Tateki Matsuda,Joby-Sanchez,1.64,Tateki-Matsuda,2.56
2239,Jon Jones vs Daniel Cormier,Jon-Jones,1.64,Daniel-Cormier,2.5
2240,Donald Cerrone vs Myles Jury,Donald-Cerrone,1.54,Myles-Jury,2.7
2241,Nate Marquardt vs Brad Tavares,Brad-Tavares,2.22,Nate-Marquardt,1.79
2242,Kyoji Horiguchi vs Louis Gaudinot,Kyoji-Horiguchi,1.16,Louis-Gaudinot,6.67
2243,Hector Lombard vs Josh Burkman,Hector-Lombard,1.15,Josh-Burkman,7.14
2244,Danny Castillo vs Paul Felder,Paul-Felder,2.94,Danny-Castillo,1.47
2245,Marcus Brimage vs Cody Garbrandt,Cody-Garbrandt,2.7,Marcus-Brimage,1.56
2246,Shawn Jordan vs Jared Cannonier,Shawn-Jordan,1.47,Jared-Cannonier,3.03
2247,Evan Dunham vs Rodrigo Damm,Evan-Dunham,1.22,Rodrigo-Damm,5.56
2248,Omari Akhmedov vs Mats Nilsson,Omari-Akhmedov,1.64,Mats-Nilsson,2.5
2249,Alexis Dufresne vs Marion Reneau,Marion-Reneau,2.7,Alexis-Dufresne,1.56
2250,Lyoto Machida vs C.B. Dollaway,Lyoto-Machida,1.18,C.B.-Dollaway,5.88
2251,Renan Barao vs Mitch Gagnon,Renan-Barao,1.14,Mitch-Gagnon,7.14
2252,Patrick Cummins vs Antonio Carlos Junior,Patrick-Cummins,1.64,Antonio-Carlos-Junior,2.56
2253,Rashid Magomedov vs Elias Silverio,Rashid-Magomedov,1.64,Elias-Silverio,2.44
2254,Erick Silva vs Mike Rhodes,Erick-Silva,1.28,Mike-Rhodes,4.35
2255,Antonio Dos Santos Jr. vs Daniel Sarafian,Daniel-Sarafian,1.67,Antonio-Dos-Santos-Jr.,2.38
2256,Marcos Rogerio de Lima vs Igor Pokrajac,Marcos-Rogerio-de-Lima,1.33,Igor-Pokrajac,4.0
2257,Tom Niinimaki vs Renato Moicano,Renato-Moicano,2.04,Tom-Niinimaki,1.92
2258,Hacran Dias vs Darren Elkins,Hacran-Dias,1.54,Darren-Elkins,2.78
2259,Leandro Issa vs Yuta Sasaki,Leandro-Issa,5.0,Yuta-Sasaki,1.22
2260,Tim Means vs Marcio Alexandre Jr.,Tim-Means,1.47,Marcio-Alexandre-Jr.,3.03
2261,Jake Collier vs Vitor Miranda,Vitor-Miranda,2.56,Jake-Collier,1.59
2262,Junior dos Santos vs Stipe Miocic,Junior-dos-Santos,1.28,Stipe-Miocic,4.55
2263,Nate Diaz vs Rafael dos Anjos,Rafael-dos-Anjos,1.41,Nate-Diaz,3.57
2264,Alistair Overeem vs Stefan Struve,Alistair-Overeem,1.47,Stefan-Struve,3.23
2265,Matt Mitrione vs Gabriel Gonzaga,Matt-Mitrione,1.79,Gabriel-Gonzaga,2.22
2266,Claudia Gadelha vs Joanna Jedrzejczyk,Joanna-Jedrzejczyk,3.23,Claudia-Gadelha,1.43
2267,Willie Gates vs John Moraga,John-Moraga,1.23,Willie-Gates,5.56
2268,Ben Saunders vs Joe Riggs,Ben-Saunders,1.43,Joe-Riggs,3.23
2269,Jamie Varner vs Drew Dober,Drew-Dober,4.35,Jamie-Varner,1.28
2270,Joe Ellenberger vs Bryan Barberena,Bryan-Barberena,3.13,Joe-Ellenberger,1.47
2271,David Michaud vs Garett Whiteley,David-Michaud,1.47,Garett-Whiteley,2.94
2272,Henry Cejudo vs Dustin Kimura,Henry-Cejudo,1.45,Dustin-Kimura,3.23
2273,Ian Entwistle vs Anthony Birchak,Ian-Entwistle,3.03,Anthony-Birchak,1.47
2274,Carla Esparza vs Rose Namajunas,Carla-Esparza,2.63,Rose-Namajunas,1.56
2275,Jeremy Stephens vs Charles Oliveira,Charles-Oliveira,2.33,Jeremy-Stephens,1.89
2276,Yancy Medeiros vs Joe Proctor,Yancy-Medeiros,1.43,Joe-Proctor,3.23
2277,Jessica Penne vs Randa Markos,Jessica-Penne,2.0,Randa-Markos,1.92
2278,Felice Herrig vs Lisa Ellis,Felice-Herrig,1.28,Lisa-Ellis,4.17
2279,Bec Rawlings vs Heather Clark,Heather-Clark,2.63,Bec-Rawlings,1.56
2280,Joanne Calderwood vs Seo Hee Ham,Joanne-Calderwood,1.2,Seo-Hee-Ham,5.88
2281,Tecia Torres vs Angela Magana,Tecia-Torres,1.18,Angela-Magana,5.88
2282,Aisling Daly vs Alex Chambers,Aisling-Daly,1.49,Alex-Chambers,2.94
2283,Emily Kagan vs Angela Hill,Angela-Hill,1.64,Emily-Kagan,2.5
2284,Robbie Lawler vs Johny Hendricks,Robbie-Lawler,2.94,Johny-Hendricks,1.49
2285,Anthony Pettis vs Gilbert Melendez,Anthony-Pettis,1.41,Gilbert-Melendez,3.13
2286,Travis Browne vs Brendan Schaub,Travis-Browne,1.32,Brendan-Schaub,3.85
2287,Todd Duffee vs Anthony Hamilton,Todd-Duffee,1.33,Anthony-Hamilton,3.7
2288,Tony Ferguson vs Abel Trujillo,Tony-Ferguson,1.43,Abel-Trujillo,3.13
2289,Urijah Faber vs Francisco Rivera,Urijah-Faber,1.23,Francisco-Rivera,5.0
2290,Eddie Gordon vs Josh Samman,Josh-Samman,2.44,Eddie-Gordon,1.64
2291,Justin Jones vs Corey Anderson,Corey-Anderson,1.32,Justin-Jones,3.85
2292,Ashlee Evans-Smith vs Raquel Pennington,Raquel-Pennington,2.7,Ashlee-Evans-Smith,1.54
2293,Sergio Pettis vs Matt Hobar,Sergio-Pettis,1.33,Matt-Hobar,3.7
2294,Clay Collard vs Alex White,Clay-Collard,2.22,Alex-White,1.75
2295,Cub Swanson vs Frankie Edgar,Frankie-Edgar,1.47,Cub-Swanson,3.03
2296,Bobby Green vs Edson Barboza,Edson-Barboza,1.96,Bobby-Green,2.04
2297,Brad Pickett vs Chico Camus,Chico-Camus,3.03,Brad-Pickett,1.52
2298,Jared Rosholt vs Aleksei Oleinik,Aleksei-Oleinik,3.03,Jared-Rosholt,1.47
2299,Isaac Vallie-Flagg vs Matt Wiman,Matt-Wiman,1.54,Isaac-Vallie-Flagg,2.78
2300,Ruslan Magomedov vs Josh Copeland,Ruslan-Magomedov,1.49,Josh-Copeland,2.94
2301,Luke Barnatt vs Roger Narvaez,Roger-Narvaez,3.57,Luke-Barnatt,1.33
2302,James Vick vs Nick Hein,James-Vick,1.49,Nick-Hein,2.78
2303,Yves Edwards vs Akbarh Arreola,Akbarh-Arreola,2.78,Yves-Edwards,1.54
2304,Kailin Curran vs Paige VanZant,Paige-VanZant,1.69,Kailin-Curran,2.38
2305,Doo Ho Choi vs Juan Manuel Puig,Doo-Ho-Choi,1.3,Juan-Manuel-Puig,3.85
2306,Fabricio Werdum vs Mark Hunt,Fabricio-Werdum,1.27,Mark-Hunt,4.55
2307,Jake Ellenberger vs Kelvin Gastelum,Kelvin-Gastelum,1.47,Jake-Ellenberger,2.94
2308,Ricardo Lamas vs Dennis Bermudez,Ricardo-Lamas,2.7,Dennis-Bermudez,1.59
2309,Augusto Montano vs Chris Heatherly,Augusto-Montano,1.47,Chris-Heatherly,2.94
2310,Edgar Garcia vs Hector Urbina,Hector-Urbina,2.78,Edgar-Garcia,1.54
2311,Alejandro Perez vs Jose Quinonez,Alejandro-Perez,3.03,Jose-Quinonez,1.47
