,fight,winner,odds_w,loser,odds_l
1408,Enrique Briones vs Douglas Silva de Andrade,Douglas-Silva-de-Andrade,1.57,Enrique-Briones,2.46
1409,Sam Alvey vs Alex Nicholson,Sam-Alvey,1.4,Alex-Nicholson,2.92
1410,Marco Polo Reyes vs Jason Novelli,Marco-Polo-Reyes,1.54,Jason-Novelli,2.56
1411,Enrique Barzola vs Chris Avila,Enrique-Barzola,1.2,Chris-Avila,4.77
1412,Michael Bisping vs Dan Henderson,Michael-Bisping,1.43,Dan-Henderson,3.2
1413,Gegard Mousasi vs Vitor Belfort,Gegard-Mousasi,1.32,Vitor-Belfort,3.95
1414,Ovince St Preux vs Jimi Manuwa,Jimi-Manuwa,2.45,Ovince-St-Preux,1.67
1415,Stefan Struve vs Daniel Omielanczuk,Stefan-Struve,1.59,Daniel-Omielanczuk,2.6
1416,Russell Doane vs Mirsad Bektic,Mirsad-Bektic,1.18,Russell-Doane,6.05
1417,Brad Pickett vs Yuri Alcantara,Yuri-Alcantara,1.74,Brad-Pickett,2.38
1418,Davey Grant vs Damian Stasiak,Damian-Stasiak,2.7,Davey-Grant,1.57
1419,Albert Tumenov vs Leon Edwards,Leon-Edwards,3.05,Albert-Tumenov,1.46
1420,Marc Diakiese vs Lukasz Sajewski,Marc-Diakiese,1.4,Lukasz-Sajewski,3.55
1421,Danny Roberts vs Mike Perry,Mike-Perry,2.0,Danny-Roberts,1.94
1422,Leonardo Santos vs Adriano Martins,Leonardo-Santos,2.85,Adriano-Martins,1.53
1423,John Lineker vs John Dodson,John-Lineker,2.1,John-Dodson,1.85
1424,Will Brooks vs Alex Oliveira,Alex-Oliveira,3.65,Will-Brooks,1.36
1425,Josh Burkman vs Zak Ottow,Zak-Ottow,3.15,Josh-Burkman,1.43
1426,Brandon Moreno vs Louis Smolka,Brandon-Moreno,4.9,Louis-Smolka,1.23
1427,Luis Henrique da Silva vs Joachim Christensen,Luis-Henrique-da-Silva,1.85,Joachim-Christensen,2.2
1428,Andre Fili vs Hacran Dias,Andre-Fili,2.6,Hacran-Dias,1.61
1429,Nate Marquardt vs Tamdan McCrory,Nate-Marquardt,2.9,Tamdan-McCrory,1.44
1430,Walt Harris vs Shamil Abdurakhimov,Shamil-Abdurakhimov,1.81,Walt-Harris,2.13
1431,Cody East vs Curtis Blaydes,Curtis-Blaydes,1.45,Cody-East,3.05
1432,Keita Nakamura vs Elizeu Zaleski dos Santos,Elizeu-Zaleski-dos-Santos,2.05,Keita-Nakamura,1.88
1433,Jonathan Wilson vs Ion Cutelaba,Ion-Cutelaba,1.62,Jonathan-Wilson,2.65
1434,Kelly Faszholz vs Ketlen Vieira,Ketlen-Vieira,2.05,Kelly-Faszholz,1.91
1435,Cristiane Justino vs Lina Lansberg,Cristiane-Justino,1.1,Lina-Lansberg,9.5
1436,Renan Barao vs Phillipe Nover,Renan-Barao,1.24,Phillipe-Nover,5.1
1437,Antonio Silva vs Roy Nelson,Roy-Nelson,1.24,Antonio-Silva,4.9
1438,Francisco Trinaldo vs Paul Felder,Francisco-Trinaldo,1.89,Paul-Felder,2.1
1439,Thiago Santos vs Eric Spicely,Eric-Spicely,6.05,Thiago-Santos,1.17
1440,Godofredo Pepey vs Mike de la Torre,Godofredo-Pepey,1.93,Mike-de-la-Torre,2.25
1441,Gilbert Burns vs Michel Prazeres,Michel-Prazeres,3.15,Gilbert-Burns,1.48
1442,Michinori Tanaka vs Rani Yahya,Rani-Yahya,1.93,Michinori-Tanaka,2.15
1443,Jussier Formiga vs Dustin Ortiz,Jussier-Formiga,1.56,Dustin-Ortiz,2.68
1444,Erick Silva vs Luan Chagas,Erick-Silva,2.4,Luan-Chagas,1.93
1445,Alan Patrick vs Stevie Ray,Alan-Patrick,2.5,Stevie-Ray,1.65
1446,Vicente Luque vs Hector Urbina,Vicente-Luque,1.22,Hector-Urbina,5.35
1447,Glaico Franca vs Gregor Gillespie,Gregor-Gillespie,2.2,Glaico-Franca,1.81
1448,Dustin Poirier vs Michael Johnson,Michael-Johnson,2.5,Dustin-Poirier,1.63
1449,Urijah Hall vs Derek Brunson,Derek-Brunson,1.53,Urijah-Hall,2.85
1450,Evan Dunham vs Rick Glenn,Evan-Dunham,1.32,Rick-Glenn,4.0
1451,Roan Carneiro vs Kenny Robertson,Roan-Carneiro,2.1,Kenny-Robertson,1.95
1452,Chris Wade vs Islam Makhachev,Islam-Makhachev,1.85,Chris-Wade,2.15
1453,Chas Skelly vs Maximo Blanco,Chas-Skelly,1.59,Maximo-Blanco,2.75
1454,Sam Sicilia vs Gabriel Benitez,Gabriel-Benitez,2.25,Sam-Sicilia,1.81
1455,Augusto Montano vs Belal Muhammad,Belal-Muhammad,1.25,Augusto-Montano,4.9
1456,Antonio Carlos Junior vs Leonardo Guimaraes,Antonio-Carlos-Junior,1.44,Leonardo-Guimaraes,3.35
1457,Joey Gomez vs Jose Quinonez,Jose-Quinonez,2.38,Joey-Gomez,1.75
1458,Erick Montano vs Randy Brown,Randy-Brown,1.25,Erick-Montano,4.8
1459,Stipe Miocic vs Alistair Overeem,Stipe-Miocic,1.9,Alistair-Overeem,2.05
1460,Fabricio Werdum vs Travis Browne,Fabricio-Werdum,1.5,Travis-Browne,2.88
1461,Fabricio Werdum vs Travis Browne,Fabricio-Werdum,1.5,Travis-Browne,2.88
1462,Fabricio Werdum vs Travis Browne,Fabricio-Werdum,3.15,Travis-Browne,1.45
1463,Fabricio Werdum vs Travis Browne,Fabricio-Werdum,3.15,Travis-Browne,1.45
1464,Mickey Gall vs Phil Brooks,Mickey-Gall,1.25,Phil-Brooks,4.89
1465,Urijah Faber vs Jimmie Rivera,Jimmie-Rivera,1.63,Urijah-Faber,2.5
1466,Joanne Calderwood vs Jessica Andrade,Jessica-Andrade,1.76,Joanne-Calderwood,2.25
1467,Jessica Eye vs Bethe Correia,Bethe-Correia,2.3,Jessica-Eye,1.71
1468,Brad Tavares vs Caio Magalhaes,Brad-Tavares,1.55,Caio-Magalhaes,2.7
1469,Michael McBride vs Nik Lentz,Nik-Lentz,1.24,Michael-McBride,4.85
1470,Jason Gonzalez vs Drew Dober,Drew-Dober,1.65,Jason-Gonzalez,2.5
1471,Yancy Medeiros vs Sean Spencer,Yancy-Medeiros,1.82,Sean-Spencer,2.2
1472,Andrei Arlovski vs Josh Barnett,Josh-Barnett,1.67,Andrei-Arlovski,2.4
1473,Alexander Gustafsson vs Jan Blachowicz,Alexander-Gustafsson,1.17,Jan-Blachowicz,6.35
1474,Ryan Bader vs Ilir Latifi,Ryan-Bader,1.5,Ilir-Latifi,2.86
1475,Nick Hein vs Tae Hyun Bang,Nick-Hein,1.36,Tae-Hyun-Bang,3.75
1476,Jessin Ayari vs Jim Wallhead,Jessin-Ayari,2.25,Jim-Wallhead,1.74
1477,Nicolas Dalby vs Peter Sobotta,Peter-Sobotta,2.68,Nicolas-Dalby,1.62
1478,Veronica Macedo vs Ashlee Evans-Smith,Ashlee-Evans-Smith,1.4,Veronica-Macedo,3.35
1479,Leandro Issa vs Taylor Lapilus,Taylor-Lapilus,1.67,Leandro-Issa,2.4
1480,Scott Askham vs Jack Hermansson,Jack-Hermansson,2.0,Scott-Askham,1.99
1481,Rustam Khabilov vs Leandro Silva,Rustam-Khabilov,1.25,Leandro-Silva,4.75
1482,Carlos Condit vs Demian Maia,Demian-Maia,2.1,Carlos-Condit,1.89
1483,Anthony Pettis vs Charles Oliveira,Anthony-Pettis,1.53,Charles-Oliveira,2.85
1484,Paige VanZant vs Bec Rawlings,Paige-VanZant,1.49,Bec-Rawlings,2.9
1485,Joe Lauzon vs Jim Miller,Jim-Miller,2.25,Joe-Lauzon,1.74
1486,Sam Alvey vs Kevin Casey,Sam-Alvey,1.45,Kevin-Casey,3.25
1487,Enrique Barzola vs Kyle Bochniak,Kyle-Bochniak,1.66,Enrique-Barzola,2.5
1488,Garreth McLellan vs Alessio Di Chirico,Alessio-Di-Chirico,1.37,Garreth-McLellan,3.6
1489,Shane Campbell vs Felipe Silva,Felipe-Silva,2.45,Shane-Campbell,1.73
1490,Chad Laprise vs Thibault Gouti,Chad-Laprise,1.36,Thibault-Gouti,3.9
1491,Alex Ricci vs Jeremy Kennedy,Jeremy-Kennedy,1.71,Alex-Ricci,2.35
1492,Conor McGregor vs Nate Diaz,Conor-McGregor,1.83,Nate-Diaz,2.1
1493,Anthony Johnson vs Glover Teixeira,Anthony-Johnson,1.58,Glover-Teixeira,2.9
1494,Donald Cerrone vs Rick Story,Donald-Cerrone,1.87,Rick-Story,2.2
1495,Mike Perry vs Hyun Gyu Lim,Mike-Perry,3.3,Hyun-Gyu-Lim,1.42
