,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,W_L_FIGHTERS
2505,Mark Hunt Roy Nelson,1  0,32 of 91  20 of 60,35%  33%,32 of 91  20 of 60,0 of 0  1 of 6,0%  16%,0  0,0  1,0  0,32 of 91  20 of 60,28 of 85  16 of 54,3 of 5  2 of 3,1 of 1  2 of 3,28 of 85  20 of 60,4 of 6  0 of 0,0 of 0  0 of 0,Mark Hunt  Roy Nelson
2506,Myles Jury Takanori Gomi,1  0,10 of 23  1 of 4,43%  25%,10 of 23  1 of 4,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,10 of 23  1 of 4,7 of 17  0 of 3,1 of 4  1 of 1,2 of 2  0 of 0,4 of 15  1 of 4,0 of 0  0 of 0,6 of 8  0 of 0,Myles Jury  Takanori Gomi
2507,Yoshihiro Akiyama Amir Sadollah,0  0,57 of 119  42 of 101,47%  41%,94 of 165  63 of 124,2 of 5  0 of 0,40%  0%,0  0,3  0,0  0,57 of 119  42 of 101,51 of 113  24 of 77,6 of 6  4 of 5,0 of 0  14 of 19,26 of 60  31 of 84,0 of 1  6 of 8,31 of 58  5 of 9,Yoshihiro Akiyama  Amir Sadollah
2508,Miesha Tate Rin Nakai,0  0,55 of 116  16 of 47,47%  34%,88 of 150  52 of 86,1 of 4  3 of 19,25%  15%,0  0,0  2,0  0,55 of 116  16 of 47,33 of 87  7 of 28,18 of 24  6 of 16,4 of 5  3 of 3,28 of 79  7 of 24,25 of 33  9 of 21,2 of 4  0 of 2,Miesha Tate  Rin Nakai
2509,Kiichi Kunimoto Richard Walsh,0  2,36 of 92  59 of 105,39%  56%,62 of 128  96 of 142,1 of 10  0 of 0,10%  0%,0  0,1  0,0  0,36 of 92  59 of 105,16 of 70  31 of 70,14 of 16  10 of 16,6 of 6  18 of 19,20 of 72  41 of 80,14 of 18  14 of 21,2 of 2  4 of 4,Kiichi Kunimoto  Richard Walsh
2510,Kyoji Horiguchi Jon Delos Reyes,0  0,31 of 43  13 of 25,72%  52%,49 of 62  18 of 30,0 of 0  0 of 0,0%  0%,0  0,1  0,0  0,31 of 43  13 of 25,22 of 34  4 of 16,9 of 9  4 of 4,0 of 0  5 of 5,11 of 15  6 of 16,11 of 17  7 of 9,9 of 11  0 of 0,Kyoji Horiguchi  Jon Delos Reyes
2511,Alex Caceres Masanori Kanehara,0  0,24 of 78  32 of 69,30%  46%,33 of 87  102 of 145,0 of 0  2 of 4,0%  50%,0  2,0  1,1  0,24 of 78  32 of 69,14 of 60  29 of 62,5 of 11  0 of 3,5 of 7  3 of 4,20 of 72  20 of 54,4 of 6  11 of 14,0 of 0  1 of 1,Masanori Kanehara  Alex Caceres
2512,Katsunori Kikuno Sam Sicilia,0  0,32 of 78  36 of 91,41%  39%,33 of 79  37 of 92,1 of 1  0 of 0,100%  0%,1  0,0  0,0  0,32 of 78  36 of 91,20 of 60  18 of 64,3 of 8  7 of 12,9 of 10  11 of 15,30 of 74  27 of 79,2 of 4  9 of 12,0 of 0  0 of 0,Katsunori Kikuno  Sam Sicilia
2513,Hyun Gyu Lim Takenori Sato,1  0,10 of 13  1 of 3,76%  33%,15 of 18  2 of 4,0 of 0  0 of 2,0%  0%,0  0,0  0,0  0,10 of 13  1 of 3,10 of 13  0 of 0,0 of 0  0 of 1,0 of 0  1 of 2,0 of 3  1 of 3,3 of 3  0 of 0,7 of 7  0 of 0,Hyun Gyu Lim  Takenori Sato
2514,Michinori Tanaka Kyung Ho Kang,0  0,22 of 61  21 of 66,36%  31%,39 of 81  42 of 89,3 of 9  0 of 0,33%  0%,0  2,4  10,4  1,22 of 61  21 of 66,20 of 58  15 of 56,2 of 3  3 of 4,0 of 0  3 of 6,9 of 44  16 of 61,2 of 2  2 of 2,11 of 15  3 of 3,Kyung Ho Kang  Michinori Tanaka
2515,Kazuki Tokudome Johnny Case,0  1,12 of 29  13 of 73,41%  17%,13 of 30  20 of 80,1 of 4  0 of 1,25%  0%,0  0,1  0,0  0,12 of 29  13 of 73,10 of 27  11 of 67,0 of 0  0 of 2,2 of 2  2 of 4,9 of 26  11 of 69,2 of 2  1 of 3,1 of 1  1 of 1,Johnny Case  Kazuki Tokudome
2516,Maximo Blanco Dan Hooker,0  0,132 of 240  99 of 236,55%  41%,137 of 246  116 of 253,3 of 13  0 of 0,23%  0%,0  0,1  0,0  0,132 of 240  99 of 236,128 of 232  75 of 201,4 of 8  19 of 27,0 of 0  5 of 8,109 of 198  66 of 174,22 of 41  33 of 62,1 of 1  0 of 0,Maximo Blanco  Dan Hooker
2517,Antonio Silva Andrei Arlovski,0  1,6 of 13  13 of 33,46%  39%,6 of 13  14 of 34,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,6 of 13  13 of 33,2 of 7  8 of 27,2 of 3  4 of 5,2 of 3  1 of 1,5 of 11  8 of 26,1 of 2  1 of 3,0 of 0  4 of 4,Andrei Arlovski  Antonio Silva
2518,Gleison Tibau Piotr Hallmann,0  0,30 of 74  52 of 113,40%  46%,41 of 89  86 of 148,5 of 11  0 of 0,45%  0%,0  0,0  0,0  0,30 of 74  52 of 113,22 of 61  11 of 48,4 of 9  28 of 46,4 of 4  13 of 19,20 of 60  23 of 62,10 of 14  29 of 51,0 of 0  0 of 0,Gleison Tibau  Piotr Hallmann
2519,Leonardo Santos Efrain Escudero,0  1,36 of 98  43 of 101,36%  42%,66 of 132  77 of 143,2 of 4  0 of 0,50%  0%,0  0,6  0,0  0,36 of 98  43 of 101,23 of 75  27 of 80,7 of 17  6 of 11,6 of 6  10 of 10,20 of 79  37 of 92,1 of 3  4 of 5,15 of 16  2 of 4,Leonardo Santos  Efrain Escudero
2520,Santiago Ponzinibbio Wendell Oliveira,1  0,10 of 26  8 of 24,38%  33%,10 of 26  8 of 24,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,10 of 26  8 of 24,10 of 24  4 of 20,0 of 2  0 of 0,0 of 0  4 of 4,9 of 23  8 of 24,0 of 1  0 of 0,1 of 2  0 of 0,Santiago Ponzinibbio  Wendell Oliveira
2521,Iuri Alcantara Russell Doane,0  0,27 of 52  14 of 41,51%  34%,59 of 88  98 of 139,2 of 4  6 of 12,50%  50%,0  0,3  1,0  1,27 of 52  14 of 41,11 of 29  13 of 40,16 of 23  1 of 1,0 of 0  0 of 0,19 of 42  2 of 18,3 of 3  1 of 2,5 of 7  11 of 21,Iuri Alcantara  Russell Doane
2522,Jessica Andrade Larissa Pacheco,0  0,19 of 24  6 of 13,79%  46%,44 of 52  11 of 18,1 of 1  0 of 1,100%  0%,2  0,6  0,0  0,19 of 24  6 of 13,14 of 19  5 of 12,5 of 5  1 of 1,0 of 0  0 of 0,1 of 4  3 of 8,0 of 0  1 of 1,18 of 20  2 of 4,Jessica Andrade  Larissa Pacheco
2523,Godofredo Pepey Dashon Johnson,0  0,8 of 20  7 of 11,40%  63%,9 of 21  11 of 15,0 of 0  1 of 2,0%  50%,2  0,0  0,1  0,8 of 20  7 of 11,8 of 18  4 of 8,0 of 1  2 of 2,0 of 1  1 of 1,3 of 15  3 of 7,0 of 0  1 of 1,5 of 5  3 of 3,Godofredo Pepey  Dashon Johnson
2524,Igor Araujo George Sullivan,0  0,8 of 20  43 of 63,40%  68%,8 of 20  111 of 137,2 of 7  1 of 2,28%  50%,0  0,0  3,0  0,8 of 20  43 of 63,2 of 10  32 of 52,2 of 5  8 of 8,4 of 5  3 of 3,7 of 19  5 of 24,1 of 1  2 of 2,0 of 0  36 of 37,George Sullivan  Igor Araujo
2525,Francisco Trinaldo Leandro Silva,0  0,36 of 54  26 of 40,66%  65%,67 of 86  63 of 77,0 of 2  4 of 8,0%  50%,0  1,1  4,1  0,36 of 54  26 of 40,16 of 32  15 of 25,12 of 14  7 of 11,8 of 8  4 of 4,22 of 36  18 of 32,10 of 12  8 of 8,4 of 6  0 of 0,Francisco Trinaldo  Leandro Silva
2526,Paulo Thiago Sean Spencer,0  1,36 of 111  63 of 159,32%  39%,46 of 123  105 of 202,0 of 7  1 of 2,0%  50%,0  0,0  5,1  0,36 of 111  63 of 159,25 of 95  46 of 135,9 of 14  13 of 20,2 of 2  4 of 4,32 of 106  47 of 141,4 of 5  4 of 5,0 of 0  12 of 13,Sean Spencer  Paulo Thiago
2527,Rani Yahya Johnny Bedford,0  0,13 of 28  9 of 20,46%  45%,16 of 31  19 of 34,3 of 6  0 of 0,50%  0%,2  0,3  3,0  0,13 of 28  9 of 20,8 of 23  4 of 15,3 of 3  5 of 5,2 of 2  0 of 0,12 of 26  3 of 14,1 of 2  0 of 0,0 of 0  6 of 6,Rani Yahya  Johnny Bedford
2528,Jacare Souza Gegard Mousasi,0  0,32 of 56  26 of 56,57%  46%,59 of 86  78 of 109,4 of 10  0 of 0,40%  0%,1  0,7  0,0  0,32 of 56  26 of 56,15 of 37  23 of 53,9 of 11  1 of 1,8 of 8  2 of 2,16 of 39  19 of 45,5 of 6  7 of 11,11 of 11  0 of 0,Jacare Souza  Gegard Mousasi
2529,Alistair Overeem Ben Rothwell,0  1,20 of 21  17 of 27,95%  62%,20 of 21  22 of 32,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,20 of 21  17 of 27,5 of 6  15 of 25,7 of 7  2 of 2,8 of 8  0 of 0,18 of 19  12 of 22,2 of 2  0 of 0,0 of 0  5 of 5,Ben Rothwell  Alistair Overeem
2530,Matt Mitrione Derrick Lewis,0  0,7 of 11  1 of 1,63%  100%,9 of 13  1 of 1,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,7 of 11  1 of 1,7 of 11  1 of 1,0 of 0  0 of 0,0 of 0  0 of 0,2 of 3  1 of 1,0 of 0  0 of 0,5 of 8  0 of 0,Matt Mitrione  Derrick Lewis
2531,Joe Lauzon Michael Chiesa,0  0,21 of 41  30 of 57,51%  52%,42 of 66  42 of 70,2 of 7  1 of 4,28%  25%,0  0,1  1,1  0,21 of 41  30 of 57,17 of 37  14 of 40,4 of 4  10 of 11,0 of 0  6 of 6,10 of 27  19 of 43,4 of 4  11 of 14,7 of 10  0 of 0,Joe Lauzon  Michael Chiesa
2532,John Moraga Justin Scoggins,0  0,4 of 12  13 of 18,33%  72%,13 of 22  34 of 41,0 of 0  3 of 3,0%  100%,3  0,0  6,0  0,4 of 12  13 of 18,2 of 6  6 of 11,0 of 2  3 of 3,2 of 4  4 of 4,4 of 12  11 of 16,0 of 0  0 of 0,0 of 0  2 of 2,John Moraga  Justin Scoggins
2533,Al Iaquinta Rodrigo Damm,1  0,93 of 221  57 of 177,42%  32%,93 of 221  57 of 177,0 of 0  0 of 5,0%  0%,0  0,0  0,0  0,93 of 221  57 of 177,67 of 183  51 of 168,14 of 26  5 of 6,12 of 12  1 of 3,90 of 217  57 of 177,2 of 3  0 of 0,1 of 1  0 of 0,Al Iaquinta  Rodrigo Damm
2534,Rafael Natal Chris Camozzi,0  0,36 of 73  67 of 112,49%  59%,46 of 84  86 of 134,2 of 12  0 of 1,16%  0%,0  0,0  0,0  0,36 of 73  67 of 112,6 of 36  39 of 82,16 of 22  10 of 10,14 of 15  18 of 20,30 of 65  57 of 100,6 of 8  10 of 12,0 of 0  0 of 0,Rafael Natal  Chris Camozzi
2535,Chris Beal Tateki Matsuda,0  0,45 of 123  41 of 111,36%  36%,66 of 144  70 of 142,3 of 4  0 of 1,75%  0%,1  0,5  1,1  1,45 of 123  41 of 111,40 of 117  19 of 74,4 of 5  4 of 8,1 of 1  18 of 29,15 of 77  37 of 105,7 of 11  1 of 3,23 of 35  3 of 3,Chris Beal  Tateki Matsuda
2536,Sean Soriano Chas Skelly,0  0,24 of 48  13 of 36,50%  36%,34 of 61  62 of 90,0 of 0  4 of 7,0%  57%,0  7,0  8,3  2,24 of 48  13 of 36,19 of 38  12 of 33,2 of 7  0 of 2,3 of 3  1 of 1,12 of 24  5 of 26,5 of 7  2 of 3,7 of 17  6 of 7,Chas Skelly  Sean Soriano
2537,TJ Dillashaw Joe Soto,1  0,151 of 454  62 of 197,33%  31%,156 of 461  63 of 198,2 of 3  0 of 5,66%  0%,0  0,1  0,0  0,151 of 454  62 of 197,113 of 400  53 of 184,22 of 33  6 of 8,16 of 21  3 of 5,144 of 440  62 of 194,6 of 10  0 of 3,1 of 4  0 of 0,TJ Dillashaw  Joe Soto
2538,Tony Ferguson Danny Castillo,0  0,23 of 80  23 of 105,28%  21%,71 of 130  30 of 114,0 of 0  2 of 8,0%  25%,1  1,0  3,1  1,23 of 80  23 of 105,10 of 62  23 of 102,3 of 3  0 of 3,10 of 15  0 of 0,22 of 76  21 of 95,0 of 3  0 of 0,1 of 1  2 of 10,Tony Ferguson  Danny Castillo
2539,Bethe Correia Shayna Baszler,0  0,68 of 103  8 of 30,66%  26%,97 of 132  19 of 41,0 of 0  1 of 4,0%  25%,0  1,0  0,0  0,68 of 103  8 of 30,50 of 79  8 of 30,17 of 23  0 of 0,1 of 1  0 of 0,42 of 66  4 of 20,25 of 36  4 of 10,1 of 1  0 of 0,Bethe Correia  Shayna Baszler
2540,Ramsey Nijem Diego Ferreira,0  1,18 of 58  25 of 70,31%  35%,27 of 67  33 of 79,2 of 4  0 of 0,50%  0%,0  2,1  0,0  1,18 of 58  25 of 70,13 of 52  17 of 56,3 of 4  6 of 11,2 of 2  2 of 3,15 of 46  16 of 61,0 of 1  0 of 0,3 of 11  9 of 9,Diego Ferreira  Ramsey Nijem
2541,Yancy Medeiros Damon Jackson,0  0,29 of 55  20 of 49,52%  40%,36 of 62  22 of 51,0 of 0  0 of 5,0%  0%,2  0,0  0,0  0,29 of 55  20 of 49,16 of 38  11 of 34,11 of 15  5 of 11,2 of 2  4 of 4,21 of 45  15 of 40,8 of 10  5 of 9,0 of 0  0 of 0,Yancy Medeiros  Damon Jackson
2542,Lorenz Larkin Derek Brunson,0  0,20 of 40  12 of 30,50%  40%,32 of 53  98 of 125,0 of 0  4 of 12,0%  33%,0  1,0  7,0  0,20 of 40  12 of 30,7 of 24  10 of 27,13 of 15  2 of 2,0 of 1  0 of 1,15 of 34  4 of 22,5 of 6  2 of 2,0 of 0  6 of 6,Derek Brunson  Lorenz Larkin
2543,Ruan Potts Anthony Hamilton,0  0,10 of 29  60 of 64,34%  93%,24 of 45  82 of 87,0 of 3  5 of 6,0%  83%,0  0,0  3,0  0,10 of 29  60 of 64,7 of 23  2 of 5,1 of 2  53 of 53,2 of 4  5 of 6,8 of 27  4 of 6,2 of 2  5 of 5,0 of 0  51 of 53,Anthony Hamilton  Ruan Potts
2544,Chris Wade Cain Carrizosa,0  0,0 of 1  0 of 3,0%  0%,5 of 6  0 of 3,1 of 1  0 of 0,100%  0%,1  0,1  0,0  0,0 of 1  0 of 3,0 of 1  0 of 3,0 of 0  0 of 0,0 of 0  0 of 0,0 of 1  0 of 3,0 of 0  0 of 0,0 of 0  0 of 0,Chris Wade  Cain Carrizosa
2545,Benson Henderson Rafael Dos Anjos,0  1,10 of 27  18 of 30,37%  60%,10 of 27  18 of 30,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,10 of 27  18 of 30,3 of 18  11 of 22,4 of 6  4 of 5,3 of 3  3 of 3,10 of 27  15 of 25,0 of 0  2 of 2,0 of 0  1 of 3,Rafael Dos Anjos  Benson Henderson
2546,Mike Pyle Jordan Mein,0  1,2 of 8  10 of 15,25%  66%,2 of 8  10 of 15,0 of 2  0 of 0,0%  0%,0  0,0  0,0  0,2 of 8  10 of 15,0 of 4  9 of 14,0 of 2  0 of 0,2 of 2  1 of 1,2 of 8  5 of 8,0 of 0  0 of 0,0 of 0  5 of 7,Jordan Mein  Mike Pyle
2547,Francis Carmont Thales Leites,0  1,18 of 51  18 of 43,35%  41%,18 of 51  19 of 44,0 of 1  0 of 1,0%  0%,0  0,0  0,0  0,18 of 51  18 of 43,9 of 39  11 of 33,2 of 4  3 of 6,7 of 8  4 of 4,16 of 49  12 of 31,2 of 2  5 of 9,0 of 0  1 of 3,Thales Leites  Francis Carmont
2548,Max Holloway Clay Collard,0  0,124 of 204  70 of 209,60%  33%,137 of 219  73 of 213,0 of 0  1 of 10,0%  10%,0  0,4  0,0  1,124 of 204  70 of 209,95 of 170  38 of 155,26 of 29  16 of 31,3 of 5  16 of 23,70 of 143  52 of 181,14 of 17  14 of 21,40 of 44  4 of 7,Max Holloway  Clay Collard
2549,James Vick Valmir Lazaro,1  0,77 of 221  91 of 231,34%  39%,83 of 227  96 of 236,0 of 1  4 of 10,0%  40%,0  0,0  1,1  0,77 of 221  91 of 231,51 of 189  64 of 190,15 of 19  15 of 26,11 of 13  12 of 15,68 of 210  79 of 209,9 of 11  12 of 22,0 of 0  0 of 0,James Vick  Valmir Lazaro
2550,Chas Skelly Tom Niinimaki,0  0,2 of 11  1 of 4,18%  25%,3 of 12  3 of 6,1 of 1  0 of 0,100%  0%,1  1,4  0,0  0,2 of 11  1 of 4,2 of 11  1 of 4,0 of 0  0 of 0,0 of 0  0 of 0,1 of 9  1 of 3,1 of 2  0 of 1,0 of 0  0 of 0,Chas Skelly  Tom Niinimaki
2551,Neil Magny Alex Garcia,0  0,39 of 79  5 of 39,49%  12%,130 of 175  27 of 68,3 of 6  3 of 7,50%  42%,0  0,2  2,0  1,39 of 79  5 of 39,18 of 56  4 of 35,6 of 7  1 of 4,15 of 16  0 of 0,16 of 51  4 of 34,17 of 18  0 of 1,6 of 10  1 of 4,Neil Magny  Alex Garcia
2552,Beneil Dariush Anthony Rocco Martin,0  0,26 of 61  34 of 72,42%  47%,30 of 65  38 of 76,2 of 3  1 of 4,66%  25%,1  0,2  1,0  0,26 of 61  34 of 72,6 of 32  24 of 59,17 of 24  2 of 4,3 of 5  8 of 9,15 of 47  27 of 61,11 of 14  7 of 11,0 of 0  0 of 0,Beneil Dariush  Anthony Rocco Martin
2553,Aaron Phillips Matt Hobar,0  0,38 of 54  63 of 100,70%  63%,230 of 279  120 of 172,0 of 1  6 of 9,0%  66%,0  0,0  6,0  0,38 of 54  63 of 100,23 of 39  51 of 85,12 of 12  8 of 11,3 of 3  4 of 4,14 of 25  6 of 15,17 of 18  21 of 28,7 of 11  36 of 57,Matt Hobar  Aaron Phillips
2554,Ben Saunders Chris Heatherly,0  0,4 of 6  4 of 5,66%  80%,6 of 11  7 of 9,0 of 0  1 of 1,0%  100%,2  0,0  1,0  0,4 of 6  4 of 5,1 of 3  1 of 2,1 of 1  3 of 3,2 of 2  0 of 0,3 of 4  3 of 4,0 of 0  0 of 0,1 of 2  1 of 1,Ben Saunders  Chris Heatherly
2555,Wilson Reis Joby Sanchez,0  1,22 of 67  20 of 86,32%  23%,70 of 138  36 of 102,9 of 14  0 of 0,64%  0%,1  0,9  1,0  1,22 of 67  20 of 86,13 of 55  16 of 75,2 of 5  4 of 11,7 of 7  0 of 0,18 of 61  15 of 74,2 of 4  0 of 3,2 of 2  5 of 9,Wilson Reis  Joby Sanchez
2556,Michael Bisping Cung Le,1  0,92 of 270  38 of 110,34%  34%,92 of 270  38 of 110,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,92 of 270  38 of 110,68 of 236  9 of 67,16 of 24  19 of 33,8 of 10  10 of 10,88 of 265  38 of 110,2 of 2  0 of 0,2 of 3  0 of 0,Michael Bisping  Cung Le
2557,Tyron Woodley Dong Hyun Kim,1  0,13 of 15  2 of 4,86%  50%,13 of 15  19 of 21,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,13 of 15  2 of 4,8 of 10  0 of 2,1 of 1  2 of 2,4 of 4  0 of 0,1 of 2  0 of 2,6 of 6  2 of 2,6 of 7  0 of 0,Tyron Woodley  Dong Hyun Kim
2558,Zhang Lipeng Brendan O'Reilly,0  0,19 of 40  15 of 50,47%  30%,130 of 179  74 of 121,2 of 4  0 of 3,50%  0%,1  0,3  1,0  1,19 of 40  15 of 50,7 of 25  7 of 35,6 of 9  4 of 8,6 of 6  4 of 7,9 of 27  12 of 41,6 of 7  3 of 4,4 of 6  0 of 5,Zhang Lipeng  Brendan O'Reilly
2559,Ning Guangyou Jianping Yang,0  0,31 of 91  21 of 78,34%  26%,41 of 103  24 of 82,2 of 3  1 of 4,66%  25%,1  0,3  1,0  0,31 of 91  21 of 78,13 of 64  4 of 47,8 of 14  0 of 4,10 of 13  17 of 27,28 of 86  21 of 77,3 of 4  0 of 1,0 of 1  0 of 0,Ning Guangyou  Jianping Yang
2560,Sai Wang Danny Mitchell,0  0,64 of 124  58 of 120,51%  48%,111 of 178  83 of 147,0 of 2  0 of 8,0%  0%,0  1,0  0,0  0,64 of 124  58 of 120,38 of 93  27 of 79,17 of 20  14 of 16,9 of 11  17 of 25,35 of 89  48 of 108,18 of 22  10 of 12,11 of 13  0 of 0,Sai Wang  Danny Mitchell
2561,Alberto Mina Shinsho Anzai,1  0,34 of 58  31 of 46,58%  67%,38 of 62  41 of 60,0 of 2  1 of 1,0%  100%,0  0,1  1,1  0,34 of 58  31 of 46,30 of 53  29 of 44,4 of 5  2 of 2,0 of 0  0 of 0,22 of 44  26 of 40,3 of 5  5 of 6,9 of 9  0 of 0,Alberto Mina  Shinsho Anzai
2562,Roland Delorme Ulka Sasaki,0  0,1 of 4  5 of 8,25%  62%,1 of 4  5 of 8,0 of 0  0 of 1,0%  0%,0  1,0  1,0  0,1 of 4  5 of 8,1 of 3  5 of 8,0 of 1  0 of 0,0 of 0  0 of 0,1 of 4  5 of 8,0 of 0  0 of 0,0 of 0  0 of 0,Ulka Sasaki  Roland Delorme
2563,An Ying Wang Colby Covington,0  0,0 of 5  11 of 17,0%  64%,2 of 7  66 of 88,0 of 0  2 of 2,0%  100%,0  0,0  8,0  0,0 of 5  11 of 17,0 of 5  9 of 15,0 of 0  2 of 2,0 of 0  0 of 0,0 of 5  2 of 2,0 of 0  0 of 0,0 of 0  9 of 15,Colby Covington  An Ying Wang
2564,Yao Zhikui Royston Wee,0  0,27 of 67  18 of 29,40%  62%,107 of 152  88 of 106,0 of 0  3 of 4,0%  75%,0  0,0  4,2  0,27 of 67  18 of 29,26 of 66  6 of 15,1 of 1  3 of 3,0 of 0  9 of 11,19 of 45  12 of 21,3 of 7  3 of 4,5 of 15  3 of 4,Royston Wee  Yao Zhikui
2565,Elizabeth Phillips Milana Dudieva,0  0,25 of 54  11 of 36,46%  30%,51 of 83  48 of 80,0 of 0  2 of 5,0%  40%,0  0,1  2,2  0,25 of 54  11 of 36,18 of 45  6 of 28,3 of 5  5 of 8,4 of 4  0 of 0,11 of 32  6 of 30,1 of 1  5 of 6,13 of 21  0 of 0,Milana Dudieva  Elizabeth Phillips
2566,Ryan Bader Ovince Saint Preux,0  0,24 of 72  24 of 91,33%  26%,77 of 137  30 of 97,9 of 21  2 of 2,42%  100%,1  0,5  1,0  0,24 of 72  24 of 91,18 of 57  17 of 75,3 of 8  6 of 13,3 of 7  1 of 3,13 of 53  20 of 84,2 of 4  4 of 6,9 of 15  0 of 1,Ryan Bader  Ovince Saint Preux
2567,Gray Maynard Ross Pearson,0  1,15 of 47  26 of 55,31%  47%,25 of 58  35 of 64,2 of 4  0 of 0,50%  0%,0  0,0  0,0  0,15 of 47  26 of 55,9 of 40  20 of 45,6 of 7  4 of 8,0 of 0  2 of 2,12 of 44  16 of 44,3 of 3  6 of 7,0 of 0  4 of 4,Ross Pearson  Gray Maynard
2568,Tim Boetsch Brad Tavares,2  0,14 of 28  24 of 56,50%  42%,40 of 56  37 of 70,1 of 5  0 of 1,20%  0%,0  0,0  0,0  0,14 of 28  24 of 56,10 of 23  17 of 49,4 of 5  7 of 7,0 of 0  0 of 0,5 of 13  7 of 26,5 of 10  17 of 30,4 of 5  0 of 0,Tim Boetsch  Brad Tavares
2569,Seth Baczynski Alan Jouban,0  1,25 of 65  25 of 43,38%  58%,27 of 68  26 of 44,1 of 2  0 of 0,50%  0%,0  0,0  0,0  0,25 of 65  25 of 43,23 of 60  15 of 32,2 of 5  5 of 6,0 of 0  5 of 5,15 of 45  14 of 28,8 of 16  9 of 13,2 of 4  2 of 2,Alan Jouban  Seth Baczynski
2570,Shawn Jordan Jack May,0  0,32 of 54  20 of 59,59%  33%,77 of 112  22 of 61,3 of 4  0 of 0,75%  0%,0  0,4  0,0  0,32 of 54  20 of 59,28 of 48  13 of 47,4 of 6  5 of 8,0 of 0  2 of 4,10 of 22  11 of 45,0 of 2  9 of 14,22 of 30  0 of 0,Shawn Jordan  Jack May
2571,Thiago Tavares Robert Peralta,0  0,18 of 31  0 of 2,58%  0%,45 of 63  3 of 5,2 of 3  0 of 0,66%  0%,1  0,2  0,0  0,18 of 31  0 of 2,18 of 31  0 of 2,0 of 0  0 of 0,0 of 0  0 of 0,0 of 2  0 of 2,0 of 0  0 of 0,18 of 29  0 of 0,Thiago Tavares  Robert Peralta
2572,Jussier Formiga Zach Makovsky,0  0,11 of 28  25 of 69,39%  36%,51 of 78  59 of 107,2 of 4  1 of 4,50%  25%,0  0,3  1,0  1,11 of 28  25 of 69,10 of 26  23 of 64,1 of 2  0 of 3,0 of 0  2 of 2,5 of 18  11 of 45,2 of 2  0 of 0,4 of 8  14 of 24,Jussier Formiga  Zach Makovsky
2573,Sara McMann Lauren Murphy,0  0,38 of 80  48 of 83,47%  57%,64 of 112  193 of 236,5 of 9  0 of 0,55%  0%,0  0,3  0,0  0,38 of 80  48 of 83,23 of 59  41 of 76,6 of 12  1 of 1,9 of 9  6 of 6,21 of 57  15 of 46,4 of 4  3 of 3,13 of 19  30 of 34,Sara McMann  Lauren Murphy
2574,Tom Watson Sam Alvey,0  0,85 of 167  82 of 168,50%  48%,86 of 168  91 of 177,0 of 4  0 of 0,0%  0%,0  0,0  0,0  0,85 of 167  82 of 168,34 of 105  71 of 150,8 of 13  10 of 17,43 of 49  1 of 1,79 of 155  40 of 103,6 of 12  40 of 62,0 of 0  2 of 3,Tom Watson  Sam Alvey
2575,Nolan Ticman Frankie Saenz,0  0,25 of 53  67 of 129,47%  51%,31 of 59  83 of 153,0 of 0  5 of 9,0%  55%,0  0,0  2,0  0,25 of 53  67 of 129,13 of 39  31 of 83,9 of 11  9 of 16,3 of 3  27 of 30,22 of 47  24 of 71,1 of 2  39 of 49,2 of 4  4 of 9,Frankie Saenz  Nolan Ticman
2576,Robbie Lawler Matt Brown,0  0,80 of 200  82 of 242,40%  33%,87 of 207  89 of 250,2 of 2  2 of 8,100%  25%,0  0,2  0,0  0,80 of 200  82 of 242,64 of 182  45 of 182,13 of 15  26 of 38,3 of 3  11 of 22,68 of 182  69 of 228,7 of 10  13 of 14,5 of 8  0 of 0,Robbie Lawler  Matt Brown
2577,Anthony Johnson Rogerio Nogueira,1  0,8 of 17  0 of 2,47%  0%,8 of 17  0 of 2,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,8 of 17  0 of 2,8 of 17  0 of 2,0 of 0  0 of 0,0 of 0  0 of 0,8 of 17  0 of 2,0 of 0  0 of 0,0 of 0  0 of 0,Anthony Johnson  Rogerio Nogueira
2578,Clay Guida Dennis Bermudez,0  0,28 of 79  47 of 114,35%  41%,39 of 95  66 of 135,0 of 3  2 of 7,0%  28%,0  1,0  2,0  0,28 of 79  47 of 114,24 of 73  36 of 99,1 of 1  5 of 6,3 of 5  6 of 9,26 of 76  37 of 101,2 of 3  10 of 13,0 of 0  0 of 0,Dennis Bermudez  Clay Guida
2579,Josh Thomson Bobby Green,0  0,45 of 120  59 of 141,37%  41%,45 of 120  63 of 145,0 of 5  0 of 2,0%  0%,0  0,0  0,0  0,45 of 120  59 of 141,25 of 91  18 of 79,5 of 10  23 of 37,15 of 19  18 of 25,40 of 111  56 of 135,2 of 5  3 of 6,3 of 4  0 of 0,Bobby Green  Josh Thomson
