,winner,loser,time,weightclass,method,location,date,KDpm_w,KDpm_l,KDpm_ratio_w,KDpm_ratio_l,SLPM_w,SLPM_l,SLPMratio_w,SLPMratio_l,Str_Acc_w,Str_Acc_l,Str_Acc_ratio_w,Str_Acc_ratio_l,SAPM_w,SAPM_l,SAPM_ratio_w,SAPM_ratio_l,Str_Def_w,Str_Def_l,TDPM_w,TDPM_l,TD_Acc_w,TD_Acc_l,TD_Def_w,TD_Def_l,SubPM_w,SubPM_l,PassPM_w,PassPM_l,RevPM_w,RevPM_l,Head_SLPM_w,Head_SLPM_l,Body_SLPM_w,Body_SLPM_l,Leg_SLPM_w,Leg_SLPM_l,Dist_SLPM_w,Dist_SLPM_l,Clinch_SLPM_w,Clinch_SLPM_l,Ground_SLPM_w,Ground_SLPM_l,Str_Att_w,Str_Att_l,TD_Att_w,TD_Att_l
4577,Jeremy-Stephens,Diego-Saraiva,7.0,Lightweight,U-DEC,"Anaheim, California, USA",2007-09-22,0.0,0.0,0.0,0.0,7.142857142857143,1.5714285714285714,4.545454545454546,0.21999999999999997,0.5555555555555556,0.3793103448275862,1.4646464646464648,0.6827586206896551,1.5714285714285714,7.142857142857143,0.21999999999999997,4.545454545454546,0.6206896551724138,0.4444444444444444,0.2857142857142857,0.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,5.571428571428571,1.1428571428571428,1.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,1.5714285714285714,0.8571428571428571,0.0,0.0,5.571428571428571,0.7142857142857143,90.0,29.0,2.0,0.0
4578,Christian-Wellisch,Scott-Junk,3.3166666666666664,Heavyweight,SUB  Heel Hook,"Anaheim, California, USA",2007-09-22,0.0,0.0,0.0,0.0,1.8090452261306533,5.125628140703518,0.3529411764705882,2.8333333333333335,0.5454545454545454,0.6071428571428571,0.8983957219251337,1.1130952380952381,5.125628140703518,1.8090452261306533,2.8333333333333335,0.3529411764705882,0.39285714285714285,0.45454545454545453,0.30150753768844224,0.0,1.0,0.0,0.0,0.0,0.6030150753768845,0.0,0.0,0.0,0.0,0.0,0.0,2.412060301507538,1.206030150753769,0.9045226130653267,0.6030150753768845,1.8090452261306533,0.0,1.5075376884422111,1.8090452261306533,3.6180904522613067,0.0,0.0,11.0,28.0,1.0,0.0
4579,Matt-Wiman,Michihiro-Omigawa,7.0,Lightweight,U-DEC,"Anaheim, California, USA",2007-09-22,0.0,0.0,0.0,0.0,8.428571428571429,4.714285714285714,1.7878787878787878,0.559322033898305,0.5462962962962963,0.515625,1.0594837261503929,0.9438559322033898,4.714285714285714,8.428571428571429,0.559322033898305,1.7878787878787878,0.484375,0.4537037037037037,0.5714285714285714,0.14285714285714285,0.8,0.5,0.5,0.2,0.0,0.14285714285714285,0.7142857142857143,0.0,0.2857142857142857,0.14285714285714285,7.571428571428571,4.571428571428571,0.2857142857142857,0.0,0.5714285714285714,0.14285714285714285,1.4285714285714286,1.0,0.8571428571428571,3.0,6.142857142857143,0.7142857142857143,108.0,64.0,5.0,2.0
4580,Kenny-Florian,Din-Thomas,4.516666666666667,Lightweight,SUB  Rear Naked Choke,"Las Vegas, Nevada, USA",2007-09-19,0.0,0.0,0.0,0.0,5.977859778597786,0.6642066420664207,9.0,0.11111111111111112,0.47368421052631576,0.2,2.3684210526315788,0.4222222222222223,0.6642066420664207,5.977859778597786,0.11111111111111112,9.0,0.8,0.5263157894736842,0.44280442804428044,0.0,1.0,0.0,1.0,0.0,0.22140221402214022,0.0,0.22140221402214022,0.0,0.0,0.0,4.649446494464945,0.6642066420664207,0.8856088560885609,0.0,0.44280442804428044,0.0,1.1070110701107012,0.0,0.0,0.22140221402214022,4.870848708487085,0.44280442804428044,57.0,15.0,2.0,1.0
4581,Chris-Leben,Terry-Martin,5.933333333333334,Middleweight,KO/TKO  Punch,"Las Vegas, Nevada, USA",2007-09-19,0.16853932584269662,0.0,0.0,0.0,8.932584269662922,7.584269662921348,1.1777777777777778,0.8490566037735848,0.5247524752475248,0.4326923076923077,1.2127612761276128,0.8245645863570392,7.584269662921348,8.932584269662922,0.8490566037735848,1.1777777777777778,0.5673076923076923,0.4752475247524752,0.0,0.6741573033707865,0.0,0.6666666666666666,0.3333333333333333,1.0,0.16853932584269662,0.0,0.0,0.16853932584269662,0.0,0.0,4.044943820224719,5.393258426966292,1.8539325842696628,2.0224719101123596,3.033707865168539,0.16853932584269662,3.7078651685393256,3.7078651685393256,4.887640449438202,3.033707865168539,0.33707865168539325,0.8426966292134831,101.0,104.0,1.0,6.0
4582,Nate-Diaz,Junior-Assuncao,4.166666666666667,Lightweight,SUB  Guillotine Choke,"Las Vegas, Nevada, USA",2007-09-19,0.24,0.0,0.0,0.0,2.4,1.68,1.4285714285714286,0.7,0.9090909090909091,0.5,1.8181818181818181,0.55,1.68,2.4,0.7,1.4285714285714286,0.5,0.09090909090909091,0.24,0.24,0.3333333333333333,0.5,0.5,0.6666666666666666,0.72,0.0,0.0,0.24,0.0,0.24,1.44,0.48,0.0,0.72,0.96,0.48,0.24,0.48,2.1599999999999997,0.72,0.0,0.48,11.0,14.0,3.0,2.0
4583,Nate-Quarry,Pete-Sell,2.7333333333333334,Middleweight,KO/TKO  Punch,"Las Vegas, Nevada, USA",2007-09-19,0.36585365853658536,0.36585365853658536,1.0,1.0,23.414634146341463,19.390243902439025,1.2075471698113207,0.828125,0.49612403100775193,0.4649122807017544,1.0671347082053533,0.9370888157894737,19.390243902439025,23.414634146341463,0.828125,1.2075471698113207,0.5350877192982456,0.5038759689922481,0.0,0.7317073170731707,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.609756097560975,15.365853658536585,4.390243902439025,2.926829268292683,8.414634146341463,1.0975609756097562,18.65853658536585,14.634146341463415,3.658536585365854,4.024390243902439,1.0975609756097562,0.7317073170731707,129.0,114.0,1.0,4.0
4584,Luke-Cummo,Edilberto-de-Oliveira,1.75,Welterweight,KO/TKO  Punches,"Las Vegas, Nevada, USA",2007-09-19,0.5714285714285714,0.0,0.0,0.0,3.4285714285714284,2.857142857142857,1.2,0.8333333333333334,0.3157894736842105,0.3125,1.0105263157894737,0.9895833333333334,2.857142857142857,3.4285714285714284,0.8333333333333334,1.2,0.6875,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,0.5714285714285714,1.1428571428571428,0.0,0.0,2.2857142857142856,2.857142857142857,2.857142857142857,0.0,0.0,0.5714285714285714,0.0,19.0,16.0,0.0,0.0
4585,Cole-Miller,Leonard-Garcia,7.0,Lightweight,U-DEC,"Las Vegas, Nevada, USA",2007-09-19,0.0,0.0,0.0,0.0,3.0,2.2857142857142856,1.3125,0.7619047619047619,0.4375,0.5,0.875,1.1428571428571428,2.2857142857142856,3.0,0.7619047619047619,1.3125,0.5,0.5625,0.14285714285714285,0.0,0.5,0.0,1.0,0.5,1.4285714285714286,0.0,1.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,2.857142857142857,1.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.0,0.0,2.4285714285714284,1.5714285714285714,48.0,32.0,2.0,1.0
4586,Gray-Maynard,Joe-Veres,0.15,Lightweight,KO/TKO  Punch,"Las Vegas, Nevada, USA",2007-09-19,6.666666666666667,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,13.333333333333334,0.0,4.0,0.0,0.0,0.0
4587,Thiago-Alves,Kuniyoshi-Hironaka,5.066666666666666,Welterweight,KO/TKO  Knee,"Las Vegas, Nevada, USA",2007-09-19,0.0,0.0,0.0,0.0,9.473684210526317,2.960526315789474,3.2,0.3125,0.4948453608247423,0.38461538461538464,1.2865979381443298,0.7772435897435898,2.960526315789474,9.473684210526317,0.3125,3.2,0.6153846153846154,0.5051546391752577,0.0,0.39473684210526316,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.19736842105263158,0.19736842105263158,0.0,0.0,5.526315789473684,1.381578947368421,0.39473684210526316,0.5921052631578948,3.5526315789473686,0.986842105263158,5.526315789473684,1.973684210526316,2.763157894736842,0.5921052631578948,1.1842105263157896,0.39473684210526316,97.0,39.0,0.0,6.0
4588,Dustin-Hazelett,Jonathan-Goulet,1.2333333333333334,Welterweight,SUB  Armbar,"Las Vegas, Nevada, USA",2007-09-19,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,0.4,0.0,0.8108108108108107,0.0,1.0,0.0,0.0,1.6216216216216215,0.0,0.0,0.8108108108108107,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
4589,Rampage-Jackson,Dan-Henderson,9.0,Light Heavyweight,U-DEC,"London, England, United Kingdom",2007-09-08,0.1111111111111111,0.0,0.0,0.0,8.222222222222221,6.666666666666667,1.2333333333333332,0.810810810810811,0.6851851851851852,0.631578947368421,1.0848765432098766,0.92176386913229,6.666666666666667,8.222222222222221,0.810810810810811,1.2333333333333332,0.3684210526315789,0.3148148148148148,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.375,0.625,0.3333333333333333,0.0,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.0,0.1111111111111111,3.7777777777777777,2.4444444444444446,3.111111111111111,2.0,1.3333333333333333,2.2222222222222223,2.888888888888889,1.3333333333333333,2.5555555555555554,3.888888888888889,2.7777777777777777,1.4444444444444444,108.0,95.0,3.0,8.0
4590,Michael-Bisping,Matt-Hamill,7.0,Light Heavyweight,S-DEC,"London, England, United Kingdom",2007-09-08,0.0,0.0,0.0,0.0,6.714285714285714,8.0,0.8392857142857143,1.1914893617021276,0.29012345679012347,0.45161290322580644,0.6424162257495591,1.5566231983527796,8.0,6.714285714285714,1.1914893617021276,0.8392857142857143,0.5483870967741935,0.7098765432098766,0.0,0.8571428571428571,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,5.0,7.857142857142857,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.0,6.714285714285714,7.428571428571429,0.0,0.14285714285714285,0.0,0.42857142857142855,162.0,124.0,0.0,12.0
4591,Cheick-Kongo,Mirko-Cro-Cop,7.0,Heavyweight,U-DEC,"London, England, United Kingdom",2007-09-08,0.0,0.0,0.0,0.0,9.0,2.142857142857143,4.2,0.23809523809523808,0.6116504854368932,0.45454545454545453,1.345631067961165,0.7431457431457432,2.142857142857143,9.0,0.23809523809523808,4.2,0.5454545454545454,0.3883495145631068,0.14285714285714285,0.14285714285714285,0.25,1.0,0.0,0.75,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,1.5714285714285714,1.1428571428571428,3.7142857142857144,0.7142857142857143,3.7142857142857144,0.2857142857142857,3.7142857142857144,1.2857142857142858,4.428571428571429,0.42857142857142855,0.8571428571428571,0.42857142857142855,103.0,33.0,4.0,1.0
