,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
0,Kyle Noke Peter Sobotta,1  0,23 of 43  2 of 6,53%  33%,24 of 44  2 of 6,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,23 of 43  2 of 6,13 of 30  2 of 5,2 of 4  0 of 1,8 of 9  0 of 0,11 of 21  2 of 6,0 of 0  0 of 0,12 of 22  0 of 0
0,Anthony Perosh Gian Villante,0  1,6 of 32  19 of 34,18%  55%,7 of 33  19 of 34,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,6 of 32  19 of 34,6 of 30  12 of 26,0 of 2  5 of 6,0 of 0  2 of 2,6 of 30  17 of 31,0 of 2  2 of 3,0 of 0  0 of 0
0,Richie Vaculik Danny Martinez,0  0,63 of 156  54 of 171,40%  31%,82 of 176  90 of 213,3 of 3  9 of 12,100%  75%,0  0,2  3,0  1,63 of 156  54 of 171,42 of 130  38 of 146,6 of 11  16 of 25,15 of 15  0 of 0,54 of 145  41 of 153,4 of 6  3 of 3,5 of 5  10 of 15
0,Daniel Kelly Steve Montgomery,0  0,63 of 121  77 of 191,52%  40%,115 of 176  89 of 204,5 of 13  0 of 0,38%  0%,0  0,8  0,0  0,63 of 121  77 of 191,56 of 114  50 of 159,5 of 5  24 of 28,2 of 2  3 of 4,30 of 77  50 of 160,10 of 12  25 of 28,23 of 32  2 of 3
0,Richard Walsh Steve Kennedy,0  0,93 of 170  38 of 102,54%  37%,132 of 214  61 of 128,0 of 0  3 of 8,0%  37%,0  0,0  1,0  0,93 of 170  38 of 102,58 of 127  31 of 92,13 of 19  3 of 6,22 of 24  4 of 4,49 of 110  33 of 92,11 of 19  0 of 2,33 of 41  5 of 8
0,James Moontasri Anton Zafir,1  0,11 of 21  17 of 25,52%  68%,13 of 23  31 of 40,0 of 0  1 of 3,0%  33%,0  0,0  1,0  0,11 of 21  17 of 25,5 of 14  8 of 14,3 of 4  6 of 8,3 of 3  3 of 3,8 of 11  5 of 11,1 of 2  5 of 7,2 of 8  7 of 7
0,Ben Nguyen Ryan Benoit,0  0,11 of 18  1 of 6,61%  16%,20 of 37  1 of 6,0 of 0  0 of 1,0%  0%,2  0,2  0,0  0,11 of 18  1 of 6,8 of 15  1 of 6,2 of 2  0 of 0,1 of 1  0 of 0,5 of 9  1 of 6,1 of 1  0 of 0,5 of 8  0 of 0
0,Vitor Belfort Dan Henderson,1  0,6 of 11  3 of 3,54%  100%,6 of 11  3 of 3,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,6 of 11  3 of 3,5 of 10  0 of 0,1 of 1  0 of 0,0 of 0  3 of 3,1 of 1  3 of 3,2 of 3  0 of 0,3 of 7  0 of 0
0,Glover Teixeira Patrick Cummins,0  0,54 of 102  33 of 90,52%  36%,59 of 107  38 of 95,0 of 1  4 of 6,0%  66%,0  0,0  4,0  0,54 of 102  33 of 90,51 of 98  23 of 80,3 of 4  7 of 7,0 of 0  3 of 3,50 of 96  22 of 73,4 of 6  11 of 17,0 of 0  0 of 0
0,Thomas Almeida Anthony Birchak,1  0,24 of 50  27 of 91,48%  29%,26 of 52  27 of 91,0 of 0  0 of 5,0%  0%,0  0,0  0,0  0,24 of 50  27 of 91,19 of 44  16 of 71,4 of 5  3 of 10,1 of 1  8 of 10,18 of 43  24 of 84,6 of 7  3 of 7,0 of 0  0 of 0
0,Alex Oliveira Piotr Hallmann,1  0,42 of 109  36 of 71,38%  50%,54 of 121  79 of 117,0 of 4  1 of 2,0%  50%,0  0,1  1,0  0,42 of 109  36 of 71,32 of 95  26 of 53,7 of 11  5 of 9,3 of 3  5 of 9,24 of 68  19 of 45,16 of 37  13 of 22,2 of 4  4 of 4
0,Gilbert Burns Rashid Magomedov,0  2,28 of 77  80 of 145,36%  55%,29 of 78  94 of 160,2 of 5  2 of 2,40%  100%,0  0,1  0,0  0,28 of 77  80 of 145,14 of 55  59 of 112,5 of 11  14 of 26,9 of 11  7 of 7,27 of 70  68 of 129,1 of 5  6 of 7,0 of 2  6 of 9
0,Fabio Maldonado Corey Anderson,0  0,26 of 54  60 of 134,48%  44%,49 of 78  97 of 185,0 of 0  6 of 15,0%  40%,0  0,0  5,0  0,26 of 54  60 of 134,16 of 37  40 of 107,10 of 17  15 of 22,0 of 0  5 of 5,13 of 36  33 of 91,13 of 18  17 of 29,0 of 0  10 of 14
0,Gleison Tibau Abel Trujillo,0  0,3 of 5  0 of 0,60%  0%,6 of 8  5 of 5,2 of 3  0 of 0,66%  0%,1  0,3  0,0  0,3 of 5  0 of 0,3 of 5  0 of 0,0 of 0  0 of 0,0 of 0  0 of 0,0 of 2  0 of 0,0 of 0  0 of 0,3 of 3  0 of 0
0,Yan Cabral Johnny Case,0  1,31 of 65  74 of 159,47%  46%,41 of 79  90 of 177,3 of 6  0 of 0,50%  0%,0  0,5  1,0  2,31 of 65  74 of 159,21 of 53  46 of 117,2 of 4  16 of 27,8 of 8  12 of 15,30 of 62  52 of 131,1 of 3  8 of 10,0 of 0  14 of 18
0,Clay Guida Thiago Tavares,0  0,3 of 11  2 of 7,27%  28%,3 of 11  2 of 7,1 of 1  0 of 0,100%  0%,0  1,0  0,0  0,3 of 11  2 of 7,2 of 10  2 of 7,0 of 0  0 of 0,1 of 1  0 of 0,3 of 11  2 of 7,0 of 0  0 of 0,0 of 0  0 of 0
0,Kevin Souza Chas Skelly,1  0,19 of 35  7 of 18,54%  38%,24 of 40  11 of 24,0 of 0  2 of 3,0%  66%,0  2,1  3,0  0,19 of 35  7 of 18,17 of 33  7 of 15,2 of 2  0 of 3,0 of 0  0 of 0,6 of 14  0 of 11,0 of 0  1 of 1,13 of 21  6 of 6
0,Viscardi Andrade Gasan Umalatov,0  0,78 of 183  38 of 102,42%  37%,80 of 186  40 of 107,0 of 2  0 of 1,0%  0%,0  0,0  0,0  0,78 of 183  38 of 102,38 of 128  28 of 87,28 of 40  5 of 9,12 of 15  5 of 6,55 of 153  34 of 91,23 of 30  4 of 10,0 of 0  0 of 1
0,Pedro Munhoz Jimmie Rivera,0  0,66 of 183  96 of 233,36%  41%,67 of 184  98 of 235,0 of 7  0 of 3,0%  0%,0  0,0  0,0  0,66 of 183  96 of 233,31 of 120  69 of 189,14 of 36  17 of 34,21 of 27  10 of 10,64 of 181  94 of 228,2 of 2  2 of 5,0 of 0  0 of 0
0,Bruno Korea Matheus Nicolau,1  2,27 of 79  46 of 77,34%  59%,49 of 103  81 of 120,0 of 0  3 of 4,0%  75%,0  3,0  5,0  0,27 of 79  46 of 77,16 of 65  31 of 59,7 of 10  8 of 10,4 of 4  7 of 8,17 of 62  33 of 56,1 of 2  1 of 1,9 of 15  12 of 20
0,Paddy Holohan Louis Smolka,0  0,16 of 40  59 of 89,40%  66%,31 of 56  66 of 97,4 of 9  0 of 2,44%  0%,0  2,4  2,1  2,16 of 40  59 of 89,6 of 27  51 of 80,8 of 10  7 of 8,2 of 3  1 of 1,6 of 24  18 of 32,1 of 3  1 of 1,9 of 13  40 of 56
0,Norman Parke Reza Madadi,0  0,47 of 145  33 of 95,32%  34%,56 of 154  40 of 104,1 of 6  1 of 12,16%  8%,0  0,1  0,0  0,47 of 145  33 of 95,31 of 119  27 of 87,13 of 23  4 of 6,3 of 3  2 of 2,43 of 135  24 of 81,4 of 10  9 of 14,0 of 0  0 of 0
0,Neil Seery Jon Delos Reyes,0  0,38 of 95  25 of 74,40%  33%,47 of 105  26 of 75,2 of 5  3 of 4,40%  75%,2  0,0  2,1  0,38 of 95  25 of 74,32 of 88  16 of 64,1 of 2  7 of 8,5 of 5  2 of 2,32 of 84  16 of 63,5 of 8  8 of 9,1 of 3  1 of 2
0,Stevie Ray Mickael Lebout,0  0,48 of 150  27 of 139,32%  19%,53 of 156  29 of 142,1 of 1  0 of 3,100%  0%,0  0,0  0,0  0,48 of 150  27 of 139,26 of 116  20 of 124,7 of 14  1 of 8,15 of 20  6 of 7,46 of 148  27 of 136,1 of 1  0 of 3,1 of 1  0 of 0
0,Aisling Daly Ericka Almeida,0  0,59 of 105  19 of 44,56%  43%,166 of 216  57 of 91,2 of 5  1 of 1,40%  100%,0  0,2  2,0  0,59 of 105  19 of 44,43 of 82  12 of 32,13 of 20  6 of 11,3 of 3  1 of 1,2 of 9  4 of 7,14 of 22  12 of 23,43 of 74  3 of 14
0,Scott Askham Krzysztof Jotko,0  0,22 of 67  38 of 101,32%  37%,38 of 83  107 of 176,0 of 1  2 of 3,0%  66%,1  0,0  4,0  0,22 of 67  38 of 101,7 of 49  24 of 83,3 of 6  9 of 12,12 of 12  5 of 6,15 of 57  16 of 72,4 of 7  6 of 7,3 of 3  16 of 22
0,Cathal Pendred Tom Breese,0  1,5 of 24  23 of 35,20%  65%,8 of 28  24 of 36,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,5 of 24  23 of 35,2 of 17  20 of 32,2 of 2  3 of 3,1 of 5  0 of 0,3 of 22  22 of 34,2 of 2  1 of 1,0 of 0  0 of 0
0,Darren Elkins Rob Whiteford,0  0,40 of 130  23 of 63,30%  36%,112 of 212  41 of 82,7 of 11  1 of 1,63%  100%,2  0,6  0,0  0,40 of 130  23 of 63,36 of 125  20 of 59,3 of 4  1 of 2,1 of 1  2 of 2,10 of 86  17 of 56,2 of 3  4 of 5,28 of 41  2 of 2
0,Bubba Bush Garreth McLellan,0  0,8 of 14  97 of 133,57%  72%,31 of 41  163 of 206,3 of 6  2 of 5,50%  40%,0  1,5  3,0  0,8 of 14  97 of 133,3 of 8  87 of 122,1 of 1  9 of 9,4 of 5  1 of 2,3 of 5  3 of 14,1 of 1  0 of 0,4 of 8  94 of 119
0,Daniel Cormier Alexander Gustafsson,0  1,140 of 283  120 of 254,49%  47%,219 of 364  130 of 264,1 of 5  1 of 7,20%  14%,0  0,2  0,0  0,140 of 283  120 of 254,111 of 240  88 of 206,11 of 22  23 of 38,18 of 21  9 of 10,86 of 212  102 of 221,48 of 64  15 of 30,6 of 7  3 of 3
0,Ryan Bader Rashad Evans,0  0,52 of 133  25 of 111,39%  22%,55 of 136  27 of 113,1 of 6  0 of 3,16%  0%,0  0,0  0,0  0,52 of 133  25 of 111,45 of 120  17 of 96,6 of 10  6 of 13,1 of 3  2 of 2,49 of 130  23 of 107,3 of 3  2 of 4,0 of 0  0 of 0
0,Shawn Jordan Ruslan Magomedov,0  0,20 of 56  71 of 116,35%  61%,39 of 77  85 of 130,1 of 9  0 of 0,11%  0%,0  0,0  0,0  0,20 of 56  71 of 116,7 of 38  56 of 101,7 of 12  9 of 9,6 of 6  6 of 6,10 of 43  62 of 104,10 of 13  9 of 12,0 of 0  0 of 0
0,Joseph Benavidez Ali Bagautinov,0  0,48 of 146  31 of 121,32%  25%,48 of 146  31 of 121,0 of 1  0 of 5,0%  0%,0  0,0  0,0  0,48 of 146  31 of 121,32 of 111  22 of 103,10 of 26  5 of 12,6 of 9  4 of 6,44 of 139  30 of 117,4 of 7  1 of 4,0 of 0  0 of 0
0,Jessica Eye Julianna Pena,0  0,30 of 54  34 of 68,55%  50%,77 of 104  100 of 139,1 of 1  3 of 6,100%  50%,1  3,3  6,0  0,30 of 54  34 of 68,17 of 35  22 of 52,9 of 14  9 of 12,4 of 5  3 of 4,17 of 34  13 of 41,9 of 16  8 of 12,4 of 4  13 of 15
0,Yair Rodriguez Dan Hooker,0  0,52 of 104  19 of 79,50%  24%,67 of 123  85 of 162,2 of 9  1 of 3,22%  33%,0  0,2  0,0  0,52 of 104  19 of 79,27 of 72  14 of 62,15 of 19  5 of 8,10 of 13  0 of 9,38 of 80  9 of 56,6 of 14  6 of 15,8 of 10  4 of 8
0,Alan Jouban Albert Tumenov,0  1,17 of 34  19 of 41,50%  46%,17 of 34  19 of 41,0 of 0  0 of 1,0%  0%,0  0,0  0,0  0,17 of 34  19 of 41,12 of 27  16 of 36,4 of 5  3 of 4,1 of 2  0 of 1,16 of 33  18 of 40,1 of 1  1 of 1,0 of 0  0 of 0
0,Adriano Martins Islam Makhachev,1  0,3 of 7  4 of 15,42%  26%,3 of 7  4 of 15,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,3 of 7  4 of 15,2 of 6  2 of 13,0 of 0  2 of 2,1 of 1  0 of 0,2 of 6  4 of 15,0 of 0  0 of 0,1 of 1  0 of 0
0,Rose Namajunas Angela Hill,0  0,13 of 33  12 of 22,39%  54%,14 of 36  16 of 26,1 of 1  0 of 0,100%  0%,1  0,2  0,0  0,13 of 33  12 of 22,12 of 32  8 of 18,1 of 1  2 of 2,0 of 0  2 of 2,11 of 29  9 of 19,2 of 4  3 of 3,0 of 0  0 of 0
