,Date,Event,Favourite  Wins,Underdog  Wins,Avg Winner  Odds,Favourites  (ROI),Underdogs  (ROI),url
126,2017-03-11,UFC Fight Night 106 Belfort vs. Gastelum,9,2,-141,$33.90 (28%),$-53.50 (-45%),https://www.betmma.tips/mma_event_betting_history.php?Event=224
125,2017-03-04,UFC 209,6,5,+124,$-4.30 (-4%),$87.60 (80%),https://www.betmma.tips/mma_event_betting_history.php?Event=223
124,2017-02-19,UFC Fight Night 105 Lewis vs. Browne,8,3,-163,$7.20 (7%),$-33.00 (-30%),https://www.betmma.tips/mma_event_betting_history.php?Event=226
123,2017-02-11,UFC 208,8,2,-202,$12.40 (12%),$-54.20 (-54%),https://www.betmma.tips/mma_event_betting_history.php?Event=219
122,2017-02-04,UFC FN 104 K. Zombie vs. Bermudez,7,5,-116,$-13.00 (-11%),$33.40 (28%),https://www.betmma.tips/mma_event_betting_history.php?Event=221
121,2017-01-28,UFC on FOX 23 Shevchenko vs. Pena,9,3,-145,$25.00 (21%),$-58.60 (-49%),https://www.betmma.tips/mma_event_betting_history.php?Event=220
120,2017-01-15,UFC Fight Night 103 Rodriguez vs. Penn,10,2,-142,$44.90 (37%),$-74.00 (-62%),https://www.betmma.tips/mma_event_betting_history.php?Event=217
119,2016-12-31,UFC 207,6,3,-112,$10.30 (11%),$-11.50 (-13%),https://www.betmma.tips/mma_event_betting_history.php?Event=208
118,2016-12-17,UFC on Fox 22,9,4,-114,$22.20 (17%),$-17.80 (-14%),https://www.betmma.tips/mma_event_betting_history.php?Event=210
117,2016-12-10,UFC 206,6,5,-113,$-14.30 (-12%),$15.00 (13%),https://www.betmma.tips/mma_event_betting_history.php?Event=207
116,2016-12-09,UFC Fight Night 102 Albany,12,0,-219,$56.30 (47%),$-120.00 (-100%),https://www.betmma.tips/mma_event_betting_history.php?Event=209
115,2016-12-03,UFC - The Ultimate Fighter 24 Finale,8,4,-136,$7.40 (6%),$-26.20 (-22%),https://www.betmma.tips/mma_event_betting_history.php?Event=206
114,2016-11-26,UFC Fight Night 101,5,8,+116,$-38.80 (-30%),$82.50 (63%),https://www.betmma.tips/mma_event_betting_history.php?Event=205
113,2016-11-19,UFC Fight Night 100 Bader vs. Nogueira 2,8,4,-159,$-5.80 (-5%),$-25.20 (-21%),https://www.betmma.tips/mma_event_betting_history.php?Event=212
112,2016-11-19,UFC Fight Night 99 - Mousasi vs. Hall,10,3,-131,$31.90 (25%),$-42.50 (-33%),https://www.betmma.tips/mma_event_betting_history.php?Event=204
111,2016-11-12,UFC 205 - New York City,5,5,-115,$-23.10 (-21%),$24.80 (23%),https://www.betmma.tips/mma_event_betting_history.php?Event=203
110,2016-11-05,UFC Mexico City,8,5,-142,$-10.70 (-8%),$-12.20 (-9%),https://www.betmma.tips/mma_event_betting_history.php?Event=199
109,2016-10-08,UFC 204 - Bisping vs. Henderson 2,6,5,-128,$-23.40 (-21%),$20.50 (19%),https://www.betmma.tips/mma_event_betting_history.php?Event=197
108,2016-10-01,UFC Fight Night 96 - Lineker vs. Dodson,4,8,+123,$-52.70 (-44%),$114.00 (95%),https://www.betmma.tips/mma_event_betting_history.php?Event=196
107,2016-09-24,UFC Fight Night 95 - Brasilia,8,5,-128,$-8.90 (-7%),$33.00 (25%),https://www.betmma.tips/mma_event_betting_history.php?Event=192
106,2016-09-17,UFC Fight Night 94 - Poirier vs. Johnson,7,4,-151,$-7.70 (-6%),$-17.70 (-15%),https://www.betmma.tips/mma_event_betting_history.php?Event=194
105,2016-09-10,UFC 203 - Miocic vs. Overeem,9,1,-164,$43.00 (43%),$-77.00 (-77%),https://www.betmma.tips/mma_event_betting_history.php?Event=185
104,2016-09-03,UFC Fight Night - Arlovski vs. Barnett,7,3,-169,$0.20 (0%),$-30.70 (-28%),https://www.betmma.tips/mma_event_betting_history.php?Event=186
103,2016-08-27,UFC on Fox 21 - Condit vs. Maia,7,3,-150,$5.70 (6%),$-32.00 (-32%),https://www.betmma.tips/mma_event_betting_history.php?Event=191
102,2016-08-20,UFC 202 - Diaz vs. McGregor 2,9,3,-146,$20.10 (17%),$-42.00 (-35%),https://www.betmma.tips/mma_event_betting_history.php?Event=184
101,2016-08-06,UFC Fight Night 92 - Rodriguez vs. Caceres,11,1,-169,$52.90 (44%),$-98.00 (-82%),https://www.betmma.tips/mma_event_betting_history.php?Event=190
100,2016-07-30,UFC 201 - Lawler vs. Woodley,6,4,-118,$-3.30 (-3%),$5.50 (5%),https://www.betmma.tips/mma_event_betting_history.php?Event=181
99,2016-07-23,UFC on Fox 20 - Holm vs. Shevchenko,6,5,-131,$-24.20 (-22%),$18.50 (17%),https://www.betmma.tips/mma_event_betting_history.php?Event=177
98,2016-07-13,UFC Fight Night 91 - McDonald vs. Lineker,4,8,-100,$-64.40 (-54%),$90.00 (75%),https://www.betmma.tips/mma_event_betting_history.php?Event=180
97,2016-07-09,UFC 200 - Tate vs. Nunes,7,5,-146,$-19.90 (-17%),$0.50 (0%),https://www.betmma.tips/mma_event_betting_history.php?Event=171
96,2016-07-08,UFC - The Ultimate Fighter 23 Finale,9,3,-147,$21.00 (18%),$-49.90 (-42%),https://www.betmma.tips/mma_event_betting_history.php?Event=125
95,2016-07-07,UFC Fight Night - Dos Anjos vs. Alvarez,8,4,-140,$3.30 (3%),$-21.00 (-18%),https://www.betmma.tips/mma_event_betting_history.php?Event=176
94,2016-06-18,UFC Fight Night - MacDonald vs. Thompson,10,3,-140,$31.10 (24%),$-57.20 (-44%),https://www.betmma.tips/mma_event_betting_history.php?Event=167
93,2016-06-04,UFC 199 - Rockhold vs Bisping 2,7,5,-102,$-6.70 (-5%),$59.50 (46%),https://www.betmma.tips/mma_event_betting_history.php?Event=166
92,2016-05-29,UFC Fight Night - Almeida vs. Garbrandt,6,5,-108,$-12.60 (-11%),$25.50 (21%),https://www.betmma.tips/mma_event_betting_history.php?Event=170
91,2016-05-14,UFC 198 - Werdum vs. Miocic,6,5,-126,$-27.30 (-23%),$53.50 (45%),https://www.betmma.tips/mma_event_betting_history.php?Event=121
90,2016-05-08,UFC Fight Night - Overeem vs. Arlovski,9,4,-163,$-2.60 (-2%),$-33.50 (-26%),https://www.betmma.tips/mma_event_betting_history.php?Event=165
89,2016-04-23,UFC 197 - Jones vs. St Preux,10,2,-184,$25.60 (21%),$-68.00 (-57%),https://www.betmma.tips/mma_event_betting_history.php?Event=126
88,2016-04-16,UFC on Fox 19 - Teixeira vs. Evans,8,3,-146,$13.60 (12%),$-34.00 (-31%),https://www.betmma.tips/mma_event_betting_history.php?Event=123
87,2016-04-10,UFC Fight Night 86 - Zagreb,9,4,-130,$17.40 (13%),$-38.50 (-30%),https://www.betmma.tips/mma_event_betting_history.php?Event=124
86,2016-03-19,UFC Fight Night 84 - Hunt vs. Mir,5,7,-109,$-42.80 (-36%),$65.50 (55%),https://www.betmma.tips/mma_event_betting_history.php?Event=120
85,2016-03-05,UFC 196 - McGregor vs. Diaz,5,7,+117,$-41.90 (-35%),$109.10 (91%),https://www.betmma.tips/mma_event_betting_history.php?Event=119
84,2016-02-27,UFC Fight Night 84 - Silva vs. Bisping,10,3,-161,$18.61 (14%),$-48.69 (-37%),https://www.betmma.tips/mma_event_betting_history.php?Event=102
83,2016-02-21,UFC Fight Night 82 - Cerrone vs. Oliveira,9,4,-142,$6.00 (5%),$-22.07 (-17%),https://www.betmma.tips/mma_event_betting_history.php?Event=101
82,2016-02-06,UFC Fight Night 82 - Hendricks vs. Thompson,6,6,-126,$-37.30 (-31%),$50.80 (42%),https://www.betmma.tips/mma_event_betting_history.php?Event=100
81,2016-01-30,UFC on Fox 18 - Johnson vs. Bader,8,4,-113,$9.70 (7%),$0.80 (1%),https://www.betmma.tips/mma_event_betting_history.php?Event=66
80,2016-01-17,UFC Fight Night - Dillashaw vs. Cruz,6,7,-116,$-43.20 (-33%),$52.80 (41%),https://www.betmma.tips/mma_event_betting_history.php?Event=61
79,2016-01-02,UFC 195 - Lawler vs Condit,7,4,-123,$-2.70 (-2%),$3.20 (3%),https://www.betmma.tips/mma_event_betting_history.php?Event=52
78,2015-12-19,UFC on Fox 17 - Dos Anjos vs. Cerrone 2,5,7,+130,$-35.30 (-29%),$117.60 (98%),https://www.betmma.tips/mma_event_betting_history.php?Event=51
77,2015-12-12,UFC 194 - Aldo vs. McGregor,6,6,-128,$-34.30 (-29%),$55.40 (46%),https://www.betmma.tips/mma_event_betting_history.php?Event=50
76,2015-12-12,UFC - The Ultimate Fighter 22 Finale,7,3,-133,$14.90 (15%),$-33.80 (-34%),https://www.betmma.tips/mma_event_betting_history.php?Event=54
75,2015-12-10,UFC Fight Night - VanZant vs Namajunas,8,3,-174,$3.00 (3%),$-32.42 (-29%),https://www.betmma.tips/mma_event_betting_history.php?Event=55
74,2015-11-28,UFC Fight Night 79 - Henderson vs. Masvidal,5,6,-121,$-35.20 (-32%),$29.90 (27%),https://www.betmma.tips/mma_event_betting_history.php?Event=49
73,2015-11-21,UFC Fight Night 78 - Magny vs. Gastelum,7,6,-112,$-21.40 (-16%),$35.40 (27%),https://www.betmma.tips/mma_event_betting_history.php?Event=48
72,2015-11-14,UFC 193 - Rousey vs. Holm,8,5,-141,$-18.30 (-14%),$104.50 (80%),https://www.betmma.tips/mma_event_betting_history.php?Event=47
71,2015-11-07,UFC Fight Night 77: Belfort vs. Henderson 3,10,3,-178,$14.10 (11%),$-59.00 (-45%),https://www.betmma.tips/mma_event_betting_history.php?Event=46
70,2015-10-24,UFC Fight Night 76 - Holohan vs. Smolka,6,2,-130,$14.96 (15%),$-18.41 (-18%),https://www.betmma.tips/mma_event_betting_history.php?Event=45
69,2015-10-03,UFC 192 - Cormier vs. Gustafsson,9,3,-175,$7.61 (6%),$-48.67 (-41%),https://www.betmma.tips/mma_event_betting_history.php?Event=44
68,2015-09-26,UFC Fight Night - Barnett vs. Nelson,7,2,-150,$10.80 (11%),$0.70 (1%),https://www.betmma.tips/mma_event_betting_history.php?Event=40
67,2015-09-05,UFC 191 - Johnson vs. Dodson 2,5,6,-120,$-40.80 (-37%),$62.50 (57%),https://www.betmma.tips/mma_event_betting_history.php?Event=42
66,2015-08-23,UFC Fight Night 74 - Holloway vs. Oliveira,5,7,+104,$-45.40 (-38%),$85.20 (71%),https://www.betmma.tips/mma_event_betting_history.php?Event=39
65,2015-08-08,UFC Fight Night - St. Preux vs. Teixeira,9,3,-172,$7.90 (6%),$-42.10 (-32%),https://www.betmma.tips/mma_event_betting_history.php?Event=38
64,2015-08-01,UFC 190 - Rousey vs. Correia,9,4,-138,$2.32 (2%),$-1.76 (-1%),https://www.betmma.tips/mma_event_betting_history.php?Event=37
63,2015-07-25,UFC on Fox 16 - Dillashaw vs. Barao 2,7,5,-121,$-9.91 (-8%),$3.52 (3%),https://www.betmma.tips/mma_event_betting_history.php?Event=36
62,2015-07-18,UFC Fight Night - Bisping vs. Leites,10,2,-161,$35.10 (29%),$-67.82 (-57%),https://www.betmma.tips/mma_event_betting_history.php?Event=35
61,2015-07-15,UFC Fight Night - Mir vs. Duffee,9,2,-179,$19.20 (16%),$-62.00 (-52%),https://www.betmma.tips/mma_event_betting_history.php?Event=34
60,2015-07-12,UFC - The Ultimate Fighter 21 Finale,6,5,-128,$-18.62 (-17%),$17.96 (16%),https://www.betmma.tips/mma_event_betting_history.php?Event=33
59,2015-07-11,UFC 189 - McGregor vs. Mendes,6,5,-135,$-24.98 (-23%),$20.66 (19%),https://www.betmma.tips/mma_event_betting_history.php?Event=32
58,2015-06-27,UFC Fight Night - Machida vs. Romero,6,3,-147,$0.20 (0%),$-21.50 (-24%),https://www.betmma.tips/mma_event_betting_history.php?Event=31
57,2015-06-20,UFC Fight Night - Jedrzejczyk vs. Penne,7,4,-123,$-3.07 (-3%),$8.69 (8%),https://www.betmma.tips/mma_event_betting_history.php?Event=30
56,2015-06-13,UFC 188 - Velasquez vs. Werdum,4,7,-109,$-61.00 (-55%),$103.50 (94%),https://www.betmma.tips/mma_event_betting_history.php?Event=29
55,2015-06-06,UFC Fight Night - Boetsch vs. Henderson,6,6,+107,$-17.67 (-15%),$40.82 (34%),https://www.betmma.tips/mma_event_betting_history.php?Event=28
54,2015-05-30,UFC Fight Night - Condit vs. Alves,9,3,-148,$15.70 (13%),$-36.90 (-31%),https://www.betmma.tips/mma_event_betting_history.php?Event=27
53,2015-05-23,UFC 187 - Cormier vs. Johnson,8,2,-198,$1.13 (1%),$-8.90 (-8%),https://www.betmma.tips/mma_event_betting_history.php?Event=26
52,2015-05-16,UFC Fight Night - Edgar vs. Faber,8,4,-128,$7.30 (6%),$-11.70 (-10%),https://www.betmma.tips/mma_event_betting_history.php?Event=25
51,2015-05-09,UFC Fight Night - Hunt vs. Miocic,4,8,+107,$-57.99 (-48%),$89.11 (74%),https://www.betmma.tips/mma_event_betting_history.php?Event=24
50,2015-04-25,UFC 186 - Johnson vs. Horiguchi,11,1,-213,$37.30 (31%),$-91.40 (-76%),https://www.betmma.tips/mma_event_betting_history.php?Event=23
49,2015-04-18,UFC on Fox 15 - Rockhold vs. Machida,7,4,-122,$-2.60 (-2%),$27.60 (25%),https://www.betmma.tips/mma_event_betting_history.php?Event=22
48,2015-04-11,UFC Fight Night - Gonzaga vs. Cro Cop 2,7,5,-103,$-6.00 (-5%),$54.00 (45%),https://www.betmma.tips/mma_event_betting_history.php?Event=21
47,2015-04-04,UFC Fight Night - Mendes vs. Lamas,7,3,-146,$6.50 (7%),$-23.30 (-23%),https://www.betmma.tips/mma_event_betting_history.php?Event=20
