,TEAM,COUNTRY,WT CLASS
impa-kasanganay,,USA,
sang-hoon-yoo,,,
peter-barrett,,USA,
ben-sosoli,,Australia,
dustin-joynson,Zugec Ultimate Martial Arts,Canada,
tj-brown,,,
dylan-lockard,,,
mizuki-inoue,,,
jun-yong-park,Korean Top Team,Korea,Middleweight
da-un-jung,,Korea,
khadis-ibragimov,,,
alateng-heili,,China,
danaa-batgerel,,,
karol-rosa,,Brazil,
lara-procopio,Nova Uniao,Brazil,
lerone-murphy,All Powers Gym,England,
liana-jojua,,,
ottman-azaitar,,Morocco,
fares-ziam,,,
tristan-connelly,Island MMA,Canada,
askar-askarov,,Russia,
vanessa-melo,Babuino Gold Team,Brazil,
ariane-carnelossi,,Brazil,
tyson-nam,,,
mark-o-madsen,Rumble Sports,Denmark,Welterweight
makhmud-muradov,Ankos MMA,Uzbekistan,
jack-shore,,Wales,
justin-tafa,,Australia,
brad-riddell,City Kickboxing,New Zealand,
jamie-mullarkey,,,
zarah-fairn,,France,
bruno-silva,Pitbull Brothers,Brazil,
kron-gracie,Gracie Humaita,Brazil,Featherweight
diana-belbita,,Romania,
sean-brady,Renzo Gracie Philly,USA,
tanner-boser,,Canada,
loma-lookboonmee,Tiger Muay Thai,Thailand,Women's Strawweight
