,TEAM,COUNTRY,WT CLASS
edson-barboza,American Top Team,Brazil,Lightweight
mike-lullo,,USA,Lightweight
tj-obrien,,,
michael-johnson,Hard Knocks 365,USA,Featherweight
jonathan-brookins,Gracie Barra Orlando,USA,Lightweight
nam-phan,Ma Du Academy,USA,Bantamweight
cody-mckenzie,Cesar Gracie Jiu-Jitsu,USA,Lightweight
aaron-wilkinson,,,
ian-loveland,,,
tyler-toner,Elevation Fight Team,,Bantamweight
sako-chivitchian,,,Lightweight
kyle-watson,,USA,Lightweight
will-campuzano,Mohler MMA,USA,Flyweight
nick-pace,,USA,Bantamweight
pablo-garza,Academy of Combat Arts,USA,Featherweight
fredson-paixao,,,Bantamweight
jesse-bongfeldt,,Canada,Middleweight
sean-pierson,Grant Brothers MMA,Canada,Welterweight
john-makdessi,Roufusport,Canada,Lightweight
josh-grispi,South Shore Sport,USA,Featherweight
dustin-poirier,American Top Team,USA,Lightweight
mike-brown,,,Lightweight
diego-nunes,,,
antonio-mckee,,USA,
rani-yahya,Constrictor Team,Brazil,Bantamweight
willamy-freire,,,
chris-cariaso,Fight and Fitness,USA,Flyweight
antonio-banuelos,,USA,Bantamweight
miguel-torres,TriStar Gym,USA,Bantamweight
donald-cerrone,BMF Ranch,USA,Lightweight
chad-mendes,Team Alpha Male,USA,Featherweight
demetrious-johnson,AMC Pankration,USA,Flyweight
norifumi-yamamoto,Krazy Bee,Japan,Bantamweight
kenny-robertson,,USA,Welterweight
brian-ebersole,,,
riki-fukuda,Grabaka,Japan,Middleweight
nick-ring,Champion's Creed MMA,Canada,Middleweight
tom-blackledge,,England,Light Heavyweight
tiequan-zhang,China Top Team,China,Lightweight
maciej-jewtuszko,,Poland,Lightweight
chris-weidman,Serra-Longo Fight Team,USA,Middleweight
brian-bowles,American Top Team,USA,Bantamweight
damacio-page,Jackson-Wink MMA,USA,Bantamweight
danny-castillo,Team Alpha Male,USA,Lightweight
shane-roller,,USA,Lightweight
reuben-duran,Alliance MMA,USA,Bantamweight
takeya-mizugaki,,Japan,Bantamweight
urijah-faber,Team Alpha Male,USA,Bantamweight
eddie-wineland,Duneland Vale Tudo,USA,Bantamweight
kamal-shalorus,American Combat Association,Iran,Lightweight
anthony-njokuani,Janjira Muay Thai,USA,Lightweight
joseph-benavidez,Team Alpha Male,USA,Flyweight
constantinos-philippou,Serra-Longo Fight Team,USA,Middleweight
raphael-assuncao,American Top Team,Brazil,Bantamweight
erik-koch,Roufusport,USA,Lightweight
chan-sung-jung,Korean Zombie MMA,Korea,Featherweight
alex-caceres,MMA LAB,USA,Featherweight
mackens-semerzier,,USA,Featherweight
edwin-figueroa,Mohler MMA,USA,Bantamweight
