,fight,loser,odds_l,odds_w,winner,FIGHTERS
2213,Gray Maynard vs Alexander Yakovlev,Gray-Maynard,2.13,1.82,Alexander-Yakovlev,Alexander-Yakovlev vs. Gray-Maynard
2214,Timothy Johnson vs Shamil Abdurakhimov,Shamil-Abdurakhimov,1.41,3.33,Timothy-Johnson,Shamil-Abdurakhimov vs. Timothy-Johnson
2215,Justin Jones vs Ron Stallings,Justin-Jones,1.79,2.17,Ron-Stallings,Justin-Jones vs. Ron-Stallings
2216,Demian Maia vs Ryan LaFlare,Ryan-LaFlare,1.79,2.22,Demian-Maia,Demian-Maia vs. Ryan-LaFlare
2217,Erick Silva vs Josh Koscheck,Josh-Koscheck,5.26,1.23,Erick-Silva,Erick-Silva vs. Josh-Koscheck
2218,Tony Martin vs Leonardo Santos,Tony-Martin,1.79,2.27,Leonardo-Santos,Leonardo-Santos vs. Tony-Martin
2219,Amanda Nunes vs Shayna Baszler,Shayna-Baszler,5.0,1.23,Amanda-Nunes,Amanda-Nunes vs. Shayna-Baszler
2220,Alex Oliveira vs Gilbert Burns,Alex-Oliveira,6.25,1.18,Gilbert-Burns,Alex-Oliveira vs. Gilbert-Burns
2221,Andre Fili vs Godofredo Pepey,Andre-Fili,1.33,3.7,Godofredo-Pepey,Andre-Fili vs. Godofredo-Pepey
2222,Akbarh Arreola vs Francisco Trinaldo,Akbarh-Arreola,2.86,1.52,Francisco-Trinaldo,Akbarh-Arreola vs. Francisco-Trinaldo
2223,Katsunori Kikuno vs Edmilson Souza,Katsunori-Kikuno,3.23,1.43,Edmilson-Souza,Edmilson-Souza vs. Katsunori-Kikuno
2224,Drew Dober vs Leandro Silva,Drew-Dober,2.33,1.69,Leandro-Silva,Drew-Dober vs. Leandro-Silva
2225,Cain Carrizosa vs Leonardo Mafra,Cain-Carrizosa,2.5,1.64,Leonardo-Mafra,Cain-Carrizosa vs. Leonardo-Mafra
2226,Christos Giagos vs Jorge Antonio Cezario de Oliveira,Jorge-Antonio-Cezario-de-Oliveira,2.78,1.54,Christos-Giagos,Christos-Giagos vs. Jorge-Antonio-Cezario-de-Oliveira
2227,Bentley Syler vs Freddy Serrano,Bentley-Syler,2.08,2.33,Freddy-Serrano,Bentley-Syler vs. Freddy-Serrano
2228,Anthony Pettis vs Rafael dos Anjos,Anthony-Pettis,1.27,4.9,Rafael-dos-Anjos,Anthony-Pettis vs. Rafael-dos-Anjos
2229,Carla Esparza vs Joanna Jedrzejczyk,Carla-Esparza,1.63,2.48,Joanna-Jedrzejczyk,Carla-Esparza vs. Joanna-Jedrzejczyk
2230,Johny Hendricks vs Matt Brown,Matt-Brown,4.26,1.3,Johny-Hendricks,Johny-Hendricks vs. Matt-Brown
2231,Alistair Overeem vs Roy Nelson,Roy-Nelson,2.8,1.54,Alistair-Overeem,Alistair-Overeem vs. Roy-Nelson
2232,Henry Cejudo vs Chris Cariaso,Chris-Cariaso,6.02,1.2,Henry-Cejudo,Chris-Cariaso vs. Henry-Cejudo
2233,Ross Pearson vs Sam Stout,Sam-Stout,4.26,1.3,Ross-Pearson,Ross-Pearson vs. Sam-Stout
2234,Roger Narvaez vs Elias Theodorou,Roger-Narvaez,3.94,1.31,Elias-Theodorou,Elias-Theodorou vs. Roger-Narvaez
2235,Daron Cruickshank vs Beneil Dariush,Daron-Cruickshank,1.73,2.37,Beneil-Dariush,Beneil-Dariush vs. Daron-Cruickshank
2236,Jared Rosholt vs Josh Copeland,Josh-Copeland,3.73,1.36,Jared-Rosholt,Jared-Rosholt vs. Josh-Copeland
2237,Sergio Pettis vs Ryan Benoit,Sergio-Pettis,1.22,5.35,Ryan-Benoit,Ryan-Benoit vs. Sergio-Pettis
2238,Joseph Duffy vs Jake Lindsey,Jake-Lindsey,5.62,1.22,Joseph-Duffy,Jake-Lindsey vs. Joseph-Duffy
2239,Larissa Pacheco vs Germaine de Randamie,Larissa-Pacheco,1.71,2.4,Germaine-de-Randamie,Germaine-de-Randamie vs. Larissa-Pacheco
2240,Ronda Rousey vs Cat Zingano,Cat-Zingano,7.14,1.18,Ronda-Rousey,Cat-Zingano vs. Ronda-Rousey
2241,Holly Holm vs Raquel Pennington,Raquel-Pennington,6.25,1.16,Holly-Holm,Holly-Holm vs. Raquel-Pennington
2242,Josh Koscheck vs Jake Ellenberger,Josh-Koscheck,2.78,1.52,Jake-Ellenberger,Jake-Ellenberger vs. Josh-Koscheck
2243,Alan Jouban vs Richard Walsh,Richard-Walsh,3.85,1.33,Alan-Jouban,Alan-Jouban vs. Richard-Walsh
2244,Tony Ferguson vs Gleison Tibau,Gleison-Tibau,3.23,1.43,Tony-Ferguson,Gleison-Tibau vs. Tony-Ferguson
2245,Mark Munoz vs Roan Carneiro,Mark-Munoz,1.39,3.45,Roan-Carneiro,Mark-Munoz vs. Roan-Carneiro
2246,Dhiego Lima vs Tim Means,Dhiego-Lima,2.33,1.72,Tim-Means,Dhiego-Lima vs. Tim-Means
2247,Derrick Lewis vs Ruan Potts,Ruan-Potts,5.56,1.19,Derrick-Lewis,Derrick-Lewis vs. Ruan-Potts
2248,James Krause vs Valmir Lazaro,James-Krause,1.59,2.63,Valmir-Lazaro,James-Krause vs. Valmir-Lazaro
2249,Masio Fullen vs Alexander Torres,Alexander-Torres,2.38,1.67,Masio-Fullen,Alexander-Torres vs. Masio-Fullen
2250,Frank Mir vs Antonio Silva,Antonio-Silva,1.45,3.45,Frank-Mir,Antonio-Silva vs. Frank-Mir
2251,Edson Barboza vs Michael Johnson,Edson-Barboza,1.59,2.63,Michael-Johnson,Edson-Barboza vs. Michael-Johnson
2252,Cezar Ferreira vs Sam Alvey,Cezar-Ferreira,1.32,4.17,Sam-Alvey,Cezar-Ferreira vs. Sam-Alvey
2253,Rustam Khabilov vs Adriano Martins,Rustam-Khabilov,1.2,5.56,Adriano-Martins,Adriano-Martins vs. Rustam-Khabilov
2254,Yuri Alcantara vs Frankie Saenz,Yuri-Alcantara,1.14,7.69,Frankie-Saenz,Frankie-Saenz vs. Yuri-Alcantara
2255,Santiago Ponzinibbio vs Sean Strickland,Sean-Strickland,1.54,2.86,Santiago-Ponzinibbio,Santiago-Ponzinibbio vs. Sean-Strickland
2256,Jessica Andrade vs Marion Reneau,Jessica-Andrade,1.41,3.33,Marion-Reneau,Jessica-Andrade vs. Marion-Reneau
2257,Matt Dwyer vs William Macario,William-Macario,1.27,4.35,Matt-Dwyer,Matt-Dwyer vs. William-Macario
2258,Mike de la Torre vs Tiago Trator,Tiago-Trator,1.47,3.03,Mike-de-la-Torre,Mike-de-la-Torre vs. Tiago-Trator
2259,Cody Gibson vs Douglas Silva de Andrade,Cody-Gibson,1.43,3.23,Douglas-Silva-de-Andrade,Cody-Gibson vs. Douglas-Silva-de-Andrade
2260,Ivan Jorge vs Josh Shockley,Josh-Shockley,3.13,1.45,Ivan-Jorge,Ivan-Jorge vs. Josh-Shockley
2261,Benson Henderson vs Brandon Thatch,Brandon-Thatch,1.79,2.38,Benson-Henderson,Benson-Henderson vs. Brandon-Thatch
2262,Max Holloway vs Cole Miller,Cole-Miller,4.76,1.27,Max-Holloway,Cole-Miller vs. Max-Holloway
2263,Neil Magny vs Kiichi Kunimoto,Kiichi-Kunimoto,5.88,1.18,Neil-Magny,Kiichi-Kunimoto vs. Neil-Magny
2264,Patrick Walsh vs Daniel Kelly,Patrick-Walsh,1.64,2.63,Daniel-Kelly,Daniel-Kelly vs. Patrick-Walsh
2265,Michel Prazeres vs Kevin Lee,Michel-Prazeres,2.33,1.69,Kevin-Lee,Kevin-Lee vs. Michel-Prazeres
2266,Chris Kelades vs Ray Borg,Chris-Kelades,7.69,1.14,Ray-Borg,Chris-Kelades vs. Ray-Borg
2267,Efrain Escudero vs Rodrigo Lima,Rodrigo-Lima,1.82,2.13,Efrain-Escudero,Efrain-Escudero vs. Rodrigo-Lima
2268,Jim Alers vs Chas Skelly,Jim-Alers,3.03,1.47,Chas-Skelly,Chas-Skelly vs. Jim-Alers
2269,Tim Elliott vs Zach Makovsky,Tim-Elliott,2.0,1.96,Zach-Makovsky,Tim-Elliott vs. Zach-Makovsky
2270,Cody Pfister vs James Moontasri,Cody-Pfister,3.03,1.47,James-Moontasri,Cody-Pfister vs. James-Moontasri
2271,Anderson Silva vs Nick Diaz,Nick-Diaz,5.26,1.2,Anderson-Silva,Anderson-Silva vs. Nick-Diaz
2272,Tyron Woodley vs Kelvin Gastelum,Kelvin-Gastelum,2.0,2.33,Tyron-Woodley,Kelvin-Gastelum vs. Tyron-Woodley
2273,Joe Lauzon vs Al Iaquinta,Joe-Lauzon,2.78,1.56,Al-Iaquinta,Al-Iaquinta vs. Joe-Lauzon
2274,Tim Boetsch vs Thales Leites,Tim-Boetsch,5.0,1.23,Thales-Leites,Thales-Leites vs. Tim-Boetsch
2275,Jordan Mein vs Thiago Alves,Jordan-Mein,1.75,2.27,Thiago-Alves,Jordan-Mein vs. Thiago-Alves
2276,Miesha Tate vs Sara McMann,Sara-McMann,1.64,2.7,Miesha-Tate,Miesha-Tate vs. Sara-McMann
2277,Derek Brunson vs Ed Herman,Ed-Herman,5.88,1.18,Derek-Brunson,Derek-Brunson vs. Ed-Herman
2278,Ian McCall vs John Lineker,Ian-McCall,1.43,3.13,John-Lineker,Ian-McCall vs. John-Lineker
2279,Tom Watson vs Rafael Natal,Tom-Watson,2.44,1.72,Rafael-Natal,Rafael-Natal vs. Tom-Watson
2280,Ildemar Alcantara vs Richardson Moreira,Richardson-Moreira,2.56,1.61,Ildemar-Alcantara,Ildemar-Alcantara vs. Richardson-Moreira
2281,Andy Enz vs Thiago Santos,Andy-Enz,2.7,1.59,Thiago-Santos,Andy-Enz vs. Thiago-Santos
2282,Alexander Gustafsson vs Anthony Johnson,Alexander-Gustafsson,1.35,3.7,Anthony-Johnson,Alexander-Gustafsson vs. Anthony-Johnson
2283,Gegard Mousasi vs Dan Henderson,Dan-Henderson,5.56,1.2,Gegard-Mousasi,Dan-Henderson vs. Gegard-Mousasi
2284,Phil Davis vs Ryan Bader,Phil-Davis,1.49,3.03,Ryan-Bader,Phil-Davis vs. Ryan-Bader
2285,Akira Corassani vs Sam Sicilia,Akira-Corassani,1.89,2.08,Sam-Sicilia,Akira-Corassani vs. Sam-Sicilia
2286,Nico Musoke vs Albert Tumenov,Nico-Musoke,2.33,1.75,Albert-Tumenov,Albert-Tumenov vs. Nico-Musoke
2287,Kenny Robertson vs Sultan Aliev,Sultan-Aliev,1.61,2.63,Kenny-Robertson,Kenny-Robertson vs. Sultan-Aliev
2288,Makwan Amirkhani vs Andy Ogle,Andy-Ogle,1.69,2.44,Makwan-Amirkhani,Andy-Ogle vs. Makwan-Amirkhani
2289,Nikita Krylov vs Stanislav Nedkov,Stanislav-Nedkov,2.13,1.82,Nikita-Krylov,Nikita-Krylov vs. Stanislav-Nedkov
2290,Anthony Christodoulou vs Mairbek Taisumov,Anthony-Christodoulou,8.33,1.12,Mairbek-Taisumov,Anthony-Christodoulou vs. Mairbek-Taisumov
2291,Mirsad Bektic vs Paul Redmond,Paul-Redmond,6.67,1.15,Mirsad-Bektic,Mirsad-Bektic vs. Paul-Redmond
2292,Konstantin Erokhin vs Viktor Pesta,Konstantin-Erokhin,1.27,4.35,Viktor-Pesta,Konstantin-Erokhin vs. Viktor-Pesta
2293,Chris Beal vs Neil Seery,Chris-Beal,1.54,2.78,Neil-Seery,Chris-Beal vs. Neil-Seery
2294,Conor McGregor vs Dennis Siver,Dennis-Siver,10.0,1.11,Conor-McGregor,Conor-McGregor vs. Dennis-Siver
2295,Donald Cerrone vs Benson Henderson,Benson-Henderson,1.79,2.22,Donald-Cerrone,Benson-Henderson vs. Donald-Cerrone
2296,Urijah Hall vs Ron Stallings,Ron-Stallings,8.33,1.14,Urijah-Hall,Ron-Stallings vs. Urijah-Hall
2297,Norman Parke vs Gleison Tibau,Norman-Parke,2.27,1.72,Gleison-Tibau,Gleison-Tibau vs. Norman-Parke
2298,Cathal Pendred vs Sean Spencer,Sean-Spencer,1.67,2.38,Cathal-Pendred,Cathal-Pendred vs. Sean-Spencer
2299,John Howard vs Lorenz Larkin,John-Howard,2.38,1.67,Lorenz-Larkin,John-Howard vs. Lorenz-Larkin
2300,Zhang Lipeng vs Chris Wade,Zhang-Lipeng,5.56,1.22,Chris-Wade,Chris-Wade vs. Zhang-Lipeng
2301,Patrick Holohan vs Shane Howell,Shane-Howell,3.57,1.39,Patrick-Holohan,Patrick-Holohan vs. Shane-Howell
2302,Johnny Case vs Frankie Perez,Frankie-Perez,0.0,0.0,Johnny-Case,Frankie-Perez vs. Johnny-Case
2303,Charles Rosa vs Sean Soriano,Sean-Soriano,2.22,1.75,Charles-Rosa,Charles-Rosa vs. Sean-Soriano
2304,Sean O'Connell vs Matt Van Buren,Matt-Van-Buren,2.78,1.56,Sean-O'Connell,"Matt-Van-Buren', ""Sean-O'Connell""]"
2305,Joby Sanchez vs Tateki Matsuda,Tateki-Matsuda,2.56,1.64,Joby-Sanchez,Joby-Sanchez vs. Tateki-Matsuda
2306,Jon Jones vs Daniel Cormier,Daniel-Cormier,2.5,1.64,Jon-Jones,Daniel-Cormier vs. Jon-Jones
2307,Donald Cerrone vs Myles Jury,Myles-Jury,2.7,1.54,Donald-Cerrone,Donald-Cerrone vs. Myles-Jury
2308,Nate Marquardt vs Brad Tavares,Nate-Marquardt,1.79,2.22,Brad-Tavares,Brad-Tavares vs. Nate-Marquardt
2309,Kyoji Horiguchi vs Louis Gaudinot,Louis-Gaudinot,6.67,1.16,Kyoji-Horiguchi,Kyoji-Horiguchi vs. Louis-Gaudinot
2310,Hector Lombard vs Josh Burkman,Josh-Burkman,7.14,1.15,Hector-Lombard,Hector-Lombard vs. Josh-Burkman
2311,Danny Castillo vs Paul Felder,Danny-Castillo,1.47,2.94,Paul-Felder,Danny-Castillo vs. Paul-Felder
2312,Marcus Brimage vs Cody Garbrandt,Marcus-Brimage,1.56,2.7,Cody-Garbrandt,Cody-Garbrandt vs. Marcus-Brimage
2313,Shawn Jordan vs Jared Cannonier,Jared-Cannonier,3.03,1.47,Shawn-Jordan,Jared-Cannonier vs. Shawn-Jordan
2314,Evan Dunham vs Rodrigo Damm,Rodrigo-Damm,5.56,1.22,Evan-Dunham,Evan-Dunham vs. Rodrigo-Damm
2315,Omari Akhmedov vs Mats Nilsson,Mats-Nilsson,2.5,1.64,Omari-Akhmedov,Mats-Nilsson vs. Omari-Akhmedov
2316,Alexis Dufresne vs Marion Reneau,Alexis-Dufresne,1.56,2.7,Marion-Reneau,Alexis-Dufresne vs. Marion-Reneau
2317,Lyoto Machida vs C.B. Dollaway,C.B.-Dollaway,5.88,1.18,Lyoto-Machida,C.B.-Dollaway vs. Lyoto-Machida
2318,Renan Barao vs Mitch Gagnon,Mitch-Gagnon,7.14,1.14,Renan-Barao,Mitch-Gagnon vs. Renan-Barao
2319,Patrick Cummins vs Antonio Carlos Junior,Antonio-Carlos-Junior,2.56,1.64,Patrick-Cummins,Antonio-Carlos-Junior vs. Patrick-Cummins
2320,Rashid Magomedov vs Elias Silverio,Elias-Silverio,2.44,1.64,Rashid-Magomedov,Elias-Silverio vs. Rashid-Magomedov
2321,Erick Silva vs Mike Rhodes,Mike-Rhodes,4.35,1.28,Erick-Silva,Erick-Silva vs. Mike-Rhodes
2322,Antonio Dos Santos Jr. vs Daniel Sarafian,Antonio-Dos-Santos-Jr.,2.38,1.67,Daniel-Sarafian,Antonio-Dos-Santos-Jr. vs. Daniel-Sarafian
2323,Marcos Rogerio de Lima vs Igor Pokrajac,Igor-Pokrajac,4.0,1.33,Marcos-Rogerio-de-Lima,Igor-Pokrajac vs. Marcos-Rogerio-de-Lima
2324,Tom Niinimaki vs Renato Moicano,Tom-Niinimaki,1.92,2.04,Renato-Moicano,Renato-Moicano vs. Tom-Niinimaki
2325,Hacran Dias vs Darren Elkins,Darren-Elkins,2.78,1.54,Hacran-Dias,Darren-Elkins vs. Hacran-Dias
2326,Leandro Issa vs Yuta Sasaki,Yuta-Sasaki,1.22,5.0,Leandro-Issa,Leandro-Issa vs. Yuta-Sasaki
2327,Tim Means vs Marcio Alexandre Jr.,Marcio-Alexandre-Jr.,3.03,1.47,Tim-Means,Marcio-Alexandre-Jr. vs. Tim-Means
2328,Jake Collier vs Vitor Miranda,Jake-Collier,1.59,2.56,Vitor-Miranda,Jake-Collier vs. Vitor-Miranda
2329,Junior dos Santos vs Stipe Miocic,Stipe-Miocic,4.55,1.28,Junior-dos-Santos,Junior-dos-Santos vs. Stipe-Miocic
2330,Nate Diaz vs Rafael dos Anjos,Nate-Diaz,3.57,1.41,Rafael-dos-Anjos,Nate-Diaz vs. Rafael-dos-Anjos
2331,Alistair Overeem vs Stefan Struve,Stefan-Struve,3.23,1.47,Alistair-Overeem,Alistair-Overeem vs. Stefan-Struve
2332,Matt Mitrione vs Gabriel Gonzaga,Gabriel-Gonzaga,2.22,1.79,Matt-Mitrione,Gabriel-Gonzaga vs. Matt-Mitrione
2333,Claudia Gadelha vs Joanna Jedrzejczyk,Claudia-Gadelha,1.43,3.23,Joanna-Jedrzejczyk,Claudia-Gadelha vs. Joanna-Jedrzejczyk
2334,Willie Gates vs John Moraga,Willie-Gates,5.56,1.23,John-Moraga,John-Moraga vs. Willie-Gates
2335,Ben Saunders vs Joe Riggs,Joe-Riggs,3.23,1.43,Ben-Saunders,Ben-Saunders vs. Joe-Riggs
2336,Jamie Varner vs Drew Dober,Jamie-Varner,1.28,4.35,Drew-Dober,Drew-Dober vs. Jamie-Varner
2337,Joe Ellenberger vs Bryan Barberena,Joe-Ellenberger,1.47,3.13,Bryan-Barberena,Bryan-Barberena vs. Joe-Ellenberger
2338,David Michaud vs Garett Whiteley,Garett-Whiteley,2.94,1.47,David-Michaud,David-Michaud vs. Garett-Whiteley
2339,Henry Cejudo vs Dustin Kimura,Dustin-Kimura,3.23,1.45,Henry-Cejudo,Dustin-Kimura vs. Henry-Cejudo
2340,Ian Entwistle vs Anthony Birchak,Anthony-Birchak,1.47,3.03,Ian-Entwistle,Anthony-Birchak vs. Ian-Entwistle
2341,Carla Esparza vs Rose Namajunas,Rose-Namajunas,1.56,2.63,Carla-Esparza,Carla-Esparza vs. Rose-Namajunas
2342,Jeremy Stephens vs Charles Oliveira,Jeremy-Stephens,1.89,2.33,Charles-Oliveira,Charles-Oliveira vs. Jeremy-Stephens
2343,Yancy Medeiros vs Joe Proctor,Joe-Proctor,3.23,1.43,Yancy-Medeiros,Joe-Proctor vs. Yancy-Medeiros
2344,Jessica Penne vs Randa Markos,Randa-Markos,1.92,2.0,Jessica-Penne,Jessica-Penne vs. Randa-Markos
2345,Felice Herrig vs Lisa Ellis,Lisa-Ellis,4.17,1.28,Felice-Herrig,Felice-Herrig vs. Lisa-Ellis
2346,Bec Rawlings vs Heather Clark,Bec-Rawlings,1.56,2.63,Heather-Clark,Bec-Rawlings vs. Heather-Clark
2347,Joanne Calderwood vs Seo Hee Ham,Seo-Hee-Ham,5.88,1.2,Joanne-Calderwood,Joanne-Calderwood vs. Seo-Hee-Ham
2348,Tecia Torres vs Angela Magana,Angela-Magana,5.88,1.18,Tecia-Torres,Angela-Magana vs. Tecia-Torres
2349,Aisling Daly vs Alex Chambers,Alex-Chambers,2.94,1.49,Aisling-Daly,Aisling-Daly vs. Alex-Chambers
2350,Emily Kagan vs Angela Hill,Emily-Kagan,2.5,1.64,Angela-Hill,Angela-Hill vs. Emily-Kagan
2351,Robbie Lawler vs Johny Hendricks,Johny-Hendricks,1.49,2.94,Robbie-Lawler,Johny-Hendricks vs. Robbie-Lawler
2352,Anthony Pettis vs Gilbert Melendez,Gilbert-Melendez,3.13,1.41,Anthony-Pettis,Anthony-Pettis vs. Gilbert-Melendez
2353,Travis Browne vs Brendan Schaub,Brendan-Schaub,3.85,1.32,Travis-Browne,Brendan-Schaub vs. Travis-Browne
2354,Todd Duffee vs Anthony Hamilton,Anthony-Hamilton,3.7,1.33,Todd-Duffee,Anthony-Hamilton vs. Todd-Duffee
2355,Tony Ferguson vs Abel Trujillo,Abel-Trujillo,3.13,1.43,Tony-Ferguson,Abel-Trujillo vs. Tony-Ferguson
2356,Urijah Faber vs Francisco Rivera,Francisco-Rivera,5.0,1.23,Urijah-Faber,Francisco-Rivera vs. Urijah-Faber
2357,Eddie Gordon vs Josh Samman,Eddie-Gordon,1.64,2.44,Josh-Samman,Eddie-Gordon vs. Josh-Samman
2358,Justin Jones vs Corey Anderson,Justin-Jones,3.85,1.32,Corey-Anderson,Corey-Anderson vs. Justin-Jones
2359,Ashlee Evans-Smith vs Raquel Pennington,Ashlee-Evans-Smith,1.54,2.7,Raquel-Pennington,Ashlee-Evans-Smith vs. Raquel-Pennington
2360,Sergio Pettis vs Matt Hobar,Matt-Hobar,3.7,1.33,Sergio-Pettis,Matt-Hobar vs. Sergio-Pettis
2361,Clay Collard vs Alex White,Alex-White,1.75,2.22,Clay-Collard,Alex-White vs. Clay-Collard
2362,Cub Swanson vs Frankie Edgar,Cub-Swanson,3.03,1.47,Frankie-Edgar,Cub-Swanson vs. Frankie-Edgar
2363,Bobby Green vs Edson Barboza,Bobby-Green,2.04,1.96,Edson-Barboza,Bobby-Green vs. Edson-Barboza
2364,Brad Pickett vs Chico Camus,Brad-Pickett,1.52,3.03,Chico-Camus,Brad-Pickett vs. Chico-Camus
2365,Jared Rosholt vs Aleksei Oleinik,Jared-Rosholt,1.47,3.03,Aleksei-Oleinik,Aleksei-Oleinik vs. Jared-Rosholt
2366,Isaac Vallie-Flagg vs Matt Wiman,Isaac-Vallie-Flagg,2.78,1.54,Matt-Wiman,Isaac-Vallie-Flagg vs. Matt-Wiman
2367,Ruslan Magomedov vs Josh Copeland,Josh-Copeland,2.94,1.49,Ruslan-Magomedov,Josh-Copeland vs. Ruslan-Magomedov
2368,Luke Barnatt vs Roger Narvaez,Luke-Barnatt,1.33,3.57,Roger-Narvaez,Luke-Barnatt vs. Roger-Narvaez
2369,James Vick vs Nick Hein,Nick-Hein,2.78,1.49,James-Vick,James-Vick vs. Nick-Hein
2370,Yves Edwards vs Akbarh Arreola,Yves-Edwards,1.54,2.78,Akbarh-Arreola,Akbarh-Arreola vs. Yves-Edwards
2371,Kailin Curran vs Paige VanZant,Kailin-Curran,2.38,1.69,Paige-VanZant,Kailin-Curran vs. Paige-VanZant
2372,Doo Ho Choi vs Juan Manuel Puig,Juan-Manuel-Puig,3.85,1.3,Doo-Ho-Choi,Doo-Ho-Choi vs. Juan-Manuel-Puig
2373,Fabricio Werdum vs Mark Hunt,Mark-Hunt,4.55,1.27,Fabricio-Werdum,Fabricio-Werdum vs. Mark-Hunt
2374,Jake Ellenberger vs Kelvin Gastelum,Jake-Ellenberger,2.94,1.47,Kelvin-Gastelum,Jake-Ellenberger vs. Kelvin-Gastelum
2375,Ricardo Lamas vs Dennis Bermudez,Dennis-Bermudez,1.59,2.7,Ricardo-Lamas,Dennis-Bermudez vs. Ricardo-Lamas
2376,Augusto Montano vs Chris Heatherly,Chris-Heatherly,2.94,1.47,Augusto-Montano,Augusto-Montano vs. Chris-Heatherly
2377,Edgar Garcia vs Hector Urbina,Edgar-Garcia,1.54,2.78,Hector-Urbina,Edgar-Garcia vs. Hector-Urbina
2378,Alejandro Perez vs Jose Quinonez,Jose-Quinonez,1.47,3.03,Alejandro-Perez,Alejandro-Perez vs. Jose-Quinonez
2379,Leslie Smith vs Jessica Eye,Leslie-Smith,3.13,1.43,Jessica-Eye,Jessica-Eye vs. Leslie-Smith
2380,Gabriel Benitez vs Humberto Brown Morrison,Humberto-Brown-Morrison,4.17,1.3,Gabriel-Benitez,Gabriel-Benitez vs. Humberto-Brown-Morrison
2381,Enrique Briones vs Guido Cannetti,Guido-Cannetti,2.04,1.89,Enrique-Briones,Enrique-Briones vs. Guido-Cannetti
2382,Marco Beltran vs Marlon Vera,Marlon-Vera,1.39,3.33,Marco-Beltran,Marco-Beltran vs. Marlon-Vera
2383,Mauricio Rua vs Ovince St Preux,Mauricio-Rua,1.54,2.7,Ovince-St-Preux,Mauricio-Rua vs. Ovince-St-Preux
2384,Warlley Alves vs Alan Jouban,Alan-Jouban,3.03,1.45,Warlley-Alves,Alan-Jouban vs. Warlley-Alves
2385,Claudio Silva vs Leon Edwards,Leon-Edwards,1.54,2.63,Claudio-Silva,Claudio-Silva vs. Leon-Edwards
2386,Dhiego Lima vs Jorge Antonio Cezario de Oliveira,Jorge-Antonio-Cezario-de-Oliveira,3.7,1.32,Dhiego-Lima,Dhiego-Lima vs. Jorge-Antonio-Cezario-de-Oliveira
2387,Juliana Lima vs Nina Ansaroff,Nina-Ansaroff,1.69,2.38,Juliana-Lima,Juliana-Lima vs. Nina-Ansaroff
2388,Diego Rivas vs Rodolfo Rubio Perez,Rodolfo-Rubio-Perez,2.0,1.82,Diego-Rivas,Diego-Rivas vs. Rodolfo-Rubio-Perez
2389,Caio Magalhaes vs Trevor Smith,Trevor-Smith,2.94,1.47,Caio-Magalhaes,Caio-Magalhaes vs. Trevor-Smith
2390,Leandro Silva vs Charlie Brenneman,Charlie-Brenneman,2.5,1.64,Leandro-Silva,Charlie-Brenneman vs. Leandro-Silva
2391,Tim Gorman vs Thomas Almeida,Tim-Gorman,3.7,1.3,Thomas-Almeida,Thomas-Almeida vs. Tim-Gorman
2392,Colby Covington vs Wagner Silva Gomes,Wagner-Silva-Gomes,4.76,1.23,Colby-Covington,Colby-Covington vs. Wagner-Silva-Gomes
2393,Michael Bisping vs Luke Rockhold,Michael-Bisping,4.76,1.23,Luke-Rockhold,Luke-Rockhold vs. Michael-Bisping
2394,Ross Pearson vs Al Iaquinta,Ross-Pearson,1.67,2.5,Al-Iaquinta,Al-Iaquinta vs. Ross-Pearson
2395,Soa Palelei vs Walt Harris,Walt-Harris,2.44,1.67,Soa-Palelei,Soa-Palelei vs. Walt-Harris
2396,Jake Matthews vs Vagner Rocha,Vagner-Rocha,4.35,1.28,Jake-Matthews,Jake-Matthews vs. Vagner-Rocha
2397,Anthony Perosh vs Guto Inocente,Guto-Inocente,1.54,2.86,Anthony-Perosh,Anthony-Perosh vs. Guto-Inocente
2398,Dylan Andrews vs Sam Alvey,Dylan-Andrews,1.61,2.5,Sam-Alvey,Dylan-Andrews vs. Sam-Alvey
2399,Richie Vaculik vs Louis Smolka,Richie-Vaculik,4.0,1.32,Louis-Smolka,Louis-Smolka vs. Richie-Vaculik
2400,Vik Grujic vs Chris Clements,Vik-Grujic,1.75,2.27,Chris-Clements,Chris-Clements vs. Vik-Grujic
2401,Daniel Kelly vs Luke Zachrich,Luke-Zachrich,1.35,3.57,Daniel-Kelly,Daniel-Kelly vs. Luke-Zachrich
2402,Jumabieke Tuerxun vs Marcus Brimage,Jumabieke-Tuerxun,5.56,1.2,Marcus-Brimage,Jumabieke-Tuerxun vs. Marcus-Brimage
2403,Demetrious Johnson vs Chris Cariaso,Chris-Cariaso,12.5,1.07,Demetrious-Johnson,Chris-Cariaso vs. Demetrious-Johnson
2404,Donald Cerrone vs Eddie Alvarez,Eddie-Alvarez,2.25,1.75,Donald-Cerrone,Donald-Cerrone vs. Eddie-Alvarez
2405,Conor McGregor vs Dustin Poirier,Dustin-Poirier,3.4,1.44,Conor-McGregor,Conor-McGregor vs. Dustin-Poirier
2406,Yoel Romero vs Tim Kennedy,Tim-Kennedy,2.01,2.23,Yoel-Romero,Tim-Kennedy vs. Yoel-Romero
2407,Cat Zingano vs Amanda Nunes,Amanda-Nunes,2.97,1.48,Cat-Zingano,Amanda-Nunes vs. Cat-Zingano
2408,Dominick Cruz vs Takeya Mizugaki,Takeya-Mizugaki,5.75,1.21,Dominick-Cruz,Dominick-Cruz vs. Takeya-Mizugaki
