,fight,loser,odds_l,odds_w,winner,FIGHTERS
886,Marion Reneau vs Sara McMann,Sara-McMann,1.57,2.75,Marion-Reneau,Marion-Reneau vs. Sara-McMann
887,Angela Hill vs Maryna Moroz,Maryna-Moroz,2.35,1.77,Angela-Hill,Angela-Hill vs. Maryna-Moroz
888,Alan Jouban vs Ben Saunders,Ben-Saunders,3.35,1.43,Alan-Jouban,Alan-Jouban vs. Ben-Saunders
889,Sam Alvey vs Marcin Prachnio,Marcin-Prachnio,1.47,3.15,Sam-Alvey,Marcin-Prachnio vs. Sam-Alvey
890,Rani Yahya vs Russell Doane,Russell-Doane,3.15,1.5,Rani-Yahya,Rani-Yahya vs. Russell-Doane
891,Eric Shelton vs Alex Perez,Eric-Shelton,2.1,2.25,Alex-Perez,Alex-Perez vs. Eric-Shelton
892,Albert Morales vs Manny Bermudez,Albert-Morales,2.58,1.65,Manny-Bermudez,Albert-Morales vs. Manny-Bermudez
893,Donald Cerrone vs Yancy Medeiros,Yancy-Medeiros,2.25,2.09,Donald-Cerrone,Donald-Cerrone vs. Yancy-Medeiros
894,Derrick Lewis vs Marcin Tybura,Marcin-Tybura,2.0,2.2,Derrick-Lewis,Derrick-Lewis vs. Marcin-Tybura
895,James Vick vs Francisco Trinaldo,Francisco-Trinaldo,3.0,1.5,James-Vick,Francisco-Trinaldo vs. James-Vick
896,Curtis Millender vs Thiago Alves,Thiago-Alves,1.69,2.45,Curtis-Millender,Curtis-Millender vs. Thiago-Alves
897,Brandon Davis vs Steven Peterson,Steven-Peterson,2.54,1.69,Brandon-Davis,Brandon-Davis vs. Steven-Peterson
898,Sage Northcutt vs Thibault Gouti,Thibault-Gouti,4.25,1.35,Sage-Northcutt,Sage-Northcutt vs. Thibault-Gouti
899,Jared Gordon vs Carlos Diego Ferreira,Jared-Gordon,1.59,3.2,Carlos-Diego-Ferreira,Carlos-Diego-Ferreira vs. Jared-Gordon
900,Brian Camozzi vs Geoff Neal,Brian-Camozzi,0.0,0.0,Geoff-Neal,Brian-Camozzi vs. Geoff-Neal
901,Roberto Sanchez vs Joby Sanchez,Joby-Sanchez,1.75,2.35,Roberto-Sanchez,Joby-Sanchez vs. Roberto-Sanchez
902,Sarah Moras vs Lucie Pudilova,Sarah-Moras,2.4,1.74,Lucie-Pudilova,Lucie-Pudilova vs. Sarah-Moras
903,Alex Morono vs Josh Burkman,Josh-Burkman,4.15,1.36,Alex-Morono,Alex-Morono vs. Josh-Burkman
904,Tim Williams vs Oskar Piechota,Tim-Williams,3.95,1.35,Oskar-Piechota,Oskar-Piechota vs. Tim-Williams
905,Yoel Romero vs Luke Rockhold,Luke-Rockhold,2.5,2.67,Yoel-Romero,Luke-Rockhold vs. Yoel-Romero
906,Mark Hunt vs Curtis Blaydes,Mark-Hunt,2.69,1.65,Curtis-Blaydes,Curtis-Blaydes vs. Mark-Hunt
907,Cyril Asker vs Tai Tuivasa,Cyril-Asker,3.75,1.39,Tai-Tuivasa,Cyril-Asker vs. Tai-Tuivasa
908,Jake Matthews vs Li Jingliang,Li-Jingliang,1.71,2.55,Jake-Matthews,Jake-Matthews vs. Li-Jingliang
909,Tyson Pedro vs Saparbek Safarov,Saparbek-Safarov,3.55,1.37,Tyson-Pedro,Saparbek-Safarov vs. Tyson-Pedro
910,Damien Brown vs Dong Hyun Ma,Damien-Brown,2.25,1.77,Dong-Hyun-Ma,Damien-Brown vs. Dong-Hyun-Ma
911,Rob Wilkinson vs Israel Adesanya,Rob-Wilkinson,3.8,1.33,Israel-Adesanya,Israel-Adesanya vs. Rob-Wilkinson
912,Jeremy Kennedy vs Alex Volkanovski,Jeremy-Kennedy,2.9,1.74,Alex-Volkanovski,Alex-Volkanovski vs. Jeremy-Kennedy
913,Ben Nguyen vs Jussier Formiga,Ben-Nguyen,2.0,1.98,Jussier-Formiga,Ben-Nguyen vs. Jussier-Formiga
914,Ross Pearson vs Mizuto Hirota,Mizuto-Hirota,2.6,1.69,Ross-Pearson,Mizuto-Hirota vs. Ross-Pearson
915,Teruto Ishihara vs Jose Quinonez,Teruto-Ishihara,2.7,1.66,Jose-Quinonez,Jose-Quinonez vs. Teruto-Ishihara
916,Luke Jumeau vs Daichi Abe,Daichi-Abe,1.71,2.45,Luke-Jumeau,Daichi-Abe vs. Luke-Jumeau
917,Lyoto Machida vs Eryk Anders,Eryk-Anders,1.44,3.25,Lyoto-Machida,Eryk-Anders vs. Lyoto-Machida
918,Valentina Shevchenko vs Priscila Cachoeira,Priscila-Cachoeira,8.95,1.12,Valentina-Shevchenko,Priscila-Cachoeira vs. Valentina-Shevchenko
919,Desmond Green vs Michel Prazeres,Desmond-Green,2.3,1.87,Michel-Prazeres,Desmond-Green vs. Michel-Prazeres
920,Timothy Johnson vs Marcelo Golm,Marcelo-Golm,1.62,2.55,Timothy-Johnson,Marcelo-Golm vs. Timothy-Johnson
921,Douglas Silva de Andrade vs Marlon Vera,Marlon-Vera,1.71,2.75,Douglas-Silva-de-Andrade,Douglas-Silva-de-Andrade vs. Marlon-Vera
922,Thiago Santos vs Anthony Smith,Anthony-Smith,3.4,1.4,Thiago-Santos,Anthony-Smith vs. Thiago-Santos
923,Sergio Moraes vs Tim Means,Tim-Means,1.53,2.95,Sergio-Moraes,Sergio-Moraes vs. Tim-Means
