,Fighter,Weight class,Method,Round,Time,location,date,fighturl,eventurl
9,Marcelo Guimaraes  Dan Stittgen,Welterweight,S-DEC,3,5:00,"San Jose, California, USA","July 11, 2012",http://ufcstats.com/fight-details/831957c67bfc4486,http://ufcstats.com/event-details/d3b5ad3b15a64a18
10,Raphael Assuncao  Issei Tamura,Bantamweight,KO/TKO  Punch,2,0:25,"San Jose, California, USA","July 11, 2012",http://ufcstats.com/fight-details/a914df32b95a1abc,http://ufcstats.com/event-details/d3b5ad3b15a64a18
0,Anderson Silva  Chael Sonnen,Middleweight,KO/TKO  Punch,2,1:55,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/83526f699d25e4e4,http://ufcstats.com/event-details/e8efeb9cf33b1941
1,Forrest Griffin  Tito Ortiz,Light Heavyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/cf04a408cedb37ff,http://ufcstats.com/event-details/e8efeb9cf33b1941
2,Cung Le  Patrick Cote,Middleweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/64d4c58a37e1d29b,http://ufcstats.com/event-details/e8efeb9cf33b1941
3,Demian Maia  Dong Hyun Kim,Welterweight,KO/TKO,1,0:47,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/61cb2ca1469c83ba,http://ufcstats.com/event-details/e8efeb9cf33b1941
4,Chad Mendes  Cody McKenzie,Featherweight,KO/TKO  Punch,1,0:31,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/d1268ffa059f9d42,http://ufcstats.com/event-details/e8efeb9cf33b1941
5,Mike Easton  Ivan Menjivar,Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/21751a3cc69e5aae,http://ufcstats.com/event-details/e8efeb9cf33b1941
6,Melvin Guillard  Fabricio Camoes,Lightweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/0c37ff69a00c0e74,http://ufcstats.com/event-details/e8efeb9cf33b1941
7,Khabib Nurmagomedov  Gleison Tibau,Lightweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/ded18af0e4eae2f7,http://ufcstats.com/event-details/e8efeb9cf33b1941
8,Costas Philippou  Riki Fukuda,Middleweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/2f5e137118d57d0e,http://ufcstats.com/event-details/e8efeb9cf33b1941
9,Shane Roller  John Alessio,Lightweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/5c783d455daff573,http://ufcstats.com/event-details/e8efeb9cf33b1941
10,Rafaello Oliveira  Yoislandy Izquierdo,Lightweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","July 07, 2012",http://ufcstats.com/fight-details/8e7b1dfc608a2ef4,http://ufcstats.com/event-details/e8efeb9cf33b1941
0,Rich Franklin  Wanderlei Silva,Catch Weight,U-DEC,5,5:00,"Belo Horizonte, Minas Gerais, Brazil","June 23, 2012",http://ufcstats.com/fight-details/1b80d5696c2dc640,http://ufcstats.com/event-details/3da19339ee7051d5
1,Cezar Ferreira  Sergio Moraes,Middleweight,U-DEC,3,5:00,"Belo Horizonte, Minas Gerais, Brazil","June 23, 2012",http://ufcstats.com/fight-details/9232fed045b1f4f9,http://ufcstats.com/event-details/3da19339ee7051d5
2,Rony Jason  Godofredo Pepey,Featherweight,U-DEC,3,5:00,"Belo Horizonte, Minas Gerais, Brazil","June 23, 2012",http://ufcstats.com/fight-details/366de1daf05a2b62,http://ufcstats.com/event-details/3da19339ee7051d5
3,Fabricio Werdum  Mike Russow,Heavyweight,KO/TKO  Punch,1,2:28,"Belo Horizonte, Minas Gerais, Brazil","June 23, 2012",http://ufcstats.com/fight-details/0239f24134022656,http://ufcstats.com/event-details/3da19339ee7051d5
4,Hacran Dias  Iuri Alcantara,Featherweight,U-DEC,3,5:00,"Belo Horizonte, Minas Gerais, Brazil","June 23, 2012",http://ufcstats.com/fight-details/f638f176dd1834c0,http://ufcstats.com/event-details/3da19339ee7051d5
5,Rodrigo Damm  Anistavio Medeiros,Featherweight,SUB  Rear Naked Choke,1,2:12,"Belo Horizonte, Minas Gerais, Brazil","June 23, 2012",http://ufcstats.com/fight-details/1bfb8faa1edd3867,http://ufcstats.com/event-details/3da19339ee7051d5
6,Francisco Trinaldo  Delson Heleno,Middleweight,KO/TKO  Punches,1,4:21,"Belo Horizonte, Minas Gerais, Brazil","June 23, 2012",http://ufcstats.com/fight-details/c1bf9ca94c1f7f09,http://ufcstats.com/event-details/3da19339ee7051d5
7,Hugo Viana  John Teixeira,Featherweight,S-DEC,3,5:00,"Belo Horizonte, Minas Gerais, Brazil","June 23, 2012",http://ufcstats.com/fight-details/00c20fa576380ac8,http://ufcstats.com/event-details/3da19339ee7051d5
8,Thiago Perpetuo  Leonardo Mafra,Middleweight,KO/TKO  Punch,3,0:41,"Belo Horizonte, Minas Gerais, Brazil","June 23, 2012",http://ufcstats.com/fight-details/cc3e0c5a0f868502,http://ufcstats.com/event-details/3da19339ee7051d5
9,Marcos Vinicius  Wagner Campos,Featherweight,KO/TKO  Punches,3,1:04,"Belo Horizonte, Minas Gerais, Brazil","June 23, 2012",http://ufcstats.com/fight-details/f269d25146eec937,http://ufcstats.com/event-details/3da19339ee7051d5
0,Gray Maynard  Clay Guida,Lightweight,S-DEC,5,5:00,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/18efcec3c51750e9,http://ufcstats.com/event-details/505934897b8b4824
1,Sam Stout  Spencer Fisher,Lightweight,U-DEC,3,5:00,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/756cae177016ebf1,http://ufcstats.com/event-details/505934897b8b4824
2,Brian Ebersole  TJ Waldburger,Welterweight,U-DEC,3,5:00,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/69fd05c73b645a62,http://ufcstats.com/event-details/505934897b8b4824
3,Cub Swanson  Ross Pearson,Featherweight,KO/TKO  Punch,2,4:14,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/40fa0bf9783cdc2e,http://ufcstats.com/event-details/505934897b8b4824
4,Ricardo Lamas  Hatsu Hioki,Featherweight,U-DEC,3,5:00,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/8a1678a54dc82206,http://ufcstats.com/event-details/505934897b8b4824
5,Ramsey Nijem  CJ Keith,Lightweight,KO/TKO  Punch,1,2:29,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/00731068c3195f7f,http://ufcstats.com/event-details/505934897b8b4824
6,Rick Story  Brock Jardine,Welterweight,U-DEC,3,5:00,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/2d3cbfb47faf717d,http://ufcstats.com/event-details/505934897b8b4824
7,Steven Siler  Joey Gambino,Featherweight,SUB  Guillotine Choke,1,2:47,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/cd055be419f77f3e,http://ufcstats.com/event-details/505934897b8b4824
8,Chris Camozzi  Nick Catone,Middleweight,KO/TKO,3,1:51,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/f4af2b4349b7b589,http://ufcstats.com/event-details/505934897b8b4824
9,Matt Brown  Luis Ramos,Welterweight,KO/TKO  Knees,2,4:20,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/a497d4a83afe6f2d,http://ufcstats.com/event-details/505934897b8b4824
10,Dan Miller  Ricardo Funch,Welterweight,SUB  Guillotine Choke,3,3:12,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/ecb9c5ae7fd7a5cc,http://ufcstats.com/event-details/505934897b8b4824
11,Ken Stone  Dustin Pague,Bantamweight,S-DEC,3,5:00,"Atlantic City, New Jersey, USA","June 22, 2012",http://ufcstats.com/fight-details/179426f56818a1c9,http://ufcstats.com/event-details/505934897b8b4824
0,Demetrious Johnson  Ian McCall,Flyweight,U-DEC,3,5:00,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/2cf065874bcc4144,http://ufcstats.com/event-details/49590e0508b2c19f
1,Erick Silva  Charlie Brenneman,Welterweight,SUB  Rear Naked Choke,1,4:33,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/77b6fd5d0b8c60b4,http://ufcstats.com/event-details/49590e0508b2c19f
2,Mike Pyle  Josh Neer,Welterweight,KO/TKO  Punch,1,4:56,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/be6024894ebcb360,http://ufcstats.com/event-details/49590e0508b2c19f
3,Eddie Wineland  Scott Jorgensen,Bantamweight,KO/TKO  Punch,2,4:10,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/ed697b0ef9d455e4,http://ufcstats.com/event-details/49590e0508b2c19f
4,Mike Pierce  Carlos Eduardo Rocha,Welterweight,U-DEC,3,5:00,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/13a6496a09ae821e,http://ufcstats.com/event-details/49590e0508b2c19f
5,Seth Baczynski  Lance Benoist,Welterweight,S-DEC,3,5:00,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/2771872dd02e5d19,http://ufcstats.com/event-details/49590e0508b2c19f
6,Matt Grice  Leonard Garcia,Featherweight,U-DEC,3,5:00,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/a6d07c32a1cb9730,http://ufcstats.com/event-details/49590e0508b2c19f
7,Dustin Pague  Jared Papazian,Bantamweight,SUB  Rear Naked Choke,1,3:21,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/2ccecfdd7683043e,http://ufcstats.com/event-details/49590e0508b2c19f
8,Tim Means  Justin Salas,Lightweight,KO/TKO  Punches,1,1:06,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/1984570de7f0c89e,http://ufcstats.com/event-details/49590e0508b2c19f
9,Buddy Roberts  Caio Magalhaes,Middleweight,U-DEC,3,5:00,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/873886ee1dee4c9a,http://ufcstats.com/event-details/49590e0508b2c19f
10,Henry Martinez  Bernardo Magalhaes,Lightweight,S-DEC,3,5:00,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/d1ad8d6ef48f7835,http://ufcstats.com/event-details/49590e0508b2c19f
11,Sean Pierson  Jake Hecht,Welterweight,U-DEC,3,5:00,"Sunrise, Florida, USA","June 08, 2012",http://ufcstats.com/fight-details/d08a7d4de3c760ec,http://ufcstats.com/event-details/49590e0508b2c19f
0,Martin Kampmann  Jake Ellenberger,Welterweight,KO/TKO  Knee,2,1:40,"Las Vegas, Nevada, USA","June 01, 2012",http://ufcstats.com/fight-details/8422c70a72eb9291,http://ufcstats.com/event-details/96087e90d900f0ef
1,Michael Chiesa  Al Iaquinta,Lightweight,SUB  Rear Naked Choke,1,2:47,"Las Vegas, Nevada, USA","June 01, 2012",http://ufcstats.com/fight-details/1c245dc63a0b9d51,http://ufcstats.com/event-details/96087e90d900f0ef
2,Charles Oliveira  Jonathan Brookins,Featherweight,SUB  Guillotine Choke,2,2:42,"Las Vegas, Nevada, USA","June 01, 2012",http://ufcstats.com/fight-details/0b5c7c95b0316276,http://ufcstats.com/event-details/96087e90d900f0ef
3,Max Holloway  Pat Schilling,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","June 01, 2012",http://ufcstats.com/fight-details/fe1ce9e3a38a734b,http://ufcstats.com/event-details/96087e90d900f0ef
4,Justin Lawrence  John Cofer,Lightweight,KO/TKO  Kick,3,0:19,"Las Vegas, Nevada, USA","June 01, 2012",http://ufcstats.com/fight-details/64e7c4ee81d46900,http://ufcstats.com/event-details/96087e90d900f0ef
5,Daron Cruickshank  Chris Tickle,Lightweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","June 01, 2012",http://ufcstats.com/fight-details/06a28491fe26baa6,http://ufcstats.com/event-details/96087e90d900f0ef
6,Myles Jury  Chris Saunders,Lightweight,SUB  Guillotine Choke,1,4:03,"Las Vegas, Nevada, USA","June 01, 2012",http://ufcstats.com/fight-details/2a7cf1a89de3709e,http://ufcstats.com/event-details/96087e90d900f0ef
7,Sam Sicilia  Cristiano Marcello,Lightweight,KO/TKO  Knee,2,2:53,"Las Vegas, Nevada, USA","June 01, 2012",http://ufcstats.com/fight-details/fa8c1f3d27fc349c,http://ufcstats.com/event-details/96087e90d900f0ef
8,Joe Proctor  Jeremy Larsen,Lightweight,KO/TKO  Knee,1,1:59,"Las Vegas, Nevada, USA","June 01, 2012",http://ufcstats.com/fight-details/e8bb812cd91d9c28,http://ufcstats.com/event-details/96087e90d900f0ef
9,Erik Perez  John Albert,Bantamweight,SUB  Armbar,1,4:18,"Las Vegas, Nevada, USA","June 01, 2012",http://ufcstats.com/fight-details/8e4439cdc98d0644,http://ufcstats.com/event-details/96087e90d900f0ef
0,Junior Dos Santos  Frank Mir,Heavyweight,KO/TKO  Punch,2,3:04,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/41e6ace08a2679e1,http://ufcstats.com/event-details/4985113c0928aa62
1,Cain Velasquez  Antonio Silva,Heavyweight,KO/TKO  Punches,1,3:36,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/1a699da1b1b5ef85,http://ufcstats.com/event-details/4985113c0928aa62
2,Roy Nelson  Dave Herman,Heavyweight,KO/TKO  Punch,1,0:51,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/00cf159d5e637238,http://ufcstats.com/event-details/4985113c0928aa62
3,Stipe Miocic  Shane del Rosario,Heavyweight,KO/TKO  Elbows,2,3:14,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/cd2a60453f8ac133,http://ufcstats.com/event-details/4985113c0928aa62
4,Stefan Struve  Lavar Johnson,Heavyweight,SUB  Armbar,1,1:05,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/a8dc7400f270a144,http://ufcstats.com/event-details/4985113c0928aa62
5,Darren Elkins  Diego Brandao,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/b187bdcc2ceba00f,http://ufcstats.com/event-details/4985113c0928aa62
6,Jamie Varner  Edson Barboza,Lightweight,KO/TKO  Punches,1,3:23,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/9cdeb62aa9092713,http://ufcstats.com/event-details/4985113c0928aa62
7,CB Dollaway  Jason Miller,Middleweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/de8e1dd07ad49c94,http://ufcstats.com/event-details/4985113c0928aa62
8,Dan Hardy  Duane Ludwig,Welterweight,KO/TKO  Punch,1,3:51,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/8238c5f16d0b39c3,http://ufcstats.com/event-details/4985113c0928aa62
9,Paul Sass  Jacob Volkmann,Lightweight,SUB  Triangle Choke,1,1:54,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/3fc1ebe73920a2a7,http://ufcstats.com/event-details/4985113c0928aa62
10,Glover Teixeira  Kyle Kingsbury,Light Heavyweight,SUB  Arm Triangle,1,1:53,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/a6a1adfeab7f7bb7,http://ufcstats.com/event-details/4985113c0928aa62
11,Mike Brown  Daniel Pineda,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","May 26, 2012",http://ufcstats.com/fight-details/d5457867cbd0caf7,http://ufcstats.com/event-details/4985113c0928aa62
0,Chan Sung Jung  Dustin Poirier,Featherweight,SUB  D'Arce Choke,4,1:07,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/a8ec9c513d28c25c,http://ufcstats.com/event-details/8caca5857ce0e30b
1,Amir Sadollah  Jorge Lopez,Welterweight,S-DEC,3,5:00,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/0b4ac9bcf5dbb382,http://ufcstats.com/event-details/8caca5857ce0e30b
2,Donald Cerrone  Jeremy Stephens,Lightweight,U-DEC,3,5:00,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/49818fb1520ce956,http://ufcstats.com/event-details/8caca5857ce0e30b
3,Yves Jabouin  Jeff Hougland,Bantamweight,U-DEC,3,5:00,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/e0e41464c1bc7ee1,http://ufcstats.com/event-details/8caca5857ce0e30b
4,Igor Pokrajac  Fabio Maldonado,Light Heavyweight,U-DEC,3,5:00,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/303db84673492cd6,http://ufcstats.com/event-details/8caca5857ce0e30b
5,Tom Lawlor  Jason MacDonald,Middleweight,KO/TKO  Punch,1,0:50,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/57bbe424b0d6837c,http://ufcstats.com/event-details/8caca5857ce0e30b
6,Brad Tavares  Dongi Yang,Middleweight,U-DEC,3,5:00,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/3b1461ff02a3f98e,http://ufcstats.com/event-details/8caca5857ce0e30b
7,Cody McKenzie  Marcus LeVesseur,Lightweight,SUB  Guillotine Choke,1,3:05,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/df5ab14481442365,http://ufcstats.com/event-details/8caca5857ce0e30b
8,TJ Grant  Carlo Prater,Lightweight,U-DEC,3,5:00,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/4655930eb83446c7,http://ufcstats.com/event-details/8caca5857ce0e30b
9,Rafael Dos Anjos  Kamal Shalorus,Lightweight,SUB  Rear Naked Choke,1,1:40,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/ade59be2e9bc1108,http://ufcstats.com/event-details/8caca5857ce0e30b
10,Johnny Eduardo  Jeff Curran,Bantamweight,U-DEC,3,5:00,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/fc95c49b69a8d476,http://ufcstats.com/event-details/8caca5857ce0e30b
11,Francisco Rivera  Alex Soto,Bantamweight,U-DEC,3,5:00,"Fairfax, Virginia, USA","May 15, 2012",http://ufcstats.com/fight-details/b4407dd3627c1675,http://ufcstats.com/event-details/8caca5857ce0e30b
0,Nate Diaz  Jim Miller,Lightweight,SUB  Guillotine Choke,2,4:09,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/db51d17ea03da745,http://ufcstats.com/event-details/5898357a45a73674
1,Johny Hendricks  Josh Koscheck,Welterweight,S-DEC,3,5:00,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/a5fa3bf3dc91eb88,http://ufcstats.com/event-details/5898357a45a73674
2,Alan Belcher  Rousimar Palhares,Middleweight,KO/TKO  Punches,1,4:18,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/704a089fde021153,http://ufcstats.com/event-details/5898357a45a73674
3,Lavar Johnson  Pat Barry,Heavyweight,KO/TKO  Punches,1,4:38,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/c7be6a466d1d0a1e,http://ufcstats.com/event-details/5898357a45a73674
4,Michael Johnson  Tony Ferguson,Lightweight,U-DEC,3,5:00,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/1f290005cc147afb,http://ufcstats.com/event-details/5898357a45a73674
5,John Dodson  Tim Elliott,Flyweight,U-DEC,3,5:00,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/e257f0f5224ef6ab,http://ufcstats.com/event-details/5898357a45a73674
6,John Hathaway  Pascal Krauss,Welterweight,U-DEC,3,5:00,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/920665daa1261dbc,http://ufcstats.com/event-details/5898357a45a73674
7,Louis Gaudinot  John Lineker,Flyweight,SUB  Guillotine Choke,2,4:54,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/539e0008bb634f1b,http://ufcstats.com/event-details/5898357a45a73674
8,Danny Castillo  John Cholish,Lightweight,U-DEC,3,5:00,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/c039953c2f438832,http://ufcstats.com/event-details/5898357a45a73674
9,Dennis Bermudez  Pablo Garza,Featherweight,U-DEC,3,5:00,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/0387bc11a0a0c325,http://ufcstats.com/event-details/5898357a45a73674
10,Roland Delorme  Nick Denis,Bantamweight,SUB  Rear Naked Choke,1,4:59,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/151f9966cae7682c,http://ufcstats.com/event-details/5898357a45a73674
11,Karlos Vemola  Mike Massenzio,Middleweight,SUB  Rear Naked Choke,2,1:07,"East Rutherford, New Jersey, USA","May 05, 2012",http://ufcstats.com/fight-details/a28c80463d7d0c03,http://ufcstats.com/event-details/5898357a45a73674
0,Jon Jones  Rashad Evans,Light Heavyweight,U-DEC,5,5:00,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/9dc5b5f29d9ff028,http://ufcstats.com/event-details/155bfc7ed36622df
1,Rory MacDonald  Che Mills,Welterweight,KO/TKO  Punches,2,2:20,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/4966e9d7479c8d8d,http://ufcstats.com/event-details/155bfc7ed36622df
2,Ben Rothwell  Brendan Schaub,Heavyweight,KO/TKO  Punch,1,1:10,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/41d170c5da83c8be,http://ufcstats.com/event-details/155bfc7ed36622df
3,Michael McDonald  Miguel Torres,Bantamweight,KO/TKO  Punch,1,3:18,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/33a93002fef6c89d,http://ufcstats.com/event-details/155bfc7ed36622df
4,Eddie Yagin  Mark Hominick,Featherweight,S-DEC,3,5:00,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/eb5cd79e00dd5cd2,http://ufcstats.com/event-details/155bfc7ed36622df
5,Mark Bocek  John Alessio,Lightweight,U-DEC,3,5:00,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/c1c8b38d315d487b,http://ufcstats.com/event-details/155bfc7ed36622df
6,Travis Browne  Chad Griggs,Heavyweight,SUB  Arm Triangle,1,2:29,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/a6c02fb0b18e916c,http://ufcstats.com/event-details/155bfc7ed36622df
7,Matt Brown  Stephen Thompson,Welterweight,U-DEC,3,5:00,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/bf5a5b23a49fa17c,http://ufcstats.com/event-details/155bfc7ed36622df
8,Anthony Njokuani  John Makdessi,Lightweight,U-DEC,3,5:00,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/2bb3a036759d79f2,http://ufcstats.com/event-details/155bfc7ed36622df
9,Mac Danzig  Efrain Escudero,Lightweight,U-DEC,3,5:00,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/ad101f8850eff427,http://ufcstats.com/event-details/155bfc7ed36622df
10,Chris Clements  Keith Wisniewski,Welterweight,S-DEC,3,5:00,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/06eb7492a27bb19a,http://ufcstats.com/event-details/155bfc7ed36622df
11,Marcus Brimage  Maximo Blanco,Featherweight,S-DEC,3,5:00,"Atlanta, Georgia, USA","April 21, 2012",http://ufcstats.com/fight-details/eaf8782e4e03139b,http://ufcstats.com/event-details/155bfc7ed36622df
0,Alexander Gustafsson  Thiago Silva,Light Heavyweight,U-DEC,3,5:00,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/93096cfccdbf4fe8,http://ufcstats.com/event-details/21f2974fd08085e3
1,Brian Stann  Alessio Sakara,Middleweight,KO/TKO  Punch,1,2:26,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/990bf4ef60890853,http://ufcstats.com/event-details/21f2974fd08085e3
2,Siyar Bahadurzada  Paulo Thiago,Welterweight,KO/TKO  Punch,1,0:42,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/8757fbfa0857415f,http://ufcstats.com/event-details/21f2974fd08085e3
3,Dennis Siver  Diego Nunes,Featherweight,U-DEC,3,5:00,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/2dc181c1473eb269,http://ufcstats.com/event-details/21f2974fd08085e3
4,John Maguire  DaMarques Johnson,Welterweight,SUB  Armbar,2,4:40,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/3368c2419e259992,http://ufcstats.com/event-details/21f2974fd08085e3
5,Brad Pickett  Damacio Page,Bantamweight,SUB  Rear Naked Choke,2,4:05,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/806761834799c352,http://ufcstats.com/event-details/21f2974fd08085e3
6,James Head  Papy Abedi,Welterweight,SUB  Rear Naked Choke,1,4:33,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/a2308473bcd77da8,http://ufcstats.com/event-details/21f2974fd08085e3
7,Cyrille Diabate  Tom DeBlass,Light Heavyweight,M-DEC,3,5:00,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/8aa637fc26a01581,http://ufcstats.com/event-details/21f2974fd08085e3
8,Francis Carmont  Magnus Cedenblad,Middleweight,SUB  Rear Naked Choke,2,1:42,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/a90cabf2913fc6ef,http://ufcstats.com/event-details/21f2974fd08085e3
9,Reza Madadi  Yoislandy Izquierdo,Lightweight,SUB  Guillotine Choke,2,1:28,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/a7e1e349980063c9,http://ufcstats.com/event-details/21f2974fd08085e3
10,Simeon Thoresen  Besam Yousef,Welterweight,SUB  Rear Naked Choke,2,2:36,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/589fd70f6f8b747c,http://ufcstats.com/event-details/21f2974fd08085e3
11,Jason Young  Eric Wisely,Featherweight,U-DEC,3,5:00,"Stockholm, Sweden","April 14, 2012",http://ufcstats.com/fight-details/0890d21317c9aa2d,http://ufcstats.com/event-details/21f2974fd08085e3
0,Martin Kampmann  Thiago Alves,Welterweight,SUB  Guillotine Choke,3,4:12,"Sydney, New South Wales, Australia","March 02, 2012",http://ufcstats.com/fight-details/b42d4c3c701945bf,http://ufcstats.com/event-details/b5ea750025697880
1,Joseph Benavidez  Yasuhiro Urushitani,Flyweight,KO/TKO  Punch,2,0:11,"Sydney, New South Wales, Australia","March 02, 2012",http://ufcstats.com/fight-details/058d32372a2271fd,http://ufcstats.com/event-details/b5ea750025697880
3,Costas Philippou  Court McGee,Middleweight,U-DEC,3,5:00,"Sydney, New South Wales, Australia","March 02, 2012",http://ufcstats.com/fight-details/01e5e4099f03f20e,http://ufcstats.com/event-details/b5ea750025697880
