,Weight class,Method,Round,Time,location,date,fighturl,eventurl,winner,loser
75,Lightweight,SUB  Rear Naked Choke,1,2:02,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/b2d05ae88f820421,http://ufcstats.com/event-details/df05aa15b2d66f57,Beneil Dariush,Frank Camacho
76,Heavyweight,SUB  Heel Hook,3,4:46,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/41b75c9222c33cdf,http://ufcstats.com/event-details/df05aa15b2d66f57,Ciryl Gane,Don'Tale Mayes
77,Welterweight,U-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/89266a872e1f92d9,http://ufcstats.com/event-details/df05aa15b2d66f57,Muslim Salikhov,Laureano Staropoli
78,Women's Strawweight,S-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/1f9a6f2120835615,http://ufcstats.com/event-details/df05aa15b2d66f57,Randa Markos,Ashley Yoder
79,Lightweight,U-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/1c91deb42b991d18,http://ufcstats.com/event-details/df05aa15b2d66f57,Rafael Fiziev,Alex White
80,Featherweight,U-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/a4527094aa107b55,http://ufcstats.com/event-details/df05aa15b2d66f57,Movsar Evloev,Enrique Barzola
81,Heavyweight,KO/TKO  Punches,1,2:11,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/cc477d322638ba30,http://ufcstats.com/event-details/df05aa15b2d66f57,Sergei Pavlovich,Maurice Greene
82,Women's Strawweight,S-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/4ea4d0a73a90bfb0,http://ufcstats.com/event-details/df05aa15b2d66f57,Loma Lookboonmee,Alexandra Albu
83,Heavyweight,U-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/3d9aeef58dd0b51b,http://ufcstats.com/event-details/df05aa15b2d66f57,Raphael Pessoa,Jeff Hughes
84,Light Heavyweight,KO/TKO  Punches,1,1:43,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/0d1d7cfb2a48d5ec,http://ufcstats.com/event-details/3ae10ac4df3df05c,Dominick Reyes,Chris Weidman
85,Featherweight,U-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/d2dc6fb05ad78d80,http://ufcstats.com/event-details/3ae10ac4df3df05c,Yair Rodriguez,Jeremy Stephens
86,Lightweight,KO/TKO  Punches,1,1:33,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/57d989702ae72dc1,http://ufcstats.com/event-details/3ae10ac4df3df05c,Joe Lauzon,Jonathan Pearce
87,Women's Flyweight,KO/TKO  Punches,1,3:04,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/7510b0c96f5707ea,http://ufcstats.com/event-details/3ae10ac4df3df05c,Maycee Barber,Gillian Robertson
88,Middleweight,S-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/93f3e9b9f093ad57,http://ufcstats.com/event-details/3ae10ac4df3df05c,Darren Stewart,Deron Winn
89,Featherweight,SUB  Armbar,1,2:46,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/076c98ac0561521f,http://ufcstats.com/event-details/3ae10ac4df3df05c,Charles Rosa,Manny Bermudez
90,Women's Flyweight,U-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/baf17e5e1fe1c744,http://ufcstats.com/event-details/3ae10ac4df3df05c,Molly McCann,Diana Belbita
91,Featherweight,U-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/9c3fb95a1558b38d,http://ufcstats.com/event-details/3ae10ac4df3df05c,Sean Woodson,Kyle Bochniak
92,Bantamweight,KO/TKO  Punch,1,2:15,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/38d6c2538ce6ec4c,http://ufcstats.com/event-details/3ae10ac4df3df05c,Randy Costa,Boston Salmon
93,Welterweight,U-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/26d75187369ecf2c,http://ufcstats.com/event-details/3ae10ac4df3df05c,Sean Brady,Court McGee
94,Middleweight,SUB  Rear Naked Choke,2,3:38,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/74b44635535cb290,http://ufcstats.com/event-details/3ae10ac4df3df05c,Brendan Allen,Kevin Holland
95,Heavyweight,U-DEC,3,5:00,"Boston, Massachusetts, USA",2019-10-18,http://ufcstats.com/fight-details/1e3d3545b6dd13a7,http://ufcstats.com/event-details/3ae10ac4df3df05c,Tanner Boser,Daniel Spitz
96,Women's Strawweight,U-DEC,5,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/f61f5adf7e0a80c4,http://ufcstats.com/event-details/0941df56f6ac954b,Joanna Jedrzejczyk,Michelle Waterson
97,Featherweight,U-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/707ba52845d399c9,http://ufcstats.com/event-details/0941df56f6ac954b,Cub Swanson,Kron Gracie
98,Welterweight,KO/TKO  Kick,1,1:44,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/f3169b755afcdc5b,http://ufcstats.com/event-details/0941df56f6ac954b,Niko Price,James Vick
99,Women's Strawweight,U-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/2d7f29ec900a8948,http://ufcstats.com/event-details/0941df56f6ac954b,Amanda Ribas,Mackenzie Dern
100,Lightweight,S-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/bed2710e06dabe6a,http://ufcstats.com/event-details/0941df56f6ac954b,Matt Frevola,Luis Pena
101,Middleweight,S-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/834f67e96612cd6f,http://ufcstats.com/event-details/0941df56f6ac954b,Eryk Anders,Gerald Meerschaert
102,Light Heavyweight,SUB  Guillotine Choke,2,2:01,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/25548d526c3a7587,http://ufcstats.com/event-details/0941df56f6ac954b,Ryan Spann,Devin Clark
103,Lightweight,KO/TKO  Punch,3,4:45,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/6a0217099efee13f,http://ufcstats.com/event-details/0941df56f6ac954b,Mike Davis,Thomas Gifford
104,Welterweight,U-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/c5b8a996eff18540,http://ufcstats.com/event-details/0941df56f6ac954b,Alex Morono,Max Griffin
105,Flyweight,SUB  Guillotine Choke,1,3:08,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/18dde81d45ac2232,http://ufcstats.com/event-details/0941df56f6ac954b,Deiveson Figueiredo,Tim Elliott
106,Bantamweight,KO/TKO  Elbows,3,3:17,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/70f01e9ff0b4e519,http://ufcstats.com/event-details/0941df56f6ac954b,Marlon Vera,Andre Ewell
107,Welterweight,KO/TKO  Kick,2,2:32,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/1d26ceb1c995655e,http://ufcstats.com/event-details/0941df56f6ac954b,Miguel Baeza,Hector Aldana
108,Middleweight,U-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/bac178dea57bd545,http://ufcstats.com/event-details/0941df56f6ac954b,Marvin Vettori,Andrew Sanchez
109,Women's Flyweight,U-DEC,3,5:00,"Tampa, Florida, USA",2019-10-12,http://ufcstats.com/fight-details/64bee58391921b4b,http://ufcstats.com/event-details/0941df56f6ac954b,JJ Aldrich,Lauren Mueller
110,Middleweight,KO/TKO  Punch,2,3:33,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/2556b7520536ce1d,http://ufcstats.com/event-details/3cf68c1d17f66af7,Israel Adesanya,Robert Whittaker
111,Lightweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/0697d5520b74a8df,http://ufcstats.com/event-details/3cf68c1d17f66af7,Dan Hooker,Al Iaquinta
112,Heavyweight,SUB  Arm Triangle,2,3:14,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/8cd7ca0e7b861b3d,http://ufcstats.com/event-details/3cf68c1d17f66af7,Serghei Spivac,Tai Tuivasa
113,Welterweight,S-DEC,3,5:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/fd0fd9a2d6ef8c4f,http://ufcstats.com/event-details/3cf68c1d17f66af7,Dhiego Lima,Luke Jumeau
114,Heavyweight,KO/TKO  Punch,1,2:10,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/9dfac33cd3ae4afd,http://ufcstats.com/event-details/3cf68c1d17f66af7,Yorgan De Castro,Justin Tafa
115,Welterweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/1cb7138b107b93b5,http://ufcstats.com/event-details/3cf68c1d17f66af7,Jake Matthews,Rostem Akman
116,Welterweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/578987d534a0d205,http://ufcstats.com/event-details/3cf68c1d17f66af7,Callan Potter,Maki Pitolo
117,Lightweight,U-DEC,3,5:00,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/83d59f5e52e0ac46,http://ufcstats.com/event-details/3cf68c1d17f66af7,Brad Riddell,Jamie Mullarkey
118,Women's Featherweight,SUB  Triangle Choke,1,3:57,"Melbourne, Victoria, Australia",2019-10-05,http://ufcstats.com/fight-details/b8c21a311f3f7953,http://ufcstats.com/event-details/3cf68c1d17f66af7,Megan Anderson,Zarah Fairn
