,f1_odds,f2_odds,fight,f1,f2
2,1.77,2.3,Cathal Pendred vs Mike King,Cathal Pendred,Mike King
2,2.45,1.65,Trevor Smith vs Tor Troeng,Trevor Smith,Tor Troeng
2,1.87,2.2,Nikita Krylov vs Cody Donovan,Nikita Krylov,Cody Donovan
2,3.25,1.44,Patrick Holohan vs Josh Sampo,Patrick Holohan,Josh Sampo
2,1.47,3.07,Cub Swanson vs Jeremy Stephens,Cub Swanson,Jeremy Stephens
2,1.36,3.9,Kelvin Gastelum vs Nico Musoke,Kelvin Gastelum,Nico Musoke
2,1.38,3.9,Cezar Ferreira vs Andrew Craig,Cezar Ferreira,Andrew Craig
2,1.4,3.48,Ricardo Lamas vs Hacran Dias,Ricardo Lamas,Hacran Dias
2,2.45,1.67,Clint Hester vs Antonio Braga Neto,Clint Hester,Antonio Braga Neto
2,1.57,2.8,Joe Ellenberger vs James Moontasri,Joe Ellenberger,James Moontasri
2,1.54,2.75,Carlos Diego Ferreira vs Colton Smith,Carlos Diego Ferreira,Colton Smith
2,2.77,1.59,Cody Gibson vs Johnny Bedford,Cody Gibson,Johnny Bedford
2,2.95,1.53,Marcelo Guimaraes vs Andy Enz,Marcelo Guimaraes,Andy Enz
2,1.24,5.1,Ray Borg vs Shane Howell,Ray Borg,Shane Howell
2,1.73,2.3,Aleksei Oleinik vs Anthony Hamilton,Aleksei Oleinik,Anthony Hamilton
2,1.18,6.6,Demetrious Johnson vs Ali Bagautinov,Demetrious Johnson,Ali Bagautinov
2,1.95,2.05,Rory MacDonald vs Tyron Woodley,Rory MacDonald,Tyron Woodley
2,1.63,2.55,Ryan Bader vs Rafael Cavalcante,Ryan Bader,Rafael Cavalcante
2,2.4,1.71,Andrei Arlovski vs Brendan Schaub,Andrei Arlovski,Brendan Schaub
2,1.62,2.6,Ovince St Preux vs Ryan Jimmo,Ovince St Preux,Ryan Jimmo
2,5.15,1.22,Kiichi Kunimoto vs Daniel Sarafian,Kiichi Kunimoto,Daniel Sarafian
2,2.25,1.83,Valerie Letourneau vs Elizabeth Phillips,Valerie Letourneau,Elizabeth Phillips
2,3.0,1.47,Yves Jabouin vs Mike Easton,Yves Jabouin,Mike Easton
2,2.7,1.56,Tae Hyun Bang vs Kajan Johnson,Tae Hyun Bang,Kajan Johnson
2,1.67,2.4,Michinori Tanaka vs Roland Delorme,Michinori Tanaka,Roland Delorme
2,2.0,1.95,Jason Saggo vs Josh Shockley,Jason Saggo,Josh Shockley
2,1.46,3.17,Benson Henderson vs Rustam Khabilov,Benson Henderson,Rustam Khabilov
2,2.4,1.77,Diego Sanchez vs Ross Pearson,Diego Sanchez,Ross Pearson
2,1.2,5.8,John Dodson vs John Moraga,John Dodson,John Moraga
2,1.38,3.55,Rafael dos Anjos vs Jason High,Rafael dos Anjos,Jason High
2,1.65,2.5,Piotr Hallmann vs Yves Edwards,Piotr Hallmann,Yves Edwards
2,2.15,1.83,Bryan Caraway vs Erik Perez,Bryan Caraway,Erik Perez
2,1.18,6.4,Sergio Pettis vs Yaotzin Meza,Sergio Pettis,Yaotzin Meza
2,2.0,1.95,Lance Benoist vs Bobby Voelker,Lance Benoist,Bobby Voelker
2,1.42,3.25,Scott Jorgensen vs Danny Martinez,Scott Jorgensen,Danny Martinez
2,1.67,2.44,Jon Tuck vs Jake Lindsey,Jon Tuck,Jake Lindsey
2,1.32,3.85,Patrick Cummins vs Roger Narvaez,Patrick Cummins,Roger Narvaez
2,3.1,1.56,Matt Brown vs Erick Silva,Matt Brown,Erick Silva
2,3.25,1.64,Costas Philippou vs Lorenz Larkin,Costas Philippou,Lorenz Larkin
2,4.05,1.34,Daron Cruickshank vs Erik Koch,Daron Cruickshank,Erik Koch
2,1.36,3.85,Neil Magny vs Tim Means,Neil Magny,Tim Means
2,1.33,3.95,Soa Palelei vs Ruan Potts,Soa Palelei,Ruan Potts
2,2.36,1.69,Chris Cariaso vs Louis Smolka,Chris Cariaso,Louis Smolka
2,2.75,1.69,Ed Herman vs Rafael Natal,Ed Herman,Rafael Natal
2,1.52,2.9,Kyoji Horiguchi vs Darrell Montague,Kyoji Horiguchi,Darrell Montague
2,5.75,1.19,Zak Cummings vs Yan Cabral,Zak Cummings,Yan Cabral
2,8.35,1.13,Johnny Eduardo vs Eddie Wineland,Johnny Eduardo,Eddie Wineland
2,1.21,5.6,Nik Lentz vs Manny Gamburyan,Nik Lentz,Manny Gamburyan
2,1.36,3.6,Justin Salas vs Ben Wall,Justin Salas,Ben Wall
2,1.4,3.45,Albert Tumenov vs Anthony Lapsley,Albert Tumenov,Anthony Lapsley
2,1.24,5.05,Jon Jones vs Glover Teixeira,Jon Jones,Glover Teixeira
2,3.2,1.47,Anthony Johnson vs Phil Davis,Anthony Johnson,Phil Davis
2,1.14,9.0,Luke Rockhold vs Tim Boetsch,Luke Rockhold,Tim Boetsch
2,1.65,2.8,Jim Miller vs Yancy Medeiros,Jim Miller,Yancy Medeiros
2,2.25,1.77,Max Holloway vs Andre Fili,Max Holloway,Andre Fili
2,1.24,5.0,Joseph Benavidez vs Tim Elliott,Joseph Benavidez,Tim Elliott
2,1.67,2.53,Takanori Gomi vs Isaac Vallie-Flagg,Takanori Gomi,Isaac Vallie-Flagg
2,2.25,1.83,Bethe Correia vs Jessamyn Duke,Bethe Correia,Jessamyn Duke
2,1.29,4.2,Danny Castillo vs Charlie Brenneman,Danny Castillo,Charlie Brenneman
2,1.91,2.21,Chris Beal vs Patrick Williams,Chris Beal,Patrick Williams
2,3.15,1.45,Fabricio Werdum vs Travis Browne,Fabricio Werdum,Travis Browne
2,1.56,2.81,Miesha Tate vs Liz Carmouche,Miesha Tate,Liz Carmouche
2,2.62,1.71,Donald Cerrone vs Edson Barboza,Donald Cerrone,Edson Barboza
2,2.36,1.72,Yoel Romero vs Brad Tavares,Yoel Romero,Brad Tavares
2,1.36,3.75,Khabib Nurmagomedov vs Rafael dos Anjos,Khabib Nurmagomedov,Rafael dos Anjos
2,1.24,5.23,Thiago Alves vs Seth Baczynski,Thiago Alves,Seth Baczynski
2,1.38,3.48,Jorge Masvidal vs Pat Healy,Jorge Masvidal,Pat Healy
2,2.3,1.87,Alex White vs Estevan Payan,Alex White,Estevan Payan
2,1.35,3.86,Caio Magalhaes vs Luke Zachrich,Caio Magalhaes,Luke Zachrich
2,1.24,4.75,Jordan Mein vs Hernani Perpetuo,Jordan Mein,Hernani Perpetuo
