,Fighter,W_L_FIGHTERS,KD_Win,KD_lose,Sig_str_land_win,Sig_str_att_win,Sig_str_land_lose,Sig_str_att_lose,Sig_str_%_win,Sig_str_%_lose,Tot_str_land_win,Tot_str_att_win,Tot_str_land_lose,Tot_str_att_lose,Td_land_win,Td_att_win,Td_land_lose,Td_att_lose,Td_%_win,Td_%_lose,Sub_att_win,Sub_att_lose,Pass_win,Pass_lose,Rev_win,Rev_lose,Head_land_win,Head_att_win,Head_land_lose,Head_att_lose,Body_land_win,Body_att_win,Body_land_lose,Body_att_lose,Leg_land_win,Leg_att_win,Leg_land_lose,Leg_att_lose,Dist_land_win,Dist_att_win,Dist_land_lose,Dist_att_lose,Clinch_land_win,Clinch_att_win,Clinch_land_lose,Clinch_att_lose,Ground_land_win,Ground_att_win,Ground_land_lose,Ground_att_lose
1541,GlaicoFrancaGregorGillespie,GregorGillespieGlaicoFranca, 0,0,41,90,43,102, 45%,42%,109,172,71,133,5,19,0,0, 26%,0%, 0,0, 8,0, 0,0,35,83,42,98,0,1,1,4,6,6,0,0,23,63,15,68,3,5,27,33,15,22,1,1
1542,DustinPoirierMichaelJohnson,MichaelJohnsonDustinPoirier, 1,0,14,37,6,12, 37%,50%,14,37,6,12,0,0,0,0, 0%,0%, 0,0, 0,0, 0,0,10,26,4,9,1,6,0,0,3,5,2,3,10,32,6,12,0,0,0,0,4,5,0,0
1543,UriahHallDerekBrunson,DerekBrunsonUriahHall, 1,0,4,7,1,3, 57%,33%,15,18,4,6,0,3,0,0, 0%,0%, 0,0, 0,0, 0,0,3,6,0,2,1,1,1,1,0,0,0,0,1,1,1,3,3,3,0,0,0,3,0,0
1544,EvanDunhamRickGlenn,EvanDunhamRickGlenn,0, 0,144,279,58,156,51%, 37%,185,330,63,161,3,9,0,3,33%, 0%,2, 0,4, 0,0, 0,132,262,43,130,12,17,10,21,0,0,5,5,116,242,48,140,14,16,6,9,14,21,4,7
1545,RoanCarneiroKennyRobertson,RoanCarneiroKennyRobertson,0, 0,33,70,28,134,47%, 20%,43,80,45,153,2,6,0,0,33%, 0%,0, 0,2, 2,1, 2,24,59,11,110,7,9,6,9,2,2,11,15,28,65,21,125,5,5,4,4,0,0,3,5
1546,ChrisWadeIslamMakhachev,IslamMakhachevChrisWade, 0,0,12,19,5,17, 63%,29%,51,83,42,61,4,4,0,0, 100%,0%, 2,2, 7,4, 2,4,5,12,2,9,7,7,0,5,0,0,3,3,7,14,3,13,0,0,0,0,5,5,2,4
1547,ChasSkellyMaximoBlanco,ChasSkellyMaximoBlanco,0, 0,1,1,0,1,100%, 0%,1,1,0,1,0,0,0,0,0%, 0%,1, 0,0, 0,0, 0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
1548,GabrielBenitezSamSicilia,GabrielBenitezSamSicilia,1, 0,39,101,19,70,38%, 27%,39,101,19,70,0,0,0,1,0%, 0%,1, 0,0, 0,0, 0,21,75,12,61,4,9,4,6,14,17,3,3,31,91,18,65,2,3,1,5,6,7,0,0
1549,AugustoMontanoBelalMuhammad,BelalMuhammadAugustoMontano, 0,0,66,149,67,149, 44%,44%,118,210,72,154,3,4,0,0, 75%,0%, 0,0, 5,0, 0,0,55,133,12,77,4,8,7,16,7,8,48,56,53,134,67,149,0,1,0,0,13,14,0,0
1550,AntonioCarlosJuniorLeonardoAugustoLeleco,AntonioCarlosJuniorLeonardoAugustoLeleco,0, 0,32,60,6,17,53%, 35%,94,142,15,26,7,14,0,0,50%, 0%,1, 2,5, 0,1, 0,24,47,1,9,6,11,5,8,2,2,0,0,13,38,4,15,1,2,2,2,18,20,0,0
1551,JoseQuinonezJoeyGomez,JoseQuinonezJoeyGomez,2, 1,56,131,44,136,42%, 32%,76,159,66,159,5,7,0,0,71%, 0%,0, 0,5, 0,0, 0,39,98,26,106,15,31,7,17,2,2,11,13,43,105,38,121,5,10,6,12,8,16,0,3
1552,ErickMontanoRandyBrown,RandyBrownErickMontano, 0,0,12,30,21,41, 40%,51%,18,36,60,87,1,3,2,8, 33%,25%, 1,0, 0,1, 0,0,8,24,11,25,3,5,1,5,1,1,9,11,7,23,9,26,4,6,8,9,1,1,4,6
1553,StipeMiocicAlistairOvereem,StipeMiocicAlistairOvereem,0, 1,34,60,9,17,56%, 52%,34,60,9,17,1,1,0,0,100%, 0%,0, 1,0, 0,0, 0,31,55,5,10,3,5,3,6,0,0,1,1,16,36,7,14,6,9,2,3,12,15,0,0
