,fight,date,fighter_2,cumultime_2,cumulStr_Att_fighter_2,cumulStr_Att_oponent_2,cumulTD_Att_fighter_2,cumulTD_Att_oponent_2,KDPM_2,KDPM_ratio_2,SLPM_2,SLPM_ratio_2,SAPM_2,SAPM_ratio_2,Str_Acc_2,Str_Def_2,TD_Acc_2,TD_Def_2,SubPM_2,PassPM_2,RevPM_2,Head_SLPM_2,Body_SLPM_2,Leg_SLPM_2,Dist_SLPM_2,Clinch_SLPM_2,Ground_SLPM_2,wins_2,losses_2,implied_prob_2,prev_2,height_2,weight_2,reach_2,age_2,stance_Orthodox_2,stance_Southpaw_2,stance_Switch_2,winner
816,Ashley Yoder vs Syuri Kondo,2019-06-22,Ashley-Yoder,28.0,457.0,454.0,16.0,8.0,0.0,0.0,0.9081632653061226,0.12525673117037325,1.0255102040816326,0.1804194865285091,0.00335182450175282,0.00484901545631813,0.10416666666666667,0.08333333333333333,0.020408163265306117,0.05612244897959183,0.020408163265306117,0.5765306122448979,0.20918367346938774,0.12244897959183673,0.6683673469387755,0.1479591836734694,0.09183673469387756,1,3,0.5555555555555556,4,67.0,115.0,69.0,31.0,0,1,0,2
579,Joanna Jedrzejczyk vs Rose Namajunas,2017-11-04,Rose-Namajunas,30.416666666666664,675.0,461.0,19.0,17.0,0.008689879910687346,0.0,1.7327162114627577,0.37941244921707534,1.4016030312507093,0.17181438627308065,0.003922348582954643,0.00679896153821585,0.1912280701754386,0.17366946778711484,0.04099644628336808,0.1308179797359184,0.008689879910687346,1.2137111950791846,0.3826249059353019,0.1363801104482714,0.9187893577649544,0.3440527423813078,0.4698741113164955,4,2,0.14285714285714285,6,65.0,115.0,65.0,25.0,1,0,0,2
1338,Nicolas Dalby vs Peter Sobotta,2016-09-03,Peter-Sobotta,32.96666666666667,342.0,530.0,25.0,6.0,0.0,0.0,0.5857840685942096,0.16649759537543468,1.2218114465329983,0.6122170745113226,0.0065928536714673506,0.006808516749704768,0.08209523809523807,0.3,0.01894936309085167,0.04656548914573627,0.0043333814820164665,0.2933175421299797,0.13756650026808204,0.15490002619614793,0.4947830574718639,0.0520005777841976,0.0390004333381482,2,4,0.3731343283582089,6,72.0,170.0,75.0,29.0,0,1,0,2
221,Beneil Dariush vs Rashid Magomedov,2016-11-05,Beneil-Dariush,41.95,589.0,601.0,15.0,27.0,0.011174016686531587,0.0,1.1273287269062202,0.2363950625939689,1.4441476486352811,0.3812899911622968,0.006330492069538362,0.007903446575569588,0.07777777777777778,0.12962962962962962,0.03579360247541793,0.023911400421634442,0.003405414609228674,0.5726672431112485,0.40234443416563337,0.15231704962933834,0.7416885365106881,0.2794870318734821,0.10615315852205008,7,2,0.3846153846153846,9,70.0,155.0,72.0,27.0,0,1,0,2
1042,Sam Alvey vs Nate Marquardt,2017-01-28,Sam-Alvey,38.61666666666665,534.0,629.0,9.0,11.0,0.008728838628020544,0.0,1.1976312941679006,0.2571807171879991,1.5931016230117432,0.4662266102257161,0.008135307482607379,0.006648649096522252,0.07407407407407407,0.3636363636363637,0.0,0.027213438075593455,0.0,0.718301819664287,0.2607028334778128,0.21862664102580093,0.8424437572871188,0.2910513559139449,0.06413618096683665,6,3,0.6134969325153374,9,74.0,205.0,75.0,30.0,0,1,0,2
353,Chris Weidman vs Anderson Silva,2013-12-28,Chris-Weidman,25.93333333333333,290.0,374.0,7.0,21.0,0.0,0.0,0.7401710945099752,0.14403326706092415,1.3579950639836147,0.26401460327061416,0.006785417668221121,0.008506461217037974,0.0,0.06547619047619048,0.0,0.0,0.005508630187293426,0.3647630795100779,0.17808956599293346,0.1973184490069639,0.6118987058629998,0.11725512827238865,0.011017260374586852,6,0,0.3636363636363637,6,74.0,205.0,78.0,29.0,1,0,0,2
12,Nik Lentz vs Charles Oliveira,2015-05-30,Charles-Oliveira,42.38333333333333,495.0,562.0,24.0,31.0,0.0,0.0,0.9679276965802944,0.3103406688578935,1.5385000457679188,0.3634322576951016,0.008470635315213217,0.009716688611984407,0.171875,0.11264720942140295,0.047347559230550416,0.051435894949287735,0.0,0.609294331303176,0.2201354988741382,0.13849786640298042,0.6179382762173065,0.14435998848232098,0.20562943188066707,7,4,0.7092198581560284,11,70.0,155.0,74.0,25.0,1,0,0,2
551,Sam Alvey vs Derek Brunson,2015-08-08,Derek-Brunson,20.783333333333328,234.0,273.0,5.0,29.0,0.06014434643143544,0.0,0.8122013841623257,0.15760752635593714,1.7826915512754715,0.15415945637952136,0.007819603564284416,0.011117972165435341,0.12,0.08134394341290893,0.06014434643143544,0.07802006549464846,0.0,0.4244898060519949,0.11204245341406724,0.27566912469626353,0.7235250492380296,0.07080061586108295,0.01787571906321301,4,1,0.7936507936507936,5,73.0,185.0,77.0,31.0,0,1,0,2
934,Jake Ellenberger vs Kelvin Gastelum,2014-11-15,Kelvin-Gastelum,23.43333333333333,411.0,386.0,7.0,13.0,0.017537364329000955,0.0,1.2818978211912602,0.2812906284892702,0.8055496015121105,0.1068806864205429,0.004856055058816111,0.006970010694600638,0.2380952380952381,0.16666666666666666,0.017537364329000955,0.041922651872183234,0.03048160942897785,0.8703543382707045,0.2476943933324611,0.16384908958809466,0.9861844541008205,0.20502014013189213,0.09069322695854776,4,0,0.6802721088435374,4,69.0,185.0,71.0,23.0,0,1,0,2
494,Zak Cummings vs Santiago Ponzinibbio,2016-08-06,Santiago-Ponzinibbio,28.11666666666667,645.0,480.0,17.0,9.0,0.0484476781370664,0.03556609365737996,2.1342117441924797,0.41524771674835625,1.2798218724529795,0.13893322889321702,0.004159307357598292,0.007990638152313856,0.04901960784313725,0.16666666666666666,0.0,0.044205630578201004,0.0101617410449657,1.5471851641049483,0.30892771291901433,0.2780988671685174,1.7081388157271318,0.12058932394989284,0.3054836045154556,4,2,0.5291005291005292,6,72.0,170.0,73.0,29.0,1,0,0,2
